GEO_ID,B15002I_001E,B15002I_001M,B15002I_002E,B15002I_002M,B15002I_003E,B15002I_003M,B15002I_004E,B15002I_004M,B15002I_005E,B15002I_005M,B15002I_006E,B15002I_006M,B15002I_007E,B15002I_007M,B15002I_008E,B15002I_008M,B15002I_009E,B15002I_009M,B15002I_010E,B15002I_010M,B15002I_011E,B15002I_011M,B15002I_012E,B15002I_012M,B15002I_013E,B15002I_013M,B15002I_014E,B15002I_014M,B15002I_015E,B15002I_015M,B15002I_016E,B15002I_016M,B15002I_017E,B15002I_017M,B15002I_018E,B15002I_018M,B15002I_019E,B15002I_019M,NAME,B15002I_001EA,B15002I_001MA,B15002I_002EA,B15002I_002MA,B15002I_003MA,B15002I_003EA,B15002I_004MA,B15002I_004EA,B15002I_005EA,B15002I_005MA,B15002I_006EA,B15002I_006MA,B15002I_007EA,B15002I_007MA,B15002I_008MA,B15002I_008EA,B15002I_009MA,B15002I_009EA,B15002I_010MA,B15002I_010EA,B15002I_011EA,B15002I_011MA,B15002I_012EA,B15002I_012MA,B15002I_013EA,B15002I_013MA,B15002I_014MA,B15002I_014EA,B15002I_015MA,B15002I_015EA,B15002I_016EA,B15002I_016MA,B15002I_017EA,B15002I_017MA,B15002I_018EA,B15002I_018MA,B15002I_019MA,B15002I_019EA,state
0400000US01,97062,2939,54529,3321,16014,2599,8732,1527,14678,3174,514,349,6684,1232,2660,1013,3511,959,1736,604,42533,2986,10249,1947,5040,1856,12510,1895,1182,593,5526,1530,1972,809,3818,1214,2236,1209,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19906,1135,9442,992,497,275,854,677,2773,889,341,202,2695,746,745,483,806,400,731,413,10464,644,657,332,661,355,2702,758,369,232,2121,556,1247,545,2227,746,480,260,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,997289,1709,493523,1321,94185,5379,80621,5690,106739,7342,31979,3379,108383,7081,24536,3466,35269,3587,11811,2203,503766,1169,96752,5537,77959,5284,114325,6484,19994,2806,110617,6593,30036,3342,34989,2832,19094,2822,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,90058,2676,49064,2040,15264,2217,8232,1945,11690,2304,3913,1221,4911,1320,1049,675,2752,1031,1253,629,40994,1641,13412,2013,6404,1276,8662,1777,1340,682,4598,1151,2399,1167,2934,1069,1245,573,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7755013,2248,3868859,1707,970971,17959,666291,13538,888982,16996,114971,5326,673984,14921,181617,6838,268780,10311,103263,5561,3886154,1766,980906,17668,592466,14130,831658,12542,88956,5338,725971,14345,225852,8175,317354,10965,122991,6584,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,562149,1889,284713,1416,52556,3731,45220,3664,66297,4543,18572,2265,50744,3901,12979,2109,25659,3359,12686,1939,277436,1353,39093,3106,43108,3302,64600,4096,16160,1974,59655,4123,19934,2398,24001,2759,10885,1832,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,269781,1073,131666,967,24408,3077,19353,2543,39335,3149,7234,1312,20428,2290,4452,1133,10484,1777,5972,1296,138115,529,20749,2054,20315,1924,29010,2277,6933,1474,27830,2714,10556,1744,15438,2064,7284,1225,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38262,877,19990,681,6493,1303,2568,1048,3919,1217,865,549,3205,937,487,331,1684,725,769,422,18272,552,4154,1065,1469,536,4524,1066,473,447,2915,988,1731,734,2148,748,858,481,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,37487,-555555555,19376,-555555555,4919,1537,2094,830,2243,856,371,337,2600,866,310,252,3550,846,3289,971,18111,-555555555,4024,1050,2386,857,2174,824,471,468,1914,721,250,187,1964,556,4928,993,District of Columbia,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2753603,4526,1326934,4122,195992,9998,158408,7965,355214,10981,48203,4418,216747,9406,100664,7033,163673,7923,88033,6117,1426669,3020,198919,8733,134258,7541,375297,11052,37870,3361,244350,10267,127134,8509,215196,11113,93645,6162,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,444963,5160,244914,4083,69463,6015,43353,4753,56045,5336,8525,2159,27904,3738,10668,2220,19754,3150,9202,2076,200049,3252,56128,5666,30983,3974,41351,4125,4965,1649,27451,3518,9027,2064,21535,3077,8609,1717,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,64315,915,31996,632,1890,739,2503,1035,8816,1228,1558,752,8216,1346,4009,1048,3923,1114,1081,498,32319,536,1559,544,2042,882,7622,1345,1999,996,8845,1221,3550,1016,4121,871,2581,878,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,83199,1862,44128,1490,14326,1672,6214,1144,8012,1588,2939,856,7079,1681,2274,884,2256,845,1028,746,39071,1392,11006,1359,5626,1153,7657,1366,2549,964,6779,1544,1842,702,2466,767,1146,610,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1099018,2484,565771,2228,142242,5728,82790,4426,149840,6555,23595,3019,85847,4961,24130,2498,38845,3090,18482,2491,533247,1968,128924,5367,67831,4601,128680,5832,19934,2808,82818,5187,30540,3194,51024,4360,23496,2773,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,190872,3494,102510,2741,24685,2475,16259,1991,27405,2681,6221,1583,13865,1773,3316,957,7967,1319,2792,775,88362,2377,21098,2382,11977,1874,21339,2715,3721,998,14169,2402,4799,975,7705,1680,3554,1070,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,68047,2149,35805,1673,10254,1405,5695,1218,8213,1536,928,415,4782,1128,1719,541,3028,951,1186,473,32242,1416,9820,1504,4890,991,7050,1151,1048,425,4657,948,1498,566,2076,601,1203,486,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
