GEO_ID,B18101G_001E,B18101G_001M,B18101G_002E,B18101G_002M,B18101G_003E,B18101G_003M,B18101G_004E,B18101G_004M,B18101G_005E,B18101G_005M,B18101G_006E,B18101G_006M,B18101G_007E,B18101G_007M,B18101G_008E,B18101G_008M,B18101G_009E,B18101G_009M,B18101G_010E,B18101G_010M,NAME,B18101G_001MA,B18101G_001EA,B18101G_002EA,B18101G_002MA,B18101G_003EA,B18101G_003MA,B18101G_004MA,B18101G_004EA,B18101G_005MA,B18101G_005EA,B18101G_006MA,B18101G_006EA,B18101G_007MA,B18101G_007EA,B18101G_008EA,B18101G_008MA,B18101G_009EA,B18101G_009MA,B18101G_010MA,B18101G_010EA,state
0400000US01,63284,5173,29077,3156,2358,727,26719,2956,30275,3148,8227,1542,22048,2769,3932,906,1804,587,2128,633,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58965,4720,31890,2741,1193,682,30697,2701,26116,2782,3330,879,22786,2674,959,357,397,191,562,336,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,191475,11582,96321,7322,5186,1895,91135,7060,87806,6963,11058,2042,76748,6223,7348,1469,3198,898,4150,1154,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,56490,5695,25591,3356,1412,668,24179,3338,26553,3483,4779,1109,21774,3263,4346,956,2138,631,2208,667,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1570961,33813,700130,18575,23152,2832,676978,17805,796680,21923,81137,5352,715543,20781,74151,4521,32275,2980,41876,3244,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166996,9513,80354,6320,3275,919,77079,6066,80577,5117,10913,2073,69664,4623,6065,1180,2412,930,3653,867,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,85950,5866,39951,3878,2331,812,37620,3710,41359,3797,5101,1076,36258,3685,4640,1137,1924,846,2716,800,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23883,3367,13347,2464,408,313,12939,2425,9790,1721,1057,521,8733,1626,746,419,267,248,479,337,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12760,1744,3777,820,51,84,3726,815,8199,1311,732,358,7467,1288,784,326,312,204,472,256,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,416236,20027,192710,12648,7103,1648,185607,12719,199334,10878,25419,3344,173915,10109,24192,2890,10300,1725,13892,2220,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,187615,12461,101182,9301,4229,1409,96953,8954,80499,6054,12341,2367,68158,6108,5934,1089,3472,1014,2462,733,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,327159,13024,127287,6854,4280,1201,123007,6727,180293,7953,15604,2475,164689,7615,19579,2022,7079,1050,12500,1607,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,38583,4149,18635,3082,1062,569,17573,2861,17577,2465,2569,927,15008,2120,2371,861,926,639,1445,546,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,260088,12226,129311,7603,5964,1427,123347,7328,119954,7385,12018,1514,107936,7222,10823,1549,4157,983,6666,1181,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,138745,7309,76001,5384,4663,1144,71338,5139,58403,4219,9777,1585,48626,4153,4341,952,2397,709,1944,562,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,59943,4846,35206,3627,1939,669,33267,3571,23799,2567,4016,1041,19783,2377,938,329,549,289,389,255,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,94821,6440,50079,4711,2453,714,47626,4527,40869,3811,7006,1298,33863,3512,3873,798,1841,551,2032,670,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,79075,6561,46791,5240,2847,857,43944,5115,29878,3220,7568,1492,22310,3104,2406,744,1305,453,1101,563,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,75987,6508,37116,4999,3674,1143,33442,4610,34215,3125,6782,1306,27433,3081,4656,927,2481,716,2175,665,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,24486,2663,13125,1813,1904,835,11221,1601,9892,1583,2563,746,7329,1368,1469,597,602,304,867,493,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,149215,8360,75801,5639,3524,1365,72277,5658,67377,5107,7153,1668,60224,4797,6037,1134,2616,772,3421,935,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,166294,11211,67663,5040,3883,1084,63780,4890,90686,8131,12152,2036,78534,7009,7945,1287,3525,864,4420,901,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,248924,10026,126046,6536,9516,1710,116530,6002,111610,5597,18936,2343,92674,5297,11268,1443,5428,943,5840,962,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,133514,8776,75371,6027,2870,650,72501,5821,53785,4189,6048,1044,47737,3752,4358,1023,1370,470,2988,896,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,33671,4624,19820,3822,1761,915,18059,3508,11850,2071,3103,1041,8747,1735,2001,764,1287,699,714,398,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,142416,7949,70678,5337,4296,1220,66382,5092,65046,4382,10359,1544,54687,3954,6692,1055,3437,875,3255,753,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,23666,2795,11386,1893,487,399,10899,1880,11182,1740,2191,708,8991,1513,1098,448,254,113,844,432,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,40036,3807,23507,2510,1463,720,22044,2373,15111,2416,3023,1351,12088,1960,1418,636,646,411,772,415,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,104221,10495,49733,6660,1339,545,48394,6526,50557,5667,5318,1550,45239,5337,3931,804,1584,447,2347,684,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,22083,2389,10806,1671,650,388,10156,1594,9817,1405,2272,832,7545,1300,1460,564,841,368,619,408,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,215139,12921,93469,6400,3178,1032,90291,6172,112016,8109,11549,1461,100467,7717,9654,1546,2966,828,6688,1219,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,63165,5945,28516,4598,904,573,27612,4523,30919,2864,4037,947,26882,2718,3730,739,1781,549,1949,459,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,519769,16812,214973,9713,10571,1668,204402,9184,273645,10010,31346,3074,242299,9273,31151,2786,13501,1840,17650,2272,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,199432,14431,111625,9817,6875,1916,104750,9333,80594,7064,12672,2178,67922,6653,7213,1483,3359,988,3854,1089,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,12160,1851,6823,1398,201,185,6622,1366,4849,1006,889,431,3960,908,488,242,272,155,216,194,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,263958,11356,150240,7912,9116,1502,141124,7564,104229,5712,17497,2143,86732,4927,9489,1302,4319,879,5170,977,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,294579,9211,127117,5580,6702,1184,120415,5423,148477,5294,27706,1842,120771,4893,18985,1348,10423,1064,8562,1010,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,131776,7009,53042,4226,2187,670,50855,4030,71764,5193,11013,1426,60751,5139,6970,1388,3359,726,3611,1058,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,241619,11225,136297,7534,10544,1673,125753,7037,97185,5534,16339,2155,80846,4999,8137,1373,3747,981,4390,1032,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,28084,4209,12362,2380,1179,719,11183,2191,14310,2581,1896,723,12414,2275,1412,519,697,280,715,436,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,81768,6982,46778,5111,2405,1026,44373,5020,32005,4123,6028,1420,25977,3600,2985,897,1883,767,1102,493,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,19506,2789,9509,1781,474,398,9035,1657,9058,1738,1722,894,7336,1501,939,520,352,297,587,409,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,120132,7644,61734,5504,4291,1294,57443,5257,52637,4598,12158,1807,40479,4050,5761,1276,3199,882,2562,814,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
