GEO_ID,B24041_001E,B24041_001M,B24041_002E,B24041_002M,B24041_003E,B24041_003M,B24041_004E,B24041_004M,B24041_005E,B24041_005M,B24041_006E,B24041_006M,B24041_007E,B24041_007M,B24041_008E,B24041_008M,B24041_009E,B24041_009M,B24041_010E,B24041_010M,B24041_011E,B24041_011M,B24041_012E,B24041_012M,B24041_013E,B24041_013M,B24041_014E,B24041_014M,B24041_015E,B24041_015M,B24041_016E,B24041_016M,B24041_017E,B24041_017M,B24041_018E,B24041_018M,B24041_019E,B24041_019M,B24041_020E,B24041_020M,B24041_021E,B24041_021M,B24041_022E,B24041_022M,B24041_023E,B24041_023M,B24041_024E,B24041_024M,B24041_025E,B24041_025M,B24041_026E,B24041_026M,B24041_027E,B24041_027M,NAME,B24041_001MA,B24041_001EA,B24041_002EA,B24041_002MA,B24041_003EA,B24041_003MA,B24041_004MA,B24041_004EA,B24041_005MA,B24041_005EA,B24041_006MA,B24041_006EA,B24041_007EA,B24041_007MA,B24041_008EA,B24041_008MA,B24041_009EA,B24041_009MA,B24041_010MA,B24041_010EA,B24041_011MA,B24041_011EA,B24041_012EA,B24041_012MA,B24041_013EA,B24041_013MA,B24041_014EA,B24041_014MA,B24041_015MA,B24041_015EA,B24041_016MA,B24041_016EA,B24041_017EA,B24041_017MA,B24041_018EA,B24041_018MA,B24041_019EA,B24041_019MA,B24041_020EA,B24041_020MA,B24041_021EA,B24041_021MA,B24041_022MA,B24041_022EA,B24041_023EA,B24041_023MA,B24041_024EA,B24041_024MA,B24041_025EA,B24041_025MA,B24041_026EA,B24041_026MA,B24041_027EA,B24041_027MA,state
0400000US01,37468,514,38825,4124,31903,2817,55683,8209,35086,1986,40180,1247,40721,1770,28429,1418,50813,1151,48671,3678,57090,5549,41764,5205,38798,2707,40777,2245,35639,1307,44457,2396,54853,3908,32050,37221,30139,2161,39565,1012,44065,1340,35054,1282,20282,870,31901,2399,18944,862,27597,2315,48559,1351,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47828,2396,72384,10418,63523,22100,80083,9082,60267,7522,42083,8023,51901,9543,31157,2155,52109,3616,51060,2733,69185,20900,55853,5273,43325,6388,44225,9375,42164,11606,61291,6565,71220,5098,32267,78573,47875,7431,46774,4195,57416,4506,41633,2057,29668,3155,41373,4388,27789,3415,40536,4356,56117,5099,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40209,349,47295,7601,28570,3840,62366,4688,38471,2615,51120,1213,41203,1198,31191,1053,44708,3395,40745,3096,65049,4687,53380,3268,41427,923,42001,1380,40152,1861,42724,3207,61890,1508,78313,42351,27939,2002,40667,608,41303,636,39976,1874,24565,1269,31836,2110,22685,1363,30535,1601,46568,1479,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34846,635,30588,1910,26941,1555,46857,6670,33885,2735,33825,1645,38852,4222,28717,1291,41883,1284,41792,1364,42158,5824,45007,7077,35649,1785,36848,2377,31591,3061,40588,3199,51767,3370,78795,33215,25548,3303,36930,869,40628,1180,34168,2581,19941,1481,29082,2452,18959,1417,29939,2435,39383,1742,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,46080,185,27255,786,25315,738,62413,7710,44593,2110,50517,410,42401,969,34532,757,49386,1155,43381,1754,77333,3349,66146,1878,52824,1335,60067,1367,44548,2153,56084,907,75352,1377,68831,8861,30901,492,49353,647,55763,758,45364,501,27065,526,38944,2333,24193,527,31028,411,64719,1360,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46022,395,50667,2574,32413,3714,68376,5518,42859,1901,53416,2802,46727,2479,33527,1726,50608,923,46770,1237,65598,7241,61748,3572,50433,1194,52075,2677,45642,3402,59704,2646,72270,2612,41910,12575,34125,2548,44613,1241,46192,1293,42404,1718,27214,1132,34128,2580,25648,1169,36012,1304,57184,2514,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,53770,1008,43361,2801,40286,6085,46208,17817,51349,992,60311,1743,55546,5923,40735,865,52446,2135,49339,2947,77448,9219,63810,5886,72981,3065,76812,2993,52448,6455,70772,1737,80398,3636,91209,18048,45081,4973,51636,880,56771,1489,47625,1896,31523,1151,38983,3655,28433,2398,37528,2530,65999,2158,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45749,806,41620,12899,41620,12899,-666666666,-222222222,49764,4145,51648,2699,53735,3967,32469,3723,52163,4253,50902,2853,76106,18157,50151,8086,50169,3004,51492,2665,44665,3738,50867,3102,61835,7916,82328,381509,36121,2507,46181,1389,50022,2924,43878,3577,27715,2566,33489,4060,26127,2111,36213,1502,46242,3804,Delaware,null,null,null,null,null,null,**,-,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62876,2054,41875,24571,41875,24571,-666666666,-222222222,44701,8274,102439,19888,70913,49854,34505,7969,41562,3364,41040,3415,71432,6002,67957,4796,85418,18650,101640,2813,70587,25129,72431,5172,80515,4032,61203,109286,36859,4751,54192,3035,56301,3218,51239,5167,36138,2435,46043,5442,32253,4990,56325,5105,89801,6276,District of Columbia,null,null,null,null,null,null,**,-,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,37096,222,22132,2067,20443,1776,50669,8658,36039,748,41866,836,41040,894,30489,409,43934,1950,41650,942,54568,3842,46616,2464,42182,667,45088,1465,37492,3015,41260,709,55319,1910,51203,6903,28818,1313,39296,660,40860,379,36904,576,24946,692,32449,1433,22444,563,29259,1456,47198,863,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
