GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,NAME,B10056_001EA,B10056_001MA,B10056_002EA,B10056_002MA,B10056_003EA,B10056_003MA,B10056_004EA,B10056_004MA,B10056_005EA,B10056_005MA,B10056_006MA,B10056_006EA,B10056_007EA,B10056_007MA,B10056_008EA,B10056_008MA,B10056_009EA,B10056_009MA,B10056_010EA,B10056_010MA,B10056_011MA,B10056_011EA,state
0400000US01,119988,5433,40961,2751,24269,2294,15249,2030,9020,1300,16692,1958,79027,3726,42377,2299,29733,2220,12644,1594,36650,3197,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15120,1947,5843,1059,2241,453,1204,371,1037,265,3602,941,9277,1216,3806,705,2056,470,1750,625,5471,1019,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,167100,9264,61032,4520,24589,2345,14777,2004,9812,1547,36443,3936,106068,6358,39434,3323,27726,2965,11708,2055,66634,5884,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66271,5143,24203,2651,13655,1671,8218,1404,5437,905,10548,1854,42068,3270,22737,2272,15744,1780,6993,1379,19331,2885,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1117387,21494,423539,10897,121394,6589,75567,5001,45827,3637,302145,9016,693848,13549,194980,7753,129884,6539,65096,4033,498868,12090,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,92500,6540,34729,3120,14695,2153,9414,1943,5281,1169,20034,2100,57771,4438,22494,2654,16241,2159,6253,1351,35277,3633,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,62737,4835,20247,2352,6781,1314,4135,976,2646,788,13466,2092,42490,3390,14663,2143,9376,1599,5287,1238,27827,2781,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22515,2980,8865,1520,3484,801,1837,572,1647,524,5381,1136,13650,1850,4896,1004,3434,859,1462,517,8754,1516,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10592,1468,2219,714,803,388,305,234,498,304,1416,600,8373,1184,3381,926,2392,785,989,435,4992,1045,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,450430,17448,150388,7341,61051,4435,35458,3219,25593,2986,89337,6246,300042,12293,103957,5792,68674,5226,35283,3014,196085,11552,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
