GEO_ID,B19126_001E,B19126_001M,B19126_002E,B19126_002M,B19126_003E,B19126_003M,B19126_004E,B19126_004M,B19126_005E,B19126_005M,B19126_006E,B19126_006M,B19126_007E,B19126_007M,B19126_008E,B19126_008M,B19126_009E,B19126_009M,B19126_010E,B19126_010M,B19126_011E,B19126_011M,NAME,B19126_001MA,B19126_001EA,B19126_002EA,B19126_002MA,B19126_003EA,B19126_003MA,B19126_004EA,B19126_004MA,B19126_005EA,B19126_005MA,B19126_006EA,B19126_006MA,B19126_007MA,B19126_007EA,B19126_008EA,B19126_008MA,B19126_009EA,B19126_009MA,B19126_010EA,B19126_010MA,B19126_011EA,B19126_011MA,state
0400000US01,51991,760,64942,980,70621,1383,61822,1087,25595,793,36813,2149,33027,2934,41303,2505,23324,789,18010,1028,30968,1297,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,75786,2534,89241,3707,89961,6700,88941,4153,43310,3936,52210,8246,46919,5670,67877,15046,37901,3961,29171,4226,55491,5947,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,55328,706,67006,1050,68283,2506,66357,1331,32170,995,37356,2068,33399,2447,40907,4134,30694,924,24192,1288,41505,1884,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,48713,1091,57888,1095,63155,1986,55397,1101,25298,932,31151,2900,26742,2091,40232,5948,23308,1299,18531,1333,32710,1777,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,65476,409,80730,449,79932,795,81426,616,37928,583,45729,1054,36993,1164,53410,1344,35028,521,26350,580,46564,925,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,69110,1054,80504,1178,84878,1975,77446,1236,37029,1181,44753,2747,42075,2117,50387,6932,33401,1384,26705,2134,45864,2185,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,83106,1258,100420,1250,106909,2416,95066,1923,40512,1505,54928,5236,48744,4707,61062,3449,36434,1140,28485,2299,49361,2287,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,69663,2509,84436,2361,90120,4942,80909,2152,38588,2710,47405,4309,39752,4534,59749,12566,34746,3036,28517,2518,48760,4926,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,75603,3710,148533,7480,169949,11065,132575,12298,39502,3506,52314,7356,39296,11148,62130,16357,36805,4059,24951,4163,49770,4777,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,53958,499,64848,586,70384,1068,62299,645,31566,447,37442,1346,31841,1799,43102,1925,29987,585,24307,593,38241,943,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,55001,628,68569,953,72693,1654,65682,1035,29927,790,37458,1898,33985,2898,42330,3306,27173,721,22225,832,34986,1480,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,74234,1895,83859,2410,81466,2836,86054,3016,47699,2329,57914,4610,45579,3236,74337,7582,43375,2555,30021,4642,57893,4577,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,52814,1299,59897,1786,61656,1436,57695,2078,28467,2194,39805,4780,39891,8521,39800,5270,25277,1922,17662,1772,37167,3335,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,65579,596,79481,726,83576,1362,76341,668,34196,745,43961,2036,37798,2305,50873,1653,30830,544,22561,696,42318,1378,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,57148,643,68205,678,73786,1233,64284,856,29758,865,37480,2142,33887,3056,42730,3649,26523,918,20660,824,36451,1137,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,62821,829,71505,776,77736,1392,67151,885,31837,882,40508,1210,36585,2940,48315,5215,28602,1477,24598,1303,39075,1645,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
