GEO_ID,B07003_001E,B07003_001M,B07003_002E,B07003_002M,B07003_003E,B07003_003M,B07003_004E,B07003_004M,B07003_005E,B07003_005M,B07003_006E,B07003_006M,B07003_007E,B07003_007M,B07003_008E,B07003_008M,B07003_009E,B07003_009M,B07003_010E,B07003_010M,B07003_011E,B07003_011M,B07003_012E,B07003_012M,B07003_013E,B07003_013M,B07003_014E,B07003_014M,B07003_015E,B07003_015M,B07003_016E,B07003_016M,B07003_017E,B07003_017M,B07003_018E,B07003_018M,NAME,B07003_001EA,B07003_001MA,B07003_002EA,B07003_002MA,B07003_003MA,B07003_003EA,B07003_004MA,B07003_004EA,B07003_005EA,B07003_005MA,B07003_006EA,B07003_006MA,B07003_007EA,B07003_007MA,B07003_008MA,B07003_008EA,B07003_009MA,B07003_009EA,B07003_010MA,B07003_010EA,B07003_011MA,B07003_011EA,B07003_012MA,B07003_012EA,B07003_013EA,B07003_013MA,B07003_014MA,B07003_014EA,B07003_015MA,B07003_015EA,B07003_016MA,B07003_016EA,B07003_017MA,B07003_017EA,B07003_018EA,B07003_018MA,state
0400000US01,4745278,4078,2294147,5936,2451131,6229,4024442,22751,1948513,12587,2075929,14654,439576,20589,203743,10592,235833,12262,148717,8705,76981,4728,71736,6027,117726,9414,57662,5202,60064,5393,14817,2811,7248,1589,7569,1888,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711962,1401,367807,1890,344155,1840,571857,8892,291534,5047,280323,4998,80837,7416,42132,4271,38705,4010,19443,3529,11580,2058,7863,1884,35084,4168,20257,2921,14827,2076,4741,1264,2304,842,2437,693,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6402301,5660,3183321,5976,3218980,5224,5107496,39045,2519184,21218,2588312,23483,901151,33273,450495,18104,450656,19752,127215,13519,72226,7047,54989,7849,222877,14358,117359,7717,105518,9165,43562,6373,24057,3831,19505,3603,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2906632,2928,1431532,4608,1475100,4372,2421746,18606,1186702,11759,1235044,10744,306205,14598,148994,8386,157211,8455,99626,9095,53662,5492,45964,5421,69845,7292,37033,4176,32812,3970,9210,3170,5141,1812,4069,1748,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37222678,9999,18510585,9690,18712093,7901,31213310,71183,15464041,42190,15749269,37307,4208649,65064,2107545,39084,2101104,32515,1062519,30460,554307,17365,508212,17596,468428,17921,247462,9938,220966,10635,269772,16003,137230,9302,132542,9428,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5048443,4037,2534707,4932,2513736,4690,4048042,22888,2023158,13245,2024884,13218,498820,18637,253742,11811,245078,9228,264413,12819,133190,7384,131223,7671,202124,11431,105516,6559,96608,6633,35044,5809,19101,3622,15943,3107,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3548667,2644,1726359,3179,1822308,2568,3139496,16755,1523807,9931,1615689,9863,249933,15358,121392,8385,128541,8856,66950,5385,34900,3214,32050,3823,71502,6552,36536,3813,34966,3349,20786,4003,9724,2371,11062,2219,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,897187,1369,435232,1364,461955,1343,775414,8584,374847,4493,400567,5452,74460,6664,35383,3498,39077,4386,8696,2698,4939,1619,3757,1361,33912,3955,17611,2260,16301,2407,4705,1519,2452,937,2253,983,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,611608,1403,289011,1105,322597,817,489659,6701,232541,3696,257118,5455,66519,6073,29981,3418,36538,4136,0,200,0,200,0,200,48066,4295,23286,2470,24780,3254,7364,1786,3203,1001,4161,1241,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18863948,8536,9225419,8983,9638529,8942,15742168,59355,7659192,34933,8082976,32570,1894403,49038,931632,28024,962771,26792,559852,21367,292471,12795,267381,12525,498597,22483,260659,12878,237938,12061,168928,14572,81465,7105,87463,8944,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
