GEO_ID,B13002G_001E,B13002G_001M,B13002G_002E,B13002G_002M,B13002G_003E,B13002G_003M,B13002G_004E,B13002G_004M,B13002G_005E,B13002G_005M,B13002G_006E,B13002G_006M,B13002G_007E,B13002G_007M,NAME,B13002G_001MA,B13002G_001EA,B13002G_002EA,B13002G_002MA,B13002G_003MA,B13002G_003EA,B13002G_004EA,B13002G_004MA,B13002G_005EA,B13002G_005MA,B13002G_006EA,B13002G_006MA,B13002G_007EA,B13002G_007MA,state
0400000US01,14761,2255,1586,978,724,596,862,623,13175,1837,4294,877,8881,1591,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14387,2180,937,476,483,411,454,352,13450,2006,3788,1033,9662,1690,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,42594,4511,2502,886,1445,653,1057,563,40092,4460,13164,2315,26928,3471,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,10891,1970,443,269,202,198,241,202,10448,1908,4288,1149,6160,1508,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,380089,12268,19262,2518,11360,1839,7902,1471,360827,11624,112971,6387,247856,10675,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40738,3423,3401,1002,2330,797,1071,685,37337,3205,14171,2023,23166,2985,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21998,2455,856,457,360,246,496,343,21142,2346,6021,1144,15121,2048,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5505,1293,142,150,0,192,142,150,5363,1288,1612,665,3751,1135,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,3797,971,171,209,171,209,0,200,3626,968,725,336,2901,909,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,95549,6418,6239,1465,3709,885,2530,1136,89310,6283,29447,3417,59863,4880,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,43638,4083,2145,831,1572,822,573,403,41493,4063,14330,2828,27163,3347,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,80705,4304,6104,1386,3494,1016,2610,870,74601,4463,25898,2610,48703,3962,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
