GEO_ID,C19201_001E,C19201_001M,C19201_002E,C19201_002M,C19201_003E,C19201_003M,C19201_004E,C19201_004M,C19201_005E,C19201_005M,C19201_006E,C19201_006M,C19201_007E,C19201_007M,C19201_008E,C19201_008M,C19201_009E,C19201_009M,C19201_010E,C19201_010M,C19201_011E,C19201_011M,NAME,C19201_001EA,C19201_001MA,C19201_002MA,C19201_002EA,C19201_003EA,C19201_003MA,C19201_004EA,C19201_004MA,C19201_005MA,C19201_005EA,C19201_006MA,C19201_006EA,C19201_007EA,C19201_007MA,C19201_008EA,C19201_008MA,C19201_009MA,C19201_009EA,C19201_010MA,C19201_010EA,C19201_011MA,C19201_011EA,state
0400000US01,592751,10671,117611,5821,79793,4288,113706,5030,80860,4767,83683,4416,68096,4195,24219,2767,16368,1834,3620,982,4795,1105,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,84051,3827,6422,1152,6956,1269,9971,1527,9928,1568,13865,2072,14675,1452,11071,1838,7338,1503,2167,714,1658,790,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,812132,14770,120612,6662,78567,5038,142709,6669,112265,8009,124031,6160,120052,5870,53943,4392,41515,4492,10249,1554,8189,1991,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,370416,8084,73702,4105,58770,3364,74460,4207,47911,3616,51452,3938,36982,3109,14714,2261,7765,1720,2458,849,2202,707,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3950225,26530,457384,11478,414511,11429,562473,12239,432772,9916,517049,12640,617406,13352,357079,10344,350582,9461,124174,6373,116795,5425,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,718917,10654,88388,5410,64691,3582,110309,4952,93495,6188,114220,5554,121348,6305,60915,4602,41553,3401,12594,1905,11404,2019,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,458542,8328,53163,3223,40441,3391,69975,3319,50677,3573,64510,3720,80996,4045,45549,3543,32095,2904,10359,1551,10777,1582,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,106091,3799,11310,1540,9566,1352,18833,2344,11220,1365,17446,1742,19279,2522,7686,1152,7400,1436,1548,523,1803,627,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,154625,3878,20420,1808,7344,1251,12294,2040,10074,1642,18481,2099,26732,2727,19165,2156,23875,2398,7799,1232,8441,1277,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2546425,26485,385263,9984,280008,10543,479021,12297,351952,12678,381510,11705,352260,12045,143875,6961,108298,5416,30460,3285,33778,3416,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
