GEO_ID,B19101I_001E,B19101I_001M,B19101I_002E,B19101I_002M,B19101I_003E,B19101I_003M,B19101I_004E,B19101I_004M,B19101I_005E,B19101I_005M,B19101I_006E,B19101I_006M,B19101I_007E,B19101I_007M,B19101I_008E,B19101I_008M,B19101I_009E,B19101I_009M,B19101I_010E,B19101I_010M,B19101I_011E,B19101I_011M,B19101I_012E,B19101I_012M,B19101I_013E,B19101I_013M,B19101I_014E,B19101I_014M,B19101I_015E,B19101I_015M,B19101I_016E,B19101I_016M,B19101I_017E,B19101I_017M,NAME,B19101I_001EA,B19101I_001MA,B19101I_002EA,B19101I_002MA,B19101I_003EA,B19101I_003MA,B19101I_004EA,B19101I_004MA,B19101I_005MA,B19101I_005EA,B19101I_006EA,B19101I_006MA,B19101I_007EA,B19101I_007MA,B19101I_008EA,B19101I_008MA,B19101I_009EA,B19101I_009MA,B19101I_010EA,B19101I_010MA,B19101I_011MA,B19101I_011EA,B19101I_012EA,B19101I_012MA,B19101I_013EA,B19101I_013MA,B19101I_014EA,B19101I_014MA,B19101I_015EA,B19101I_015MA,B19101I_016MA,B19101I_016EA,B19101I_017EA,B19101I_017MA,state
0400000US01,35710,2510,2562,748,3499,1293,3420,1117,4523,1417,2565,802,2226,1127,1420,670,2382,1169,2080,937,2458,854,2740,907,1426,619,1726,674,943,1057,944,525,796,842,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7516,1075,165,153,78,77,250,203,212,253,477,315,938,774,207,185,539,405,537,448,352,462,804,462,1401,571,525,280,386,337,339,263,306,250,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,397755,7689,39399,3939,27267,3236,29295,3078,30640,4021,29469,3838,28472,3490,23298,3188,23459,3486,21391,3352,33194,4045,36254,4479,32617,3264,19891,3546,10210,2279,8903,2489,3996,1625,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36246,2037,3186,897,2636,933,4772,1384,3598,1162,2920,1137,2107,884,3352,1341,1732,743,1962,993,1775,985,2548,1021,2592,1003,1122,708,742,443,388,406,814,562,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2814834,17521,182534,7042,154087,7289,195889,7451,201487,8426,184154,7398,181641,7404,165112,6836,158416,6118,142784,6298,253186,8605,280008,8529,306612,8990,186130,7546,92814,5799,83776,4710,46204,3838,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,223554,5117,16467,1954,10340,1774,16248,2131,16065,2280,13481,1955,16269,1829,13470,2277,15164,2586,11462,2104,20754,2614,24300,2766,23668,2609,11595,1701,5779,1209,4403,1247,4089,1020,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104550,3271,12014,1735,6597,1254,7341,1498,7773,1429,8292,1669,6739,1336,5369,1398,5885,1242,5232,1232,7336,1474,6568,1346,8422,1300,7106,1264,3390,948,3482,1061,3004,835,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16061,1391,802,519,752,415,1193,527,1010,513,1911,947,545,355,969,619,1345,730,875,513,597,319,1414,646,1663,767,946,599,888,643,336,220,815,526,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10935,1328,510,490,154,201,936,617,941,676,539,324,239,312,468,366,359,369,189,164,1318,599,1181,608,656,435,648,340,748,419,661,403,1388,874,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,941238,13850,62642,4756,61456,5023,72471,5391,75578,5243,69429,5812,60102,5359,53671,4107,53505,5123,41654,4337,76336,6097,88368,5882,96131,6009,53315,4433,28161,3244,27010,3484,21409,2406,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
