GEO_ID,C24080_001E,C24080_001M,C24080_002E,C24080_002M,C24080_003E,C24080_003M,C24080_004E,C24080_004M,C24080_005E,C24080_005M,C24080_006E,C24080_006M,C24080_007E,C24080_007M,C24080_008E,C24080_008M,C24080_009E,C24080_009M,C24080_010E,C24080_010M,C24080_011E,C24080_011M,C24080_012E,C24080_012M,C24080_013E,C24080_013M,C24080_014E,C24080_014M,C24080_015E,C24080_015M,C24080_016E,C24080_016M,C24080_017E,C24080_017M,C24080_018E,C24080_018M,C24080_019E,C24080_019M,NAME,C24080_001MA,C24080_001EA,C24080_002EA,C24080_002MA,C24080_003MA,C24080_003EA,C24080_004MA,C24080_004EA,C24080_005MA,C24080_005EA,C24080_006MA,C24080_006EA,C24080_007EA,C24080_007MA,C24080_008MA,C24080_008EA,C24080_009EA,C24080_009MA,C24080_010MA,C24080_010EA,C24080_011EA,C24080_011MA,C24080_012EA,C24080_012MA,C24080_013EA,C24080_013MA,C24080_014EA,C24080_014MA,C24080_015MA,C24080_015EA,C24080_016EA,C24080_016MA,C24080_017EA,C24080_017MA,C24080_018EA,C24080_018MA,C24080_019EA,C24080_019MA,state
0400000US01,1981095,17704,1025863,11733,763740,12552,721021,12591,42719,3043,42333,2746,64083,3903,45777,3802,43585,3356,66345,4388,955232,11882,640995,11277,626150,11202,14845,2274,86981,5795,85669,5235,70454,4610,29231,2787,41902,3533,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,344343,5706,180788,3146,111548,4195,105095,4207,6453,1237,12925,1808,14117,1857,12670,1882,15423,2548,14105,1807,163555,4528,81834,3702,79291,3525,2543,746,21776,2451,18815,1828,19225,2138,11654,1792,10251,1429,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2687991,19218,1431398,14856,1087452,15881,1017759,16263,69693,4573,60843,6064,83421,5747,50097,4501,51548,5193,98037,6650,1256593,13530,853999,15039,824613,14876,29386,3144,103540,7182,113986,6533,79360,5540,34128,3268,71580,4277,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1235755,12185,647885,8140,480804,8308,452944,8477,27860,2451,29282,3571,33446,3125,34281,2792,17535,1985,52537,4208,587870,8008,381455,6863,370853,6978,10602,1743,51478,4295,47063,3287,66192,4121,14288,2138,27394,2720,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16426694,38419,8854156,25612,6559870,29953,6198723,27270,361147,9373,413933,11089,526203,11558,293326,10497,217497,7650,843327,15931,7572538,30378,4940796,29637,4782183,28247,158613,8302,687272,14660,816379,13469,401606,11061,142369,6828,584116,14431,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2492419,12726,1326411,8549,996964,9883,916843,10228,80121,4427,65952,3648,77844,4678,45719,3665,44360,3609,95572,5152,1166008,9620,763650,10290,727001,10151,36649,3371,123934,5676,111486,5367,59334,4338,33427,3140,74177,5366,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1742494,10890,891598,7591,658888,8600,614594,8613,44294,3420,61031,3701,50100,3670,34643,2448,14345,2064,72591,4084,850896,8138,551358,9002,536144,9054,15214,1439,116574,4820,88128,4524,39386,3622,7889,1294,47561,3363,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,420365,5587,213223,3400,163198,4577,150292,4351,12906,1900,10867,1534,5780,1110,15694,2322,7154,1653,10530,1519,207142,4426,143100,4614,139177,4590,3923,931,24777,2534,7949,1178,20241,2042,4159,1179,6916,1265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,310607,5456,150078,3527,79053,4223,74398,4209,4655,1009,24082,2359,6595,1158,2721,876,30299,2296,7328,1778,160529,4243,69652,4173,66986,4076,2666,862,36442,2489,9907,1420,4317,975,34907,2570,5304,1135,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8101898,33734,4158506,24111,3199750,27000,2884437,28277,315313,10196,177559,8763,276252,11661,104142,6038,106853,6422,293950,10863,3943392,24303,2814082,27023,2685111,26909,128971,6149,343798,10846,362205,11291,150140,7040,71134,5256,202033,8298,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4193776,27709,2190569,16463,1687197,19149,1567624,17991,119573,5674,90712,6276,120384,5935,68392,4839,74112,4849,149772,8206,2003207,19282,1366362,19898,1319085,19394,47277,4273,161827,7759,196230,7563,120303,6627,65864,4471,92621,6027,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,629523,8252,324396,5469,213767,6034,199229,6102,14538,1904,17177,2266,14415,1560,24728,2550,29166,2384,25143,2496,305127,5789,191145,5923,182368,5881,8777,1465,28673,2598,9325,2013,42751,2724,14733,1992,18500,2403,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,684916,9310,368584,6458,259056,7428,239239,7137,19817,2558,16472,2412,23756,3122,20656,2590,13899,2056,34745,3543,316332,6580,198393,6091,189434,6133,8959,2056,28390,3172,36254,3219,22822,2698,8704,1465,21769,2324,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
