GEO_ID,B07004G_001E,B07004G_001M,B07004G_002E,B07004G_002M,B07004G_003E,B07004G_003M,B07004G_004E,B07004G_004M,B07004G_005E,B07004G_005M,B07004G_006E,B07004G_006M,NAME,B07004G_001MA,B07004G_001EA,B07004G_002MA,B07004G_002EA,B07004G_003MA,B07004G_003EA,B07004G_004MA,B07004G_004EA,B07004G_005EA,B07004G_005MA,B07004G_006EA,B07004G_006MA,state
0400000US01,61074,5127,47375,4576,5714,1725,3295,1149,3526,1156,1164,821,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58004,4625,45250,4395,9298,2173,1608,590,1804,865,44,73,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,187897,11472,138795,10825,31842,4987,3748,1931,11229,2974,2283,1372,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,56373,5597,43380,4909,7597,2285,2750,1076,2425,918,221,257,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1545208,33524,1251342,29482,199841,10740,60417,5759,24412,3947,9196,2002,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166632,9175,127928,8993,21725,4178,9862,2047,6331,1701,786,436,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,85786,5757,71695,5300,8857,2153,2669,1030,2168,830,397,247,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23551,3328,19353,3319,2515,1045,253,374,1067,805,363,436,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12075,1629,8882,1287,1276,653,0,200,1598,624,319,386,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,408147,19405,316798,16846,50515,7517,17352,3430,16576,3352,6906,2900,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,183647,12076,141363,10440,21937,4162,10535,3328,9074,2489,738,677,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,324407,12999,281996,12799,33611,5234,2259,973,6021,1599,520,303,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,38286,3938,26472,2558,4777,2099,3314,1320,3414,1962,309,320,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,254303,12532,207612,11583,28015,4167,9549,2483,7513,1520,1614,815,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,138255,7111,110741,7031,17520,2213,6443,1261,2751,926,800,482,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,58347,4761,43577,4283,8690,1815,2716,823,3202,1243,162,127,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,93491,6336,76205,6158,9617,1951,3500,952,3030,858,1139,755,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,76318,6073,60159,5021,8788,2451,3711,1307,3117,1116,543,549,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,75148,6236,60836,5501,8049,2174,4253,1354,1752,722,258,215,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,24622,2685,17323,2507,5107,1465,1375,605,598,393,219,298,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,146790,8149,120764,7409,14601,2921,4420,1487,5767,1325,1238,671,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,163282,10920,135171,9925,15242,2538,5462,1599,4000,1309,3407,1450,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,245627,9924,196545,9473,33685,3998,11228,2449,3132,873,1037,600,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,129581,8456,100251,7475,18669,3540,7649,1820,2435,945,577,448,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,33279,4603,28140,4383,2405,1008,1640,875,1094,623,0,206,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
