GEO_ID,C17020D_001E,C17020D_001M,C17020D_002E,C17020D_002M,C17020D_003E,C17020D_003M,C17020D_004E,C17020D_004M,C17020D_005E,C17020D_005M,C17020D_006E,C17020D_006M,C17020D_007E,C17020D_007M,C17020D_008E,C17020D_008M,C17020D_009E,C17020D_009M,NAME,C17020D_001EA,C17020D_001MA,C17020D_002EA,C17020D_002MA,C17020D_003MA,C17020D_003EA,C17020D_004MA,C17020D_004EA,C17020D_005MA,C17020D_005EA,C17020D_006EA,C17020D_006MA,C17020D_007EA,C17020D_007MA,C17020D_008MA,C17020D_008EA,C17020D_009MA,C17020D_009EA,state
0400000US01,53378,2249,6609,1738,1172,581,4947,1341,490,320,46769,2463,11822,948,31693,2060,3254,899,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37390,2035,3395,1946,1297,1253,1918,794,180,157,33995,2228,7207,1232,23427,1506,3361,737,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,174202,6131,21815,4307,4735,1886,15739,2813,1341,706,152387,6830,32446,3752,104892,4156,15049,1371,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33915,2596,4458,1680,412,376,3997,1459,49,101,29457,3113,8649,1517,19197,2078,1611,657,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4903443,18099,609232,20666,132036,8499,395843,14233,81353,4560,4294211,26458,856779,12584,2928342,17853,509090,5868,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,140924,3955,15100,2777,3749,1116,10121,1991,1230,621,125824,5231,31957,2898,83565,3582,10302,870,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134573,2603,11730,3450,3081,1553,8399,2217,250,212,122843,4435,33318,2236,81653,2831,7872,480,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29438,1177,1495,660,258,244,895,546,342,294,27943,1348,6879,665,18347,850,2717,771,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20294,1448,2055,829,103,185,1747,763,205,181,18239,1507,1526,563,15738,1208,975,389,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,456006,8551,57278,6730,10545,2634,42226,5133,4507,1146,398728,11780,82123,5389,273909,8411,42696,2600,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,316031,7761,40163,5964,10439,2386,27413,4397,2311,889,275868,9705,66404,3694,190410,7137,19054,1797,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,515086,9664,36215,5288,6351,2028,20668,3468,9196,1807,478871,10645,72236,5053,301561,6787,105074,2736,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20363,2493,4408,2371,1296,815,3084,1618,28,53,15955,2651,3214,1146,10356,2176,2385,866,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,585171,6585,70328,7658,12446,2416,50730,5873,7152,1663,514843,9419,119551,4277,347156,6218,48136,2438,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,97630,4791,18105,2865,3608,1316,13738,1902,759,343,79525,4699,20598,2452,53071,3093,5856,1137,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,52531,2445,8884,1799,1658,729,6850,1386,376,252,43647,2897,11309,1337,30040,2202,2298,538,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,64955,3160,8330,2055,2370,822,5535,1306,425,351,56625,3524,13910,1768,38665,2414,4050,662,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,49246,2727,6484,2267,1724,1204,4575,1272,185,176,42762,3379,12809,1736,26319,2165,3634,688,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,71003,2877,13284,2958,3173,1215,8683,1823,1428,601,57719,3722,13639,1897,40100,2810,3980,1066,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13117,1837,1161,552,112,149,768,435,281,199,11956,1838,3238,1003,7519,1163,1199,507,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,324577,4692,24063,3862,5978,1721,14912,2638,3173,1058,300514,5917,67333,3177,205606,3495,27575,1216,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,350719,5120,55855,5193,10425,2046,37706,3728,7724,1429,294864,6244,71673,3072,205551,4296,17640,1704,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,234256,5148,33062,3695,8539,1812,22676,2614,1847,517,201194,5467,51493,3093,134512,3735,15189,869,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,212195,3732,35850,5300,14781,2924,19494,2842,1575,545,176345,5757,50539,3455,116986,3328,8820,1010,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,25722,3226,3769,1638,776,654,2688,1169,305,171,21953,3575,6682,1837,13797,2281,1474,582,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
