GEO_ID,B09010_001E,B09010_001M,B09010_002E,B09010_002M,B09010_003E,B09010_003M,B09010_004E,B09010_004M,B09010_005E,B09010_005M,B09010_006E,B09010_006M,B09010_007E,B09010_007M,B09010_008E,B09010_008M,B09010_009E,B09010_009M,B09010_010E,B09010_010M,B09010_011E,B09010_011M,B09010_012E,B09010_012M,B09010_013E,B09010_013M,NAME,B09010_001MA,B09010_001EA,B09010_002EA,B09010_002MA,B09010_003MA,B09010_003EA,B09010_004EA,B09010_004MA,B09010_005EA,B09010_005MA,B09010_006EA,B09010_006MA,B09010_007EA,B09010_007MA,B09010_008EA,B09010_008MA,B09010_009EA,B09010_009MA,B09010_010MA,B09010_010EA,B09010_011EA,B09010_011MA,B09010_012MA,B09010_012EA,B09010_013EA,B09010_013MA,state
0400000US01,1121776,2462,399202,10179,396897,10120,140642,9518,23415,3635,232840,10386,2305,989,722574,10727,720030,10794,553560,13445,47515,5769,118955,7077,2544,925,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,187613,461,43670,4125,43378,4112,22128,3338,4480,1378,16770,2877,292,237,143943,4013,143643,3992,100482,5029,16081,2448,27080,3782,300,185,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1619994,1576,540334,20560,535362,20733,236566,18180,59421,8524,239375,14696,4972,1791,1079660,20383,1073538,20608,761474,19902,97975,10439,214089,14362,6122,1916,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,707738,1725,240362,12165,238614,12084,88660,9394,21185,3999,128769,8836,1748,931,467376,12111,464595,12026,350754,11711,31214,4278,82627,6424,2781,1183,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9243351,2499,2356737,35422,2339517,35918,1091082,33092,245034,15328,1003401,28365,17220,3117,6886614,35368,6849554,35838,5092786,41247,560906,18052,1195862,29406,37060,4988,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1226268,1878,252588,12243,249448,12169,115150,9228,25187,5035,109111,9782,3140,1295,973680,12558,969434,12606,761360,14355,70499,6334,137575,8562,4246,1484,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,801263,627,158206,8610,157207,8630,47414,6024,9205,2139,100588,6490,999,511,643057,8550,639396,8468,501865,8968,33791,4047,103740,6459,3661,1218,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,204233,420,63710,5891,63202,5820,21472,3940,9768,2738,31962,4387,508,569,140523,5911,139112,6115,101686,5519,10875,2916,26551,4142,1411,1138,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,105198,290,41418,3396,41353,3393,3712,1181,4083,1933,33558,3843,65,107,63780,3400,63691,3395,35330,2474,5237,1687,23124,3612,89,108,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3982401,3493,1254929,27077,1239993,26866,518788,24553,123372,11598,597833,19997,14936,3607,2727472,27887,2711249,28563,1932170,31882,195563,12177,583516,21789,16223,3236,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2482569,3300,775152,21626,767415,21355,281448,17732,70623,8286,415344,16067,7737,2850,1707417,21281,1699019,20964,1266620,21230,109051,9723,323348,15829,8398,2730,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,303149,844,76556,6614,75194,6657,40244,5427,7167,2308,27783,4714,1362,982,226593,6605,225442,6661,173124,6087,17580,2981,34738,4256,1151,641,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,426507,1299,113763,7400,111777,7462,54964,6010,10634,2559,46179,5833,1986,950,312744,7451,309464,7686,260296,8669,16379,3350,32789,4486,3280,1857,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
