GEO_ID,C27001C_001E,C27001C_001M,C27001C_002E,C27001C_002M,C27001C_003E,C27001C_003M,C27001C_004E,C27001C_004M,C27001C_005E,C27001C_005M,C27001C_006E,C27001C_006M,C27001C_007E,C27001C_007M,C27001C_008E,C27001C_008M,C27001C_009E,C27001C_009M,C27001C_010E,C27001C_010M,NAME,C27001C_001EA,C27001C_001MA,C27001C_002EA,C27001C_002MA,C27001C_003EA,C27001C_003MA,C27001C_004MA,C27001C_004EA,C27001C_005MA,C27001C_005EA,C27001C_006EA,C27001C_006MA,C27001C_007EA,C27001C_007MA,C27001C_008MA,C27001C_008EA,C27001C_009MA,C27001C_009EA,C27001C_010MA,C27001C_010EA,state
0400000US01,23925,2213,5922,982,5781,1023,141,162,16207,1967,12586,1564,3621,1157,1796,489,1796,489,0,190,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,99999,3758,30677,1878,24262,1714,6415,906,61361,2441,30276,1899,31085,2003,7961,652,7512,667,449,311,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,283758,5035,92226,2869,73593,3321,18633,3251,170123,3362,111901,4597,58222,4889,21409,1141,20177,1247,1232,596,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16534,2404,4044,1082,3903,1066,141,136,10310,1972,7271,1387,3039,1137,2180,644,2180,644,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,281437,14027,73068,6351,62644,5477,10424,2847,183340,9117,126239,6717,57101,5637,25029,2533,24785,2489,244,224,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,48934,4837,14564,2661,11998,2222,2566,1475,31717,2937,21782,2395,9935,2138,2653,534,2584,536,69,112,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,7172,1778,2506,982,2448,975,58,93,4063,1048,3061,811,1002,613,603,374,598,375,5,9,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2770,895,403,318,403,318,0,192,2174,835,1473,570,701,512,193,120,193,120,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,61871,6246,15101,3015,11133,2697,3968,1417,40431,4130,23801,2764,16630,3409,6339,1661,6329,1662,10,15,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24174,4411,6867,2718,5823,2623,1044,684,15851,2408,9079,1797,6772,1780,1456,580,1398,578,58,103,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3046,1086,902,697,902,697,0,187,1843,615,1697,621,146,137,301,294,301,294,0,187,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19534,2648,6175,1728,4795,1672,1380,586,11557,1384,7401,1314,4156,698,1802,720,1802,720,0,195,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,24947,3289,5567,1530,5567,1530,0,189,16668,2300,11994,1776,4674,1293,2712,756,2491,660,221,340,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
