B07409_002E,B07409_002M,B07409_003E,B07409_003M,B07409_004E,B07409_004M,B07409_005E,B07409_005M,B07409_006E,B07409_006M,B07409_007E,B07409_007M,B07409_008E,B07409_008M,B07409_009E,B07409_009M,B07409_010E,B07409_010M,B07409_011E,B07409_011M,B07409_012E,B07409_012M,B07409_013E,B07409_013M,B07409_014E,B07409_014M,B07409_015E,B07409_015M,B07409_016E,B07409_016M,B07409_017E,B07409_017M,B07409_018E,B07409_018M,B07409_019E,B07409_019M,B07409_020E,B07409_020M,B07409_021E,B07409_021M,B07409_022E,B07409_022M,B07409_023E,B07409_023M,B07409_024E,B07409_024M,B07409_025E,B07409_025M,B07409_026E,B07409_026M,B07409_027E,B07409_027M,B07409_028E,B07409_028M,B07409_029E,B07409_029M,B07409_030E,B07409_030M,GEO_ID,B07409_001E,B07409_001M,B07409_002MA,B07409_002EA,B07409_003MA,B07409_003EA,B07409_004MA,B07409_004EA,B07409_005EA,B07409_005MA,B07409_006EA,B07409_006MA,B07409_007EA,B07409_007MA,B07409_008MA,B07409_008EA,B07409_009MA,B07409_009EA,B07409_010EA,B07409_010MA,B07409_011EA,B07409_011MA,B07409_012EA,B07409_012MA,B07409_013MA,B07409_013EA,B07409_014MA,B07409_014EA,B07409_015MA,B07409_015EA,B07409_016EA,B07409_016MA,B07409_017EA,B07409_017MA,B07409_018EA,B07409_018MA,B07409_019EA,B07409_019MA,B07409_020MA,B07409_020EA,B07409_021EA,B07409_021MA,B07409_022MA,B07409_022EA,B07409_023EA,B07409_023MA,B07409_024EA,B07409_024MA,B07409_025MA,B07409_025EA,B07409_026MA,B07409_026EA,B07409_027MA,B07409_027EA,B07409_028MA,B07409_028EA,B07409_029EA,B07409_029MA,B07409_030MA,B07409_030EA,NAME,B07409_001EA,B07409_001MA,state
549349,13954,979006,12661,939532,13314,445222,12378,264975,9095,2805543,13136,476573,12818,868531,11929,825284,12362,394392,10260,240763,8667,227685,10239,45452,4222,71263,5505,73872,5428,25234,3369,11864,2009,85222,6655,19235,3140,27451,3368,22740,3484,11018,2281,4778,1099,59634,6277,8089,1857,11761,2243,17636,3390,14578,3027,7570,1792,0400000US01,3178084,7874,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,01
42712,3477,136280,5491,179696,7531,82965,4583,45355,3381,381239,4953,31203,2522,109128,4892,141106,5983,64208,3682,35594,2914,43238,3954,4001,1102,11266,2016,17864,2730,6293,1473,3814,1307,11115,2016,938,411,3015,1011,4208,1252,1353,491,1601,753,51416,6632,6570,1984,12871,2822,16518,3439,11111,2942,4346,1174,0400000US02,487008,7338,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,02
595944,14937,1032500,19644,1439884,22038,699605,14137,396120,10947,3477999,22929,491583,13553,864758,17826,1183376,22205,593326,13939,344956,9228,494421,18836,78643,5737,120860,8636,186971,12913,77165,7087,30782,4504,68199,7448,11399,2143,17396,3106,26781,3452,7926,2427,4697,1549,123434,10311,14319,2829,29486,3573,42756,4669,21188,2504,15685,2586,0400000US04,4164053,14406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,04
315856,10600,694087,14619,540465,12932,254212,7422,138462,6827,1681011,11175,267101,9204,598749,12788,463506,12454,226952,7517,124703,6562,162563,8113,29818,3773,61369,6072,48994,4056,15321,2649,7061,1765,55642,5520,13132,2506,20092,2976,15248,2282,4718,1396,2452,835,43866,3520,5805,1515,13877,2098,12717,2094,7221,1632,4246,1194,0400000US05,1943082,6418,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,05
4606384,38460,5136280,40246,7260680,36563,4645917,39546,2683284,29704,20945180,43177,3993912,38836,4416475,37477,6204849,34560,3992292,38256,2337652,27736,2433680,34376,478252,15960,531799,14137,758513,19004,449442,15830,215674,10277,620633,18059,98316,6615,127170,7688,197000,8631,124933,7375,73214,5338,333052,12887,35904,3348,60836,5518,100318,6966,79250,5880,56744,4278,0400000US06,24332545,22287,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,06
326336,9801,748873,13440,1045572,16005,773298,15500,442534,11228,2821624,13278,263413,9570,638478,13103,879971,14290,653593,14911,386169,10195,266915,10715,34868,3838,56848,5327,84708,5851,62008,5089,28483,3222,153486,8300,19847,2642,37246,4528,50858,4554,31216,3441,14319,2822,94588,6935,8208,1843,16301,2414,30035,3877,26481,2963,13563,1811,0400000US08,3336613,10716,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,08
265698,8598,679689,12275,619726,12002,494392,9492,383113,11194,2199441,9781,234605,7716,614312,11718,554325,10518,446964,8860,349235,9738,155091,9281,23346,2861,45343,4708,41448,3030,28188,3096,16766,2125,38885,3411,4498,858,9822,1897,11974,2001,7300,1552,5291,1037,49201,5193,3249,1264,10212,2385,11979,2700,11940,2274,11821,2190,0400000US09,2442618,6666,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,09
78364,4647,193859,6876,159472,6348,102294,4648,70397,5094,543512,5265,69347,4551,171723,6808,145529,6464,92517,4755,64396,5016,39855,3751,6924,1972,13964,2234,10293,1635,5725,1397,2949,791,5360,1578,1058,665,2502,983,909,455,755,403,136,153,15659,2736,1035,467,5670,1817,2741,903,3297,1131,2916,1011,0400000US10,604386,4362,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,10
54701,3990,78017,4698,72279,4051,100363,4267,120911,3998,351125,4640,47210,3580,65397,4630,61110,3717,78746,3730,98662,3789,42570,4072,5352,1554,7370,1533,6761,1254,10425,1631,12662,1770,0,193,0,193,0,193,0,193,0,193,0,193,32576,3926,2139,875,5250,1282,4408,1365,11192,2123,9587,1771,0400000US11,426271,5181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,11
1848386,23985,3982894,39576,3901098,36053,2148034,25200,1205354,20954,11364681,35734,1590520,24651,3456005,38286,3363888,33993,1880905,27452,1073363,18951,1116074,28340,177409,9565,351071,15126,346147,13019,160945,11096,80502,5863,336187,15851,50379,4026,102477,8052,104826,7982,54852,4967,23653,3066,268824,12748,30078,3318,73341,5446,86237,5599,51332,5054,27836,3612,0400000US12,13085766,22744,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,12
