GEO_ID,B27001D_001E,B27001D_001M,B27001D_002E,B27001D_002M,B27001D_003E,B27001D_003M,B27001D_004E,B27001D_004M,B27001D_005E,B27001D_005M,B27001D_006E,B27001D_006M,B27001D_007E,B27001D_007M,B27001D_008E,B27001D_008M,B27001D_009E,B27001D_009M,B27001D_010E,B27001D_010M,B27001D_011E,B27001D_011M,B27001D_012E,B27001D_012M,B27001D_013E,B27001D_013M,B27001D_014E,B27001D_014M,B27001D_015E,B27001D_015M,B27001D_016E,B27001D_016M,B27001D_017E,B27001D_017M,B27001D_018E,B27001D_018M,B27001D_019E,B27001D_019M,B27001D_020E,B27001D_020M,B27001D_021E,B27001D_021M,B27001D_022E,B27001D_022M,B27001D_023E,B27001D_023M,B27001D_024E,B27001D_024M,B27001D_025E,B27001D_025M,B27001D_026E,B27001D_026M,B27001D_027E,B27001D_027M,B27001D_028E,B27001D_028M,NAME,B27001D_001MA,B27001D_001EA,B27001D_002EA,B27001D_002MA,B27001D_003EA,B27001D_003MA,B27001D_004EA,B27001D_004MA,B27001D_005EA,B27001D_005MA,B27001D_006MA,B27001D_006EA,B27001D_007EA,B27001D_007MA,B27001D_008EA,B27001D_008MA,B27001D_009EA,B27001D_009MA,B27001D_010EA,B27001D_010MA,B27001D_011EA,B27001D_011MA,B27001D_012EA,B27001D_012MA,B27001D_013EA,B27001D_013MA,B27001D_014EA,B27001D_014MA,B27001D_015EA,B27001D_015MA,B27001D_016EA,B27001D_016MA,B27001D_017MA,B27001D_017EA,B27001D_018EA,B27001D_018MA,B27001D_019EA,B27001D_019MA,B27001D_020EA,B27001D_020MA,B27001D_021EA,B27001D_021MA,B27001D_022MA,B27001D_022EA,B27001D_023EA,B27001D_023MA,B27001D_024EA,B27001D_024MA,B27001D_025EA,B27001D_025MA,B27001D_026EA,B27001D_026MA,B27001D_027MA,B27001D_027EA,B27001D_028MA,B27001D_028EA,state
0400000US01,53772,2216,3372,807,3194,833,178,135,9622,1222,8935,1178,687,411,5432,1133,3464,935,1968,1118,10510,1673,7215,1606,3295,1126,10662,1824,8810,1705,1852,619,5750,1285,5029,1253,721,364,4680,939,3629,964,1051,725,2822,896,2416,843,406,309,922,435,781,385,141,257,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37159,2056,2194,743,2079,750,115,121,6464,1041,5813,1086,651,364,3463,553,1865,588,1598,542,5345,671,3554,739,1791,748,5058,834,3766,777,1292,554,6253,852,4163,832,2090,617,4841,641,3062,790,1779,601,2424,732,2128,751,296,363,1117,237,1117,237,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,175837,6202,10514,2198,10339,2210,175,170,26667,2817,23386,2793,3281,1379,16371,1606,12854,1534,3517,997,30620,1814,24862,2304,5758,2168,33102,1774,29125,2169,3977,1521,23251,1141,17950,1843,5301,1508,18922,1198,14901,1577,4021,1260,10435,1094,10211,1165,224,226,5955,826,5702,889,253,296,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34342,2594,3108,861,2538,841,570,449,5953,1306,5333,1266,620,402,3723,1145,2499,954,1224,705,7487,1292,4554,917,2933,1095,6267,1193,4630,1144,1637,902,3722,1220,3019,1145,703,422,2422,658,1475,570,947,525,1066,504,1066,504,0,192,594,461,573,460,21,28,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4944665,17970,317682,7602,305704,7457,11978,2227,677495,9176,632480,9241,45015,3684,478191,5421,366235,7527,111956,6061,753456,5907,594562,8090,158894,6934,794117,5149,678341,7235,115776,5881,733499,4601,590454,6879,143045,6292,599782,3743,482486,7199,117296,6105,331237,2473,317422,3434,13815,2249,259206,3010,255332,3333,3874,1296,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,142057,3877,10378,1389,8914,1456,1464,691,25655,2300,20712,2624,4943,1407,13606,1165,9881,1280,3725,951,22332,1664,18314,1776,4018,1156,26465,2142,19984,2082,6481,2003,19122,1839,15519,1866,3603,1015,12967,1055,10418,997,2549,778,6337,800,6186,783,151,179,5195,846,5029,848,166,187,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,140560,2423,11324,913,11164,917,160,151,25328,1305,24005,1398,1323,760,13542,1187,11136,1140,2406,922,26746,1343,23957,1584,2789,907,26184,1038,22957,1526,3227,1293,17710,686,15637,958,2073,804,11604,710,9284,1177,2320,1075,5308,667,4581,674,727,413,2814,529,2549,569,265,294,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29831,1200,2785,457,2697,463,88,85,4352,655,4180,691,172,203,2606,345,2294,462,312,363,5744,529,4939,688,805,566,5596,620,5302,660,294,199,3166,431,2678,529,488,354,2523,328,2117,475,406,304,2452,822,2419,823,33,55,607,338,607,338,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22443,964,726,352,726,352,0,200,903,380,903,380,0,200,4441,253,4269,390,172,205,7230,610,6549,683,681,372,4353,744,4256,736,97,176,1828,761,1735,777,93,124,1782,312,1392,363,390,293,652,278,652,278,0,200,528,432,528,432,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,460242,8833,29487,3219,26915,3375,2572,983,63831,4236,53850,4358,9981,2296,46929,3466,31022,2986,15907,3194,75161,3968,52205,3773,22956,3475,78571,3432,57731,3918,20840,3130,65279,2872,50859,3352,14420,2225,53781,2335,40280,2870,13501,2070,30457,2195,27414,2240,3043,1443,16746,1921,15749,2038,997,789,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,321376,7527,24344,2351,21610,2539,2734,1179,53018,3121,43432,3215,9586,2245,32034,2388,22423,2586,9611,1755,53754,2528,39072,2916,14682,2582,63950,3535,43210,3702,20740,3578,43270,2347,29074,2974,14196,2612,29641,1985,18861,2507,10780,2183,16574,2107,13692,1969,2882,1278,4791,1242,4748,1264,43,73,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
