GEO_ID,C17025_001E,C17025_001M,C17025_002E,C17025_002M,C17025_003E,C17025_003M,C17025_004E,C17025_004M,C17025_005E,C17025_005M,C17025_006E,C17025_006M,C17025_007E,C17025_007M,C17025_008E,C17025_008M,C17025_009E,C17025_009M,C17025_010E,C17025_010M,C17025_011E,C17025_011M,NAME,C17025_001MA,C17025_001EA,C17025_002EA,C17025_002MA,C17025_003MA,C17025_003EA,C17025_004EA,C17025_004MA,C17025_005MA,C17025_005EA,C17025_006EA,C17025_006MA,C17025_007MA,C17025_007EA,C17025_008EA,C17025_008MA,C17025_009EA,C17025_009MA,C17025_010EA,C17025_010MA,C17025_011MA,C17025_011EA,state
0400000US01,4687363,2037,892483,23804,855537,23582,36946,4408,5587,1473,31359,3953,3794880,23675,3672281,25828,122599,6149,51338,3749,71261,5635,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,706860,918,73905,5839,67786,5398,6119,1953,1983,1054,4136,1708,632955,5681,588107,6485,44848,3751,24118,2625,20730,3246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6336449,3861,1203501,38097,969475,30552,234026,14874,42981,4152,191045,13939,5132948,38522,4512286,35553,620662,17170,281722,13250,338940,13074,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2856663,2079,555876,17602,524541,16242,31335,5594,3818,1438,27517,5081,2300787,17290,2205513,16518,95274,6938,32284,3239,62990,6908,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36941931,7933,6118803,71852,4208597,54044,1910206,34115,512878,15847,1397328,30400,30823128,71089,22641471,72013,8181657,46134,4222191,34445,3959466,39968,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5002128,3154,674195,21621,569095,19125,105100,8775,15867,2100,89233,8519,4327933,21979,3946336,23477,381597,12548,159817,7754,221780,10262,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3471802,1406,377856,17034,316552,13212,61304,7455,21093,3252,40211,6080,3093946,16999,2686600,18096,407346,12216,211246,7176,196100,9206,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882353,1386,104831,8149,95743,7572,9088,2736,1372,740,7716,2612,777522,8409,711066,10438,66456,4727,30952,3278,35504,3765,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,584583,305,109363,8006,96267,7625,13096,2390,2774,957,10322,2184,475220,7944,408167,9422,67053,5225,27891,2872,39162,4350,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18652057,5175,3173456,53070,2430317,45335,743139,22441,253469,12164,489670,18551,15478601,53494,12555094,63092,2923507,37994,1572357,27831,1351150,32782,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9550271,4699,1827743,40709,1611268,37058,216475,13630,43753,6787,172722,12665,7722528,41277,7013457,41715,709071,22629,325618,15816,383453,17713,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1338543,1297,161290,12291,129645,10396,31645,5654,12317,2480,19328,5046,1177253,12452,966830,15106,210423,10656,123873,6257,86550,7861,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
