GEO_ID,C03002_001E,C03002_001M,C03002_002E,C03002_002M,C03002_003E,C03002_003M,C03002_004E,C03002_004M,C03002_005E,C03002_005M,C03002_006E,C03002_006M,C03002_007E,C03002_007M,C03002_008E,C03002_008M,C03002_009E,C03002_009M,C03002_010E,C03002_010M,C03002_011E,C03002_011M,C03002_012E,C03002_012M,NAME,C03002_001EA,C03002_001MA,C03002_002MA,C03002_002EA,C03002_003EA,C03002_003MA,C03002_004EA,C03002_004MA,C03002_005EA,C03002_005MA,C03002_006EA,C03002_006MA,C03002_007MA,C03002_007EA,C03002_008MA,C03002_008EA,C03002_009EA,C03002_009MA,C03002_010EA,C03002_010MA,C03002_011EA,C03002_011MA,C03002_012MA,C03002_012EA,state
0400000US01,4802740,-555555555,4616536,1731,3202563,2187,1274852,4425,22533,1721,53243,2252,1902,1210,3880,2196,57563,4931,2546,1041,55017,4727,186204,1731,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,722718,-555555555,681091,180,459836,438,21811,1875,99791,3438,37971,2083,7557,747,529,399,53596,4330,273,222,53323,4329,41627,180,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6482505,-555555555,4533210,-555555555,3713340,2476,250296,5984,263305,3837,173826,5773,10983,1449,6376,2297,115084,9199,3675,1265,111409,9422,1949295,-555555555,Arizona,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,04
0400000US05,2937979,-555555555,2747932,1436,2181458,1323,460178,4165,15374,2081,34006,2476,6967,1836,1425,776,48524,4787,914,614,47610,4725,190047,1436,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37691912,-555555555,23332412,-555555555,14917153,7949,2148618,12971,155431,6544,4905646,17200,136245,4759,73698,10347,995621,22771,51890,5871,943731,22087,14359500,-555555555,California,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,06
0400000US08,5116796,-555555555,4046237,-555555555,3560652,2129,196454,4677,27931,2813,140122,3795,5494,520,4848,1544,110736,6529,2765,992,107971,6493,1070559,-555555555,Colorado,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,08
0400000US09,3580709,-555555555,3086420,-555555555,2531612,2420,338670,4293,4373,1210,139496,2403,753,484,10131,2942,61385,4651,6407,1982,54978,4016,494289,-555555555,Connecticut,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,09
0400000US10,907135,-555555555,830982,-555555555,589845,271,189472,2469,2130,612,29818,1179,22,29,935,649,18760,2825,834,628,17926,2727,76153,-555555555,Delaware,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,10
0400000US11,617996,-555555555,559252,-555555555,217819,305,305776,1551,1485,360,22302,984,0,200,1421,973,10449,1631,76,82,10373,1630,58744,-555555555,District of Columbia,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,11
0400000US12,19057542,-555555555,14702491,568,10927459,5457,2922969,14792,42523,3176,455941,8735,10931,3016,36497,5970,306171,16441,26458,5734,279713,15979,4355051,568,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9815210,-555555555,8935143,3229,5441439,2693,2976744,11699,17014,2792,321114,7313,4904,2650,16526,3439,157402,10594,7879,3237,149523,10711,880067,3229,Georgia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1374810,-555555555,1248391,-555555555,314810,420,24969,1389,2875,958,512081,9628,121824,4924,1071,816,270761,11836,2556,1340,268205,11743,126419,-555555555,Hawaii,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,15
0400000US16,1584985,-555555555,1403245,468,1323093,2327,7496,1543,18009,2318,20196,2432,951,561,2410,2412,31090,3319,499,396,30591,3328,181740,468,Idaho,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12869259,-555555555,10792229,1760,8123890,5060,1843317,9458,14897,1931,595972,6360,1225,579,15454,4004,197474,10781,11601,2445,185873,10433,2077030,1761,Illinois,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6516922,-555555555,6117436,1944,5295511,2567,580310,6343,9850,1523,101921,4395,672,474,8360,3375,120812,6331,5578,2162,115234,5964,399486,1944,Indiana,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
