GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001EA,B19082_001MA,B19082_002EA,B19082_002MA,B19082_003EA,B19082_003MA,B19082_004EA,B19082_004MA,B19082_005MA,B19082_005EA,B19082_006MA,B19082_006EA,state
0400000US01,3.19,0.07,8.33,0.12,14.54,0.16,23.47,0.21,50.46,0.42,21.77,0.54,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4.20,0.20,10.38,0.35,16.49,0.40,23.77,0.44,45.17,1.06,18.31,1.21,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3.34,0.11,8.92,0.13,14.90,0.18,23.38,0.21,49.46,0.49,20.85,0.50,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3.33,0.10,8.53,0.15,14.61,0.19,23.32,0.30,50.21,0.58,21.41,0.75,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3.10,0.03,8.24,0.05,14.28,0.07,23.04,0.09,51.34,0.19,22.49,0.23,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3.41,0.08,9.01,0.12,14.90,0.17,23.25,0.22,49.43,0.48,21.07,0.63,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3.00,0.08,8.29,0.15,14.33,0.18,22.49,0.21,51.88,0.49,23.67,0.53,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3.74,0.19,9.50,0.32,15.47,0.34,23.57,0.48,47.73,1.07,20.31,1.22,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1.93,0.16,7.09,0.41,13.10,0.50,21.90,0.67,55.97,1.46,26.09,1.97,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3.32,0.05,8.49,0.08,14.13,0.12,22.32,0.17,51.73,0.36,23.69,0.46,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3.01,0.06,8.47,0.11,14.53,0.16,23.10,0.19,50.90,0.44,22.06,0.59,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
