GEO_ID,B01001A_001E,B01001A_001M,B01001A_002E,B01001A_002M,B01001A_003E,B01001A_003M,B01001A_004E,B01001A_004M,B01001A_005E,B01001A_005M,B01001A_006E,B01001A_006M,B01001A_007E,B01001A_007M,B01001A_008E,B01001A_008M,B01001A_009E,B01001A_009M,B01001A_010E,B01001A_010M,B01001A_011E,B01001A_011M,B01001A_012E,B01001A_012M,B01001A_013E,B01001A_013M,B01001A_014E,B01001A_014M,B01001A_015E,B01001A_015M,B01001A_016E,B01001A_016M,B01001A_017E,B01001A_017M,B01001A_018E,B01001A_018M,B01001A_019E,B01001A_019M,B01001A_020E,B01001A_020M,B01001A_021E,B01001A_021M,B01001A_022E,B01001A_022M,B01001A_023E,B01001A_023M,B01001A_024E,B01001A_024M,B01001A_025E,B01001A_025M,B01001A_026E,B01001A_026M,B01001A_027E,B01001A_027M,B01001A_028E,B01001A_028M,B01001A_029E,B01001A_029M,B01001A_030E,B01001A_030M,B01001A_031E,B01001A_031M,NAME,B01001A_001EA,B01001A_001MA,B01001A_002MA,B01001A_002EA,B01001A_003MA,B01001A_003EA,B01001A_004EA,B01001A_004MA,B01001A_005EA,B01001A_005MA,B01001A_006EA,B01001A_006MA,B01001A_007EA,B01001A_007MA,B01001A_008MA,B01001A_008EA,B01001A_009MA,B01001A_009EA,B01001A_010EA,B01001A_010MA,B01001A_011EA,B01001A_011MA,B01001A_012EA,B01001A_012MA,B01001A_013MA,B01001A_013EA,B01001A_014MA,B01001A_014EA,B01001A_015EA,B01001A_015MA,B01001A_016EA,B01001A_016MA,B01001A_017EA,B01001A_017MA,B01001A_018EA,B01001A_018MA,B01001A_019MA,B01001A_019EA,B01001A_020MA,B01001A_020EA,B01001A_021EA,B01001A_021MA,B01001A_022EA,B01001A_022MA,B01001A_023EA,B01001A_023MA,B01001A_024MA,B01001A_024EA,B01001A_025MA,B01001A_025EA,B01001A_026EA,B01001A_026MA,B01001A_027EA,B01001A_027MA,B01001A_028EA,B01001A_028MA,B01001A_029EA,B01001A_029MA,B01001A_030MA,B01001A_030EA,B01001A_031MA,B01001A_031EA,state
0400000US01,3318110,8630,1622668,5726,95501,1996,100951,3864,100612,3989,63653,1117,44239,2111,109770,2415,100831,2662,100074,1714,210308,2130,242807,1556,219933,852,141172,564,71762,2060,21055,1995,1695442,5921,89437,1674,94026,3625,105248,2958,61509,1696,41526,2078,108893,2210,98859,1773,99628,1706,211603,2362,245702,1292,231691,920,162743,930,102650,2694,41927,2531,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,482698,2741,253207,1656,15510,466,14638,1494,15179,1456,8835,263,6157,662,19415,742,20165,672,17359,357,34204,771,41354,442,38013,507,15467,360,5802,419,1109,350,229491,1675,14284,515,13422,1314,14529,1368,9325,452,4813,731,15935,835,17960,354,16253,537,30701,668,37670,538,32874,339,13076,158,5977,651,2672,632,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5141027,23299,2548651,12469,167273,3658,166607,6458,172107,6613,101115,2277,69155,2569,177750,4068,172858,2826,165213,3753,320486,4052,339031,3010,312975,2150,222980,1524,125097,3357,36004,3436,2592376,13624,155491,3790,164231,6857,156357,7432,97040,2392,66386,2836,168365,3980,166004,2470,154886,3502,317255,3126,350476,3068,341674,1838,246182,1421,140847,4444,67182,4283,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2296248,7497,1133459,4452,70541,2034,73532,3486,72948,3703,44091,1233,29057,1871,77253,2382,73899,1716,70691,1989,143057,2233,162463,1714,147546,992,100350,547,51799,1693,16232,1795,1162789,5016,67708,1926,69329,3546,69161,3250,39766,1326,27347,1910,76224,2115,70296,1816,71804,1539,140257,1952,162141,1376,156481,907,111334,373,72144,2216,28797,2219,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23698393,65345,11838540,34309,744361,7672,753992,13006,782373,12271,502671,5314,335772,5087,881442,8606,859390,8240,814392,7721,1592325,9604,1722668,6923,1421369,5702,804834,3740,446604,5236,176347,4762,11859853,38445,710986,8291,721736,12946,739493,12354,471343,6239,306272,5107,815152,8180,796262,7098,772927,7577,1533653,9961,1685921,8010,1490895,5818,907522,4202,585108,8230,322583,8679,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4318187,17394,2165440,10622,137957,2992,135937,5373,143835,5207,82976,2488,59163,1814,155200,2485,162766,2593,155703,2093,303929,3074,315971,2412,277335,1467,142709,1459,69838,1879,22121,1688,2152747,8835,127933,2478,139861,4857,127226,5038,75474,1769,53856,2160,141651,2835,152690,2183,147719,2406,288194,2632,319579,2404,287030,1558,156149,1202,87729,2367,47656,2257,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2787171,11468,1356044,6338,66153,1707,79597,3446,88426,3705,56155,1169,38163,884,84382,1580,78137,1522,73211,1740,169824,2121,231354,1586,193624,1073,108174,752,62060,1606,26784,1521,1431127,6412,64674,1544,77678,3579,80584,3286,52844,839,36797,742,78569,1401,75940,1281,74678,1442,178418,1677,239354,1792,204318,1127,123809,643,86978,2955,56486,2842,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,636680,4729,309585,2864,16603,792,18278,1490,16666,1579,11150,440,8657,553,21680,734,20432,901,17705,517,37621,845,47776,491,43568,320,28709,266,14893,909,5847,891,327095,2439,16464,616,16111,1447,18307,1718,11014,368,8013,224,22316,599,19754,790,17821,495,38288,684,49284,581,47250,334,32653,246,21113,1213,8707,1207,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,246505,3665,123838,2493,5780,460,3543,685,2602,769,1030,14,4475,1387,12706,1230,20670,633,16347,635,20702,653,13903,606,11326,507,6806,306,2644,476,1304,476,122667,1841,5516,438,2860,692,2661,710,1192,256,6539,1545,14837,1534,22652,517,15671,498,16506,674,10293,414,11776,444,6940,253,2836,503,2388,517,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14535897,31466,7126879,16918,365261,4545,374639,10119,392598,9651,251975,3385,174293,4666,458805,5422,434200,4660,412112,5238,906281,5554,1059939,5305,956624,3099,731814,2494,450346,6835,157992,6059,7409018,19550,346760,3664,362246,9573,371011,10075,234713,4289,161474,4611,436168,4821,416442,4653,399368,3406,890483,5800,1085265,4520,1058520,3527,823728,2701,556255,7513,266585,7870,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
