GEO_ID,C19101_001E,C19101_001M,C19101_002E,C19101_002M,C19101_003E,C19101_003M,C19101_004E,C19101_004M,C19101_005E,C19101_005M,C19101_006E,C19101_006M,C19101_007E,C19101_007M,C19101_008E,C19101_008M,C19101_009E,C19101_009M,C19101_010E,C19101_010M,C19101_011E,C19101_011M,NAME,C19101_001EA,C19101_001MA,C19101_002EA,C19101_002MA,C19101_003MA,C19101_003EA,C19101_004MA,C19101_004EA,C19101_005MA,C19101_005EA,C19101_006EA,C19101_006MA,C19101_007MA,C19101_007EA,C19101_008MA,C19101_008EA,C19101_009EA,C19101_009MA,C19101_010EA,C19101_010MA,C19101_011EA,C19101_011MA,state
0400000US01,1251795,13646,80266,4861,62131,4290,141059,6510,135588,6396,181407,4881,244316,7067,165965,6069,156462,5782,46190,3468,38411,2856,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,5143,997,3305,856,9956,1611,12427,1871,18963,1960,35911,3183,27333,2576,35377,2698,16143,2029,8721,1320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,92699,6770,59688,5383,148012,7301,158916,6392,229461,8656,305242,9166,205399,9041,210601,7596,71130,5116,62775,4663,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,47928,3543,36049,3359,93364,4723,91685,4780,118064,4942,151811,5955,93450,4502,82966,4394,23929,2638,17959,2120,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,402231,9683,294915,9519,783116,13984,747565,16038,1066346,16405,1466646,18831,1094136,19112,1372809,18735,622188,12775,668566,10645,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,52258,3643,29857,2992,91342,4667,99252,5095,163609,6995,246123,8084,180739,7596,219586,7281,92538,4719,81167,3926,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,32885,2963,20278,2320,51614,3397,62266,4619,90504,4176,142209,4934,131744,5196,174178,5280,87181,3918,100242,4242,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,8930,1484,5631,1196,13247,1848,20140,2212,29934,2738,42994,2999,37865,3320,40233,2961,14702,1953,13425,1579,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,10015,1670,4391,995,9557,1694,7259,1271,10532,1707,14865,1858,9860,1465,15924,1541,10243,1608,21399,1876,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,244681,10069,180281,7775,466791,12444,522119,14349,684603,13330,911198,21748,584254,15636,568042,12964,198473,7463,199416,8258,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
