GEO_ID,B15010_001E,B15010_001M,B15010_002E,B15010_002M,B15010_003E,B15010_003M,B15010_004E,B15010_004M,B15010_005E,B15010_005M,B15010_006E,B15010_006M,B15010_007E,B15010_007M,B15010_008E,B15010_008M,B15010_009E,B15010_009M,B15010_010E,B15010_010M,B15010_011E,B15010_011M,B15010_012E,B15010_012M,B15010_013E,B15010_013M,B15010_014E,B15010_014M,B15010_015E,B15010_015M,B15010_016E,B15010_016M,NAME,B15010_001MA,B15010_001EA,B15010_002MA,B15010_002EA,B15010_003EA,B15010_003MA,B15010_004EA,B15010_004MA,B15010_005EA,B15010_005MA,B15010_006MA,B15010_006EA,B15010_007MA,B15010_007EA,B15010_008MA,B15010_008EA,B15010_009EA,B15010_009MA,B15010_010EA,B15010_010MA,B15010_011EA,B15010_011MA,B15010_012MA,B15010_012EA,B15010_013MA,B15010_013EA,B15010_014EA,B15010_014MA,B15010_015EA,B15010_015MA,B15010_016EA,B15010_016MA,state
0400000US01,710532,12099,30627,2706,39827,3304,19961,2202,25856,2569,31510,2772,54929,3515,2469,842,72508,4008,168650,6964,128319,5852,22453,2348,32912,3476,17369,2078,20424,2562,42718,3117,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,120461,5752,2466,743,12847,1689,5700,1229,5447,1117,9384,1430,9172,1814,869,450,13428,1781,17479,1833,19597,2273,4947,1019,5210,914,4070,1102,3093,905,6752,1219,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1119198,17134,41045,4344,58314,4479,36886,3931,45605,3944,78597,5537,101192,6440,8496,1741,102924,7025,251205,9047,171971,8605,39308,3883,44708,3748,39671,4062,36890,3850,62386,4858,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,394820,10674,15897,2414,29716,3263,12296,2003,14171,2472,16879,1946,18848,2146,1641,707,41203,3661,87380,5220,80712,4289,13023,1859,18150,2027,11150,1768,11264,1703,22490,2888,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7406320,43401,352546,10186,480952,10088,256382,9725,382213,11341,745131,14085,736254,14793,48796,4465,593369,13780,1370873,21602,563961,11142,375926,9797,426926,10124,408536,11527,301789,10618,362666,10085,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1243092,18741,63116,4488,89485,5473,54639,4470,62756,4024,98629,4631,104646,5295,10245,1409,101159,5505,248487,7802,137446,6641,57465,3591,54865,3557,48299,4315,49851,3897,62004,4007,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,884059,13371,36956,3146,49182,3420,29008,2401,50118,3692,86091,4207,67275,4203,4919,999,71478,4148,178185,5749,102473,4646,53511,3310,51145,3356,38227,3147,26143,2236,39348,3225,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,176243,5352,6295,1252,10744,1791,10159,1636,7870,1406,12297,1629,15623,1920,1617,629,16895,2234,36047,3152,25263,2490,7758,1311,8044,1286,3972,958,3972,758,9687,1354,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,224764,4275,8058,1286,11828,1993,5366,1149,9943,1631,58229,3435,10315,2047,3003,736,9117,1460,26580,2365,10721,1634,20727,2401,21351,2288,10055,1287,12947,1736,6524,1195,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3429229,32583,116108,6309,164941,7271,105826,6894,162501,7119,253874,9876,260884,9468,15301,2072,336246,11973,833991,16961,504298,14232,123317,6621,152138,7743,107648,7205,123850,7806,168306,7653,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1738965,23892,83369,6669,93576,6721,54018,4454,73374,5236,119260,6418,122059,6533,10029,2058,145685,6774,434684,15580,241872,9362,66042,4694,81502,5629,59664,5229,65987,4650,87844,6712,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,273274,8200,8020,1254,18636,1850,6811,1236,14264,1778,26233,2624,18376,1972,2065,552,23364,2396,54033,3353,40008,2978,12506,1588,11936,1515,12467,1862,10454,1603,14101,1877,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,252095,8897,8519,1809,22078,2510,8675,1713,10635,1695,16735,2440,20587,2610,1012,476,24519,2848,49383,4427,43080,3155,9783,1752,9873,2014,7265,1367,6682,1343,13269,1983,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2643864,24998,117467,6702,143705,6771,82710,5407,119340,5800,194163,7994,191914,8164,12421,1518,242485,8185,577764,12145,370273,9350,111407,5865,126031,5023,113717,5310,115291,5888,125176,5661,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,979216,14386,33668,3169,56472,4090,33277,3026,34928,3015,48418,3388,66738,3704,2708,842,119613,5945,198363,7453,175154,6651,30827,3107,58819,4661,29702,3152,33615,3277,56914,4128,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,523099,10420,14496,1949,43568,2531,14929,1879,20299,2061,29218,2969,25938,2376,2085,861,50637,3926,109003,4599,106450,4234,18213,2142,26448,2804,15007,2185,18326,2365,28482,2680,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,558107,10989,19708,2175,39026,2446,16161,2122,23449,2364,27877,2114,34513,2977,2475,824,53893,3413,120550,5130,103340,4241,18873,2245,26137,2347,18511,2380,21346,2163,32248,2552,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,616025,13070,23131,2395,42211,3666,21458,2386,24154,2514,36018,3398,36846,3245,2755,953,63990,4140,122215,5546,111144,5281,24595,2286,29977,2469,17756,1921,22062,2603,37713,2729,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,627940,13845,17208,2662,45075,3822,19519,2118,23319,2210,33669,3011,39726,3058,2216,782,70418,4075,123534,6482,118834,6024,18006,2180,44101,3390,18527,2254,17906,2299,35882,3405,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,267551,6556,7384,1387,22631,2559,7871,1264,15144,1990,20972,1877,15949,1953,1964,486,28028,2461,37149,3036,42232,2676,16637,1703,17545,2034,12459,1654,7824,1305,13762,1515,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1444372,15855,80657,5172,102504,5054,59892,3909,66837,3971,150150,7055,110571,4598,8853,1532,119923,5710,264407,7724,162028,5276,72308,4271,78497,4298,48979,3681,51295,3752,67471,4631,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1762510,20380,76996,4237,111327,5429,73579,4260,92494,4547,170935,5998,155144,6821,7630,1217,142062,5601,326383,8785,175176,6233,113783,5487,101231,5200,78599,5233,54284,3274,82887,4456,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1688269,14245,61771,3772,88665,3138,60044,3812,70793,3724,92622,4908,169610,5271,9074,1492,180217,5998,352136,8123,268028,7837,56165,2835,73258,3579,48675,3509,57504,3653,99707,4239,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
