GEO_ID,C08113_001E,C08113_001M,C08113_002E,C08113_002M,C08113_003E,C08113_003M,C08113_004E,C08113_004M,C08113_005E,C08113_005M,C08113_006E,C08113_006M,C08113_007E,C08113_007M,C08113_008E,C08113_008M,C08113_009E,C08113_009M,C08113_010E,C08113_010M,C08113_011E,C08113_011M,C08113_012E,C08113_012M,C08113_013E,C08113_013M,C08113_014E,C08113_014M,C08113_015E,C08113_015M,C08113_016E,C08113_016M,C08113_017E,C08113_017M,C08113_018E,C08113_018M,C08113_019E,C08113_019M,C08113_020E,C08113_020M,C08113_021E,C08113_021M,C08113_022E,C08113_022M,C08113_023E,C08113_023M,C08113_024E,C08113_024M,C08113_025E,C08113_025M,C08113_026E,C08113_026M,C08113_027E,C08113_027M,C08113_028E,C08113_028M,C08113_029E,C08113_029M,C08113_030E,C08113_030M,NAME,C08113_001MA,C08113_001EA,C08113_002EA,C08113_002MA,C08113_003EA,C08113_003MA,C08113_004EA,C08113_004MA,C08113_005EA,C08113_005MA,C08113_006MA,C08113_006EA,C08113_007MA,C08113_007EA,C08113_008EA,C08113_008MA,C08113_009EA,C08113_009MA,C08113_010MA,C08113_010EA,C08113_011EA,C08113_011MA,C08113_012MA,C08113_012EA,C08113_013EA,C08113_013MA,C08113_014EA,C08113_014MA,C08113_015MA,C08113_015EA,C08113_016EA,C08113_016MA,C08113_017MA,C08113_017EA,C08113_018MA,C08113_018EA,C08113_019EA,C08113_019MA,C08113_020EA,C08113_020MA,C08113_021MA,C08113_021EA,C08113_022EA,C08113_022MA,C08113_023MA,C08113_023EA,C08113_024EA,C08113_024MA,C08113_025EA,C08113_025MA,C08113_026MA,C08113_026EA,C08113_027EA,C08113_027MA,C08113_028MA,C08113_028EA,C08113_029MA,C08113_029EA,C08113_030EA,C08113_030MA,state
0400000US01,1953274,17253,1831688,18609,121586,5728,62251,4189,59335,4421,1657419,17029,1571767,18269,85652,4602,50022,3805,35630,3404,194044,9491,166648,8288,27396,3953,8329,1976,19067,3314,9329,1497,8466,1364,863,571,258,309,605,466,41356,3435,36015,3175,5341,1728,2231,825,3110,1474,51126,4304,48792,4287,2334,703,1411,578,923,518,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,348777,5794,291926,6464,56851,3379,39194,3175,17657,1986,237947,6151,206344,6239,31603,2469,23357,2531,8246,1360,43244,3560,34245,3291,8999,1390,5157,995,3842,961,6474,1704,5277,1547,1197,486,688,385,509,324,44237,2394,31505,2584,12732,1480,8366,1276,4366,855,16875,2033,14555,1796,2320,736,1626,615,694,466,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2650164,18238,1955786,19693,694378,16438,442492,17380,251886,10121,2009959,20339,1503264,17186,506695,15507,335599,14659,171096,8889,308658,11901,197110,10368,111548,7876,60330,5905,51218,5118,52557,4841,33803,4099,18754,3076,11804,2483,6950,1698,133208,8681,96047,7793,37161,4651,21369,3563,15792,3210,145782,8522,125562,7810,20220,2512,13390,2362,6830,1676,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1215837,12175,1117968,12432,97869,5023,46591,4714,51278,4080,1006040,12866,935957,12621,70083,4295,35565,4249,34518,3684,125188,7263,105150,6626,20038,3097,8025,2109,12013,2426,5271,1187,4806,1161,465,347,215,211,250,288,38769,4122,33779,3541,4990,1508,1545,735,3445,1247,40569,3617,38276,3511,2293,777,1241,497,1052,583,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16047067,39617,8997673,41370,7049394,43987,3787428,36505,3261966,34044,11754858,46377,6836472,39871,4918386,41354,2849276,33626,2069110,28746,1780802,26860,761758,17749,1019044,19344,444406,11411,574638,14897,827736,16053,368202,10996,459534,12995,180059,7332,279475,10598,826319,17204,442344,11389,383975,13886,171100,8400,212875,9852,857352,17561,588897,15970,268455,10237,142587,7915,125868,6291,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2477748,12566,2097910,13195,379838,11401,227722,9045,152116,6731,1869617,13390,1606716,13242,262901,9519,165618,8205,97283,5433,241770,7994,180092,7377,61678,5224,29124,2959,32554,3678,77042,4988,57169,4422,19873,2698,10346,2054,9527,1946,134365,6991,112170,6199,22195,3092,13468,1832,8727,2440,154954,7327,141763,6661,13191,2147,9166,1682,4025,1197,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1711088,11556,1345818,10205,365270,8932,220436,7470,144834,7089,1336932,12437,1091305,10834,245627,6891,159330,6633,86297,5459,148783,8231,91633,5340,57150,5544,24948,2838,32202,4211,80026,4791,53523,3558,26503,2728,13589,1748,12914,2534,72912,5160,47557,3969,25355,3608,14884,1788,10471,3310,72435,4059,61800,3846,10635,1547,7685,1352,2950,919,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,415063,5667,356156,6143,58907,3404,37407,3229,21500,2300,336725,7468,293595,7228,43130,3561,29303,2749,13827,2205,36871,3571,27808,2988,9063,1933,4272,1432,4791,1338,13588,2199,9868,1979,3720,1160,1806,747,1914,822,12856,1904,11214,1895,1642,648,840,397,802,539,15023,1984,13671,1904,1352,695,1186,688,166,124,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,306801,5723,253903,6403,52898,4216,39025,3699,13873,2264,101621,4559,88179,4361,13442,1658,10951,1508,2491,841,19792,2593,15030,2338,4762,1294,2706,888,2056,738,121460,5348,99881,4905,21579,3401,14936,2588,6643,1650,49228,3749,38456,3636,10772,1741,8956,1837,1816,736,14700,2159,12357,2076,2343,711,1476,520,867,403,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7991880,34064,5627915,34365,2363965,26668,1335257,24081,1028708,21698,6370889,38977,4592528,30700,1778361,26467,1086834,23237,691527,15357,791693,21826,480260,16979,311433,13957,126314,7726,185119,11728,167591,9709,83751,6847,83840,7618,29566,4777,54274,6122,293594,11673,189646,8352,103948,8843,39283,4611,64665,7210,368113,13214,281730,12107,86383,6470,53260,5239,33123,4228,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
