GEO_ID,C05003D_001E,C05003D_001M,C05003D_002E,C05003D_002M,C05003D_003E,C05003D_003M,C05003D_004E,C05003D_004M,C05003D_005E,C05003D_005M,C05003D_006E,C05003D_006M,C05003D_007E,C05003D_007M,C05003D_008E,C05003D_008M,C05003D_009E,C05003D_009M,C05003D_010E,C05003D_010M,C05003D_011E,C05003D_011M,C05003D_012E,C05003D_012M,C05003D_013E,C05003D_013M,C05003D_014E,C05003D_014M,C05003D_015E,C05003D_015M,NAME,C05003D_001MA,C05003D_001EA,C05003D_002EA,C05003D_002MA,C05003D_003EA,C05003D_003MA,C05003D_004EA,C05003D_004MA,C05003D_005EA,C05003D_005MA,C05003D_006EA,C05003D_006MA,C05003D_007EA,C05003D_007MA,C05003D_008MA,C05003D_008EA,C05003D_009EA,C05003D_009MA,C05003D_010EA,C05003D_010MA,C05003D_011EA,C05003D_011MA,C05003D_012EA,C05003D_012MA,C05003D_013EA,C05003D_013MA,C05003D_014EA,C05003D_014MA,C05003D_015EA,C05003D_015MA,state
0400000US01,54259,2260,25036,1904,6232,1065,4404,970,1828,659,18804,1387,3056,772,15748,1556,29223,1770,6762,827,5122,780,1640,745,22461,1481,2415,761,20046,1344,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37971,2083,16858,1239,4320,902,3449,905,871,409,12538,667,2536,625,10002,902,21113,1389,4338,756,3034,787,1304,512,16775,834,3340,863,13435,1006,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,177297,6178,82239,4215,19460,2818,14500,2770,4960,1469,62779,2198,14616,2005,48163,2288,95058,3295,17721,1958,11869,1836,5852,1646,77337,2038,14084,2204,63253,2346,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34342,2594,15969,1695,4622,1162,3688,1218,934,497,11347,1016,1172,692,10175,1123,18373,1525,4439,961,3218,802,1221,575,13934,1085,2720,868,11214,1006,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4970627,17933,2354672,11166,511388,7108,433574,8131,77814,4730,1843284,7491,466921,10796,1376363,11539,2615955,10016,484014,6380,410181,6954,73833,4054,2131941,7650,465623,9851,1666318,11176,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,143760,3834,63993,2586,16841,1834,12718,1616,4123,1170,47152,1556,14384,1364,32768,1875,79767,2770,19192,1879,12077,1700,7115,1405,60575,1642,13682,1760,46893,2077,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,141081,2409,66463,1732,18036,1102,13686,1173,4350,1059,48427,1214,7107,1406,41320,1808,74618,1649,18616,873,13526,1021,5090,825,56002,1347,7090,1278,48912,1785,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29930,1168,14652,897,3842,517,3365,502,477,334,10810,745,887,513,9923,843,15278,653,3295,492,2518,539,777,427,11983,479,1010,496,10973,641,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22510,968,9123,656,630,352,361,254,269,236,8493,579,3690,1151,4803,1199,13387,727,999,486,394,350,605,476,12388,506,4382,838,8006,779,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,463164,8849,214255,5961,46091,3184,38606,3681,7485,1666,168164,4001,27981,2807,140183,4114,248909,5283,47227,3219,36078,3203,11149,1855,201682,3686,30687,3217,170995,4425,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
