GEO_ID,B01002C_001E,B01002C_001M,B01002C_002E,B01002C_002M,B01002C_003E,B01002C_003M,NAME,B01002C_001EA,B01002C_001MA,B01002C_002EA,B01002C_002MA,B01002C_003EA,B01002C_003MA,state
0400000US01,37.3,5.2,34.7,5.8,38.8,4.9,Alabama,null,null,null,null,null,null,01
0400000US02,29.0,0.9,28.5,1.4,29.3,0.9,Alaska,null,null,null,null,null,null,02
0400000US04,27.6,0.5,26.9,0.7,28.5,1.0,Arizona,null,null,null,null,null,null,04
0400000US05,36.8,3.6,35.1,4.1,41.4,7.6,Arkansas,null,null,null,null,null,null,05
0400000US06,34.6,1.1,33.3,1.1,36.3,2.3,California,null,null,null,null,null,null,06
0400000US08,30.0,2.3,29.1,2.6,31.0,2.6,Colorado,null,null,null,null,null,null,08
0400000US09,29.6,8.1,28.9,10.1,30.8,11.1,Connecticut,null,null,null,null,null,null,09
0400000US10,39.2,7.7,40.7,13.2,36.9,10.9,Delaware,null,null,null,null,null,null,10
0400000US11,31.4,5.5,37.2,16.0,30.4,5.0,District of Columbia,null,null,null,null,null,null,11
0400000US12,33.7,3.3,28.9,6.3,36.6,3.1,Florida,null,null,null,null,null,null,12
0400000US13,35.9,4.2,37.1,5.7,33.4,7.8,Georgia,null,null,null,null,null,null,13
0400000US15,33.2,7.2,25.1,10.8,40.6,17.5,Hawaii,null,null,null,null,null,null,15
0400000US16,29.8,4.2,28.0,6.5,36.1,6.8,Idaho,null,null,null,null,null,null,16
0400000US17,36.3,3.4,35.7,3.7,37.8,5.0,Illinois,null,null,null,null,null,null,17
0400000US18,35.1,7.5,34.8,10.2,35.6,9.8,Indiana,null,null,null,null,null,null,18
0400000US19,29.0,3.7,29.3,4.2,28.9,6.0,Iowa,null,null,null,null,null,null,19
0400000US20,29.7,2.9,27.0,4.1,34.8,7.5,Kansas,null,null,null,null,null,null,20
0400000US21,30.9,4.9,33.3,14.6,30.2,4.3,Kentucky,null,null,null,null,null,null,21
0400000US22,30.8,3.2,32.1,5.1,29.7,3.4,Louisiana,null,null,null,null,null,null,22
0400000US23,39.1,5.0,29.7,9.7,41.6,4.0,Maine,null,null,null,null,null,null,23
0400000US24,47.1,4.6,48.5,3.2,43.3,7.0,Maryland,null,null,null,null,null,null,24
0400000US25,35.8,6.0,32.7,8.3,39.3,8.5,Massachusetts,null,null,null,null,null,null,25
0400000US26,33.9,2.3,32.9,3.3,34.3,3.6,Michigan,null,null,null,null,null,null,26
0400000US27,27.7,1.6,26.7,1.6,29.2,2.4,Minnesota,null,null,null,null,null,null,27
0400000US28,28.4,4.4,27.3,3.6,32.1,9.0,Mississippi,null,null,null,null,null,null,28
0400000US29,39.3,5.6,38.7,9.7,39.5,6.0,Missouri,null,null,null,null,null,null,29
0400000US30,25.9,1.0,25.3,0.7,26.7,1.5,Montana,null,null,null,null,null,null,30
0400000US31,25.3,3.2,20.7,2.6,29.7,5.5,Nebraska,null,null,null,null,null,null,31
0400000US32,32.8,4.9,34.8,6.0,32.1,3.9,Nevada,null,null,null,null,null,null,32
0400000US33,28.8,13.0,28.1,16.7,33.6,10.6,New Hampshire,null,null,null,null,null,null,33
0400000US34,33.3,5.2,33.7,9.2,33.0,6.2,New Jersey,null,null,null,null,null,null,34
0400000US35,29.8,0.9,28.4,1.0,31.1,0.9,New Mexico,null,null,null,null,null,null,35
0400000US36,33.7,2.2,32.9,2.5,34.5,3.9,New York,null,null,null,null,null,null,36
0400000US37,33.8,1.0,34.2,1.3,33.5,1.5,North Carolina,null,null,null,null,null,null,37
0400000US38,23.8,0.7,23.1,2.0,25.2,2.8,North Dakota,null,null,null,null,null,null,38
0400000US39,41.8,3.8,44.0,4.3,38.9,6.2,Ohio,null,null,null,null,null,null,39
0400000US40,28.7,0.7,27.9,0.8,29.4,0.9,Oklahoma,null,null,null,null,null,null,40
0400000US41,33.8,2.9,33.8,3.1,33.7,4.5,Oregon,null,null,null,null,null,null,41
0400000US42,37.5,3.8,37.6,2.4,37.2,11.5,Pennsylvania,null,null,null,null,null,null,42
0400000US44,31.9,13.5,32.5,16.7,31.3,23.8,Rhode Island,null,null,null,null,null,null,44
0400000US45,37.5,7.9,37.4,9.5,39.0,11.0,South Carolina,null,null,null,null,null,null,45
0400000US46,24.0,1.4,22.8,1.5,25.3,1.8,South Dakota,null,null,null,null,null,null,46
0400000US47,35.5,5.0,32.5,7.2,37.4,4.4,Tennessee,null,null,null,null,null,null,47
0400000US48,33.0,1.9,33.2,2.3,32.7,2.9,Texas,null,null,null,null,null,null,48
0400000US49,26.4,1.9,23.6,3.7,28.2,2.0,Utah,null,null,null,null,null,null,49
0400000US50,38.3,3.2,38.0,31.8,50.1,5.6,Vermont,null,null,null,null,null,null,50
0400000US51,39.4,4.3,29.3,10.5,44.4,4.9,Virginia,null,null,null,null,null,null,51
0400000US53,32.9,1.6,31.6,3.2,33.7,2.3,Washington,null,null,null,null,null,null,53
0400000US54,46.0,12.6,46.2,3.7,35.7,33.4,West Virginia,null,null,null,null,null,null,54
0400000US55,33.2,1.0,32.3,3.6,33.5,1.1,Wisconsin,null,null,null,null,null,null,55
0400000US56,26.9,5.6,24.8,3.0,31.1,6.1,Wyoming,null,null,null,null,null,null,56
0400000US72,41.2,12.8,32.9,14.3,43.2,10.2,Puerto Rico,null,null,null,null,null,null,72
