GEO_ID,B12002A_001E,B12002A_001M,B12002A_002E,B12002A_002M,B12002A_003E,B12002A_003M,B12002A_004E,B12002A_004M,B12002A_005E,B12002A_005M,B12002A_006E,B12002A_006M,B12002A_007E,B12002A_007M,B12002A_008E,B12002A_008M,B12002A_009E,B12002A_009M,B12002A_010E,B12002A_010M,B12002A_011E,B12002A_011M,B12002A_012E,B12002A_012M,B12002A_013E,B12002A_013M,NAME,B12002A_001EA,B12002A_001MA,B12002A_002EA,B12002A_002MA,B12002A_003MA,B12002A_003EA,B12002A_004EA,B12002A_004MA,B12002A_005MA,B12002A_005EA,B12002A_006EA,B12002A_006MA,B12002A_007EA,B12002A_007MA,B12002A_008MA,B12002A_008EA,B12002A_009EA,B12002A_009MA,B12002A_010MA,B12002A_010EA,B12002A_011EA,B12002A_011MA,B12002A_012EA,B12002A_012MA,B12002A_013EA,B12002A_013MA,state
0400000US16,1141018,4399,565350,2787,157718,5147,324010,7308,5998,1336,10894,1985,66730,4589,575668,2451,130336,4916,315249,7204,7882,1414,46092,2766,76109,4758,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7648592,19498,3735844,12017,1248498,12067,1997697,16082,41959,3507,100530,4373,347160,9455,3912748,9943,1061762,9899,1958000,13996,61259,3826,391894,6223,439833,10168,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4469198,6251,2181216,4358,671662,8773,1176868,13424,25137,2515,54896,2837,252653,7531,2287982,3293,562982,7982,1151120,13084,34746,2911,226461,6664,312673,9606,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2282561,3387,1115553,2540,339825,5895,618559,7621,11195,1792,29836,2391,116138,5640,1167008,1866,278401,4911,612844,7535,16033,2045,124349,3633,135381,4572,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1962121,4667,959937,2915,290633,5449,536338,5609,9631,1925,23571,2004,99764,4376,1002184,2722,229377,4956,528471,8059,15412,1944,97906,3393,131018,5153,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3132500,4303,1522275,3264,438148,7352,816995,11179,32099,3387,46117,3361,188916,6950,1610225,2633,359764,5696,814747,12128,36759,3160,170256,4676,228699,8327,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2357641,5223,1155581,3668,354948,6716,625614,9168,19125,2367,32339,2534,123555,5889,1202060,3358,278767,6192,603740,8982,28517,3381,132783,3935,158253,6106,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1064798,1084,515360,959,156413,4253,275509,5577,4564,1016,14813,1313,64061,4006,549438,1019,130978,3783,274717,6913,7727,1652,54115,2410,81901,4419,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2843468,8928,1380398,5462,441837,7346,750973,9196,25878,2577,37419,2886,124291,5485,1463070,4665,382128,7096,734308,8000,32088,3337,143486,4570,171060,6592,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4457988,9531,2134268,5850,765976,10557,1096411,12076,28569,2930,62292,3512,181020,7670,2323720,5134,712400,10052,1073368,14035,43383,3292,231761,6293,262808,7250,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6462484,6529,3160014,4256,1014950,9732,1684139,13162,31185,2650,88229,3856,341511,8268,3302470,3698,824316,8323,1687289,11944,43570,3266,334188,6182,413107,8559,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3756889,5070,1848591,3346,606217,6729,1021438,8340,15585,1946,42813,2160,162538,5793,1908298,2566,491680,7391,1016747,9710,19227,2125,168060,3982,212584,5862,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1446529,3518,705849,2901,190729,5819,404115,7216,13755,2455,19703,2221,77547,4905,740680,2806,151117,5409,384779,8523,15404,2454,89336,3828,100044,5458,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4081342,5292,1986121,3759,585481,9980,1093563,11317,29452,2936,54113,3100,223512,7172,2095221,3130,483146,7585,1087434,12809,36502,2960,216173,5468,271966,6643,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,739080,1880,369801,1467,114428,4022,197160,4849,3495,889,9349,1174,45369,2976,369279,1089,80438,3385,196452,5441,5241,1196,38244,2055,48904,3309,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1307388,3980,642087,2639,196205,4897,359684,5230,6538,1200,16716,1686,62944,3752,665301,2517,159929,4096,358148,5572,7676,1324,62205,2184,77343,3896,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1584756,11138,806621,6779,264325,7621,388684,9661,16847,2917,19469,2046,117296,6815,778135,6446,196082,6884,376907,9401,21370,3197,65380,3731,118396,7214,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
