B27014_020E,B27014_020M,B27014_021E,B27014_021M,B27014_022E,B27014_022M,B27014_023E,B27014_023M,B27014_024E,B27014_024M,B27014_025E,B27014_025M,B27014_026E,B27014_026M,B27014_027E,B27014_027M,B27014_028E,B27014_028M,B27014_029E,B27014_029M,B27014_030E,B27014_030M,B27014_031E,B27014_031M,B27014_032E,B27014_032M,B27014_033E,B27014_033M,B27014_034E,B27014_034M,B27014_035E,B27014_035M,B27014_036E,B27014_036M,B27014_037E,B27014_037M,B27014_038E,B27014_038M,B27014_039E,B27014_039M,B27014_040E,B27014_040M,B27014_041E,B27014_041M,B27014_042E,B27014_042M,B27014_043E,B27014_043M,B27014_044E,B27014_044M,B27014_045E,B27014_045M,B27014_046E,B27014_046M,GEO_ID,B27014_001E,B27014_001M,B27014_002E,B27014_002M,B27014_003E,B27014_003M,B27014_004E,B27014_004M,B27014_005E,B27014_005M,B27014_006E,B27014_006M,B27014_007E,B27014_007M,B27014_008E,B27014_008M,B27014_009E,B27014_009M,B27014_010E,B27014_010M,B27014_011E,B27014_011M,B27014_012E,B27014_012M,B27014_013E,B27014_013M,B27014_014E,B27014_014M,B27014_015E,B27014_015M,B27014_016E,B27014_016M,B27014_017E,B27014_017M,B27014_018E,B27014_018M,B27014_019E,B27014_019M,B27014_020EA,B27014_020MA,B27014_021EA,B27014_021MA,B27014_022EA,B27014_022MA,B27014_023EA,B27014_023MA,B27014_024EA,B27014_024MA,B27014_025EA,B27014_025MA,B27014_026EA,B27014_026MA,B27014_027EA,B27014_027MA,B27014_028EA,B27014_028MA,B27014_029EA,B27014_029MA,B27014_030MA,B27014_030EA,B27014_031EA,B27014_031MA,B27014_032EA,B27014_032MA,B27014_033EA,B27014_033MA,B27014_034EA,B27014_034MA,B27014_035MA,B27014_035EA,B27014_036EA,B27014_036MA,B27014_037EA,B27014_037MA,B27014_038EA,B27014_038MA,B27014_039MA,B27014_039EA,B27014_040MA,B27014_040EA,B27014_041MA,B27014_041EA,B27014_042EA,B27014_042MA,B27014_043EA,B27014_043MA,B27014_044MA,B27014_044EA,B27014_045MA,B27014_045EA,B27014_046MA,B27014_046EA,NAME,B27014_001MA,B27014_001EA,B27014_002MA,B27014_002EA,B27014_003MA,B27014_003EA,B27014_004EA,B27014_004MA,B27014_005EA,B27014_005MA,B27014_006EA,B27014_006MA,B27014_007MA,B27014_007EA,B27014_008MA,B27014_008EA,B27014_009EA,B27014_009MA,B27014_010EA,B27014_010MA,B27014_011EA,B27014_011MA,B27014_012MA,B27014_012EA,B27014_013MA,B27014_013EA,B27014_014EA,B27014_014MA,B27014_015EA,B27014_015MA,B27014_016EA,B27014_016MA,B27014_017EA,B27014_017MA,B27014_018MA,B27014_018EA,B27014_019MA,B27014_019EA,state
29156,2895,291708,8663,32728,2361,31979,2313,749,416,456276,10436,424490,10243,40816,3668,383674,10100,31786,2737,30836,2715,950,482,1364862,16240,544283,9446,328267,8155,149762,5640,178505,6350,216016,3815,214178,3766,1838,634,820579,11692,494821,11317,179061,7575,315760,9390,325758,3472,322794,3637,2964,937,0400000US01,3597942,3382,1423212,17980,795916,11795,765567,11278,32993,3176,732574,11468,30349,2527,25959,2326,4390,1045,627296,10865,610015,11106,19366,2237,590649,10473,17281,1633,15577,1503,1704,622,809868,14410,353592,8996,320864,8726,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
8735,1425,70120,3895,5322,804,4916,828,406,288,83521,4419,78645,4260,10053,1506,68592,4206,4876,1253,4572,1166,304,204,120080,4979,49307,2507,30220,2376,11773,1675,18447,1848,19087,1061,18797,1062,290,191,70773,3756,48859,3508,12872,1770,35987,2886,21914,1168,21018,1123,896,463,0400000US02,511564,1925,223786,6600,124243,4574,120912,4589,8822,1577,112090,4890,3331,720,2461,661,870,378,99543,4265,97089,4229,4883,1201,92206,4348,2454,700,1895,668,559,354,167698,6136,84177,4008,78855,3995,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
89238,6294,381413,11969,50489,3968,48690,3876,1799,816,597003,14992,552391,15202,116258,6884,436133,14053,44612,3545,42806,3628,1806,832,1781827,19124,730444,14008,395516,13539,178518,8705,216998,11710,334928,4181,327677,4295,7251,1751,1051383,13323,625426,12344,222025,8510,403401,11877,425957,4325,416443,4646,9514,1548,0400000US04,4756450,2424,1856480,22085,1059693,15282,1026298,14723,72791,5358,953507,14613,33395,3202,27427,3013,5968,1189,796787,15073,775152,14027,51840,3760,723312,13364,21635,2870,16738,2749,4897,1180,1118143,23015,521140,14545,470651,13457,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
25245,2844,182390,7542,22895,1979,22568,1994,327,242,265236,7628,243216,7212,28572,2702,214644,6898,22020,1853,21603,1795,417,370,801568,10190,323033,6362,181401,6136,90564,5114,90837,4601,141632,2547,140874,2505,758,430,478535,7765,281672,7595,106344,5441,175328,6705,196863,2129,195745,2157,1118,439,0400000US05,2176324,1917,878990,12897,492157,9453,475207,9021,19619,2009,455588,8747,16950,1944,14999,1780,1951,816,386833,7729,374597,7478,13085,2307,361512,7185,12236,1581,10312,1448,1924,736,495766,10562,230530,7929,207635,7652,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
377372,11122,2829920,27585,234924,6300,222259,6006,12665,1746,3956672,35510,3725404,33760,505394,12540,3220010,34175,231268,6945,214299,6852,16969,2104,9657942,41763,3803730,22711,2359917,21445,799765,15621,1560152,16993,1443813,8489,1399632,8973,44181,3503,5854212,32011,3793793,29460,1134300,17990,2659493,26656,2060419,8826,1991587,9131,68832,4708,0400000US06,27909323,5329,10852493,43518,6359574,29470,6149646,28865,292966,9002,5856680,28982,209928,6059,163504,5684,46424,3968,4492919,30418,4371416,29476,198241,7091,4173175,29494,121503,5199,88653,4178,32850,2785,7398888,49709,3442216,28183,3207292,27582,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
48381,4058,405945,10640,39630,2670,37734,2725,1896,834,591650,9920,552553,9813,65366,4327,487187,10185,39097,2318,36964,2379,2133,705,1024446,11719,398779,8377,216544,7558,79825,5389,136719,6055,182235,3573,179416,3379,2819,878,625667,8334,375385,7844,101698,4882,273687,7450,250282,3316,244855,3322,5427,1044,0400000US08,3798057,3075,1688005,16353,976089,10386,947340,10393,41530,3451,905810,10130,28749,2268,23254,2159,5495,1258,711916,11537,692677,11371,24618,2832,668059,11388,19239,1786,16269,1752,2970,763,1085606,15254,493956,10271,454326,10419,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
40255,3473,243377,7209,35986,2167,34355,2101,1631,646,430617,8105,396324,7831,66700,4124,329624,7612,34293,2342,32326,2294,1967,580,804938,9839,317394,7609,168061,6725,69480,3778,98581,5472,149333,2886,146804,2869,2529,755,487544,5992,259113,5850,91906,4313,167207,4957,228431,2876,223100,2874,5331,998,0400000US09,2720359,1220,1165186,12251,659870,7668,633298,7745,29480,3211,603818,7714,26572,1981,21267,1763,5305,1070,505316,8877,486870,8700,25529,2901,461341,9259,18446,1827,14710,1695,3736,775,750235,11581,319618,7702,283632,7379,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
12018,2063,53781,3467,8519,1192,8426,1175,93,80,96799,4244,88295,4178,18126,2217,70169,3975,8504,1291,8208,1231,296,225,221695,5120,88738,3504,46760,2928,22048,2232,24712,2604,41978,1600,41648,1572,330,282,132957,3867,72566,3535,29737,2530,42829,3043,60391,1503,59618,1609,773,535,0400000US10,687837,960,295025,6834,161542,4411,154534,4038,7792,1207,146742,3793,7008,1303,5734,1153,1274,587,133483,4819,129823,4696,8393,1637,121430,4566,3660,1035,2788,923,872,468,171117,5950,74318,4287,65799,4066,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
8879,1510,36785,3262,4009,879,3704,882,305,239,62974,3715,59246,3676,14775,1975,44471,3243,3728,570,3493,567,235,183,148527,5340,61816,3287,43704,3280,22835,2062,20869,2555,18112,919,16577,1038,1535,602,86711,4189,54323,4083,28524,2811,25799,2637,32388,1183,30561,1303,1827,554,0400000US11,502853,418,241679,5732,120226,3781,115279,3737,9100,2036,106179,3350,4947,836,3906,852,1041,462,121453,4159,116942,4160,9798,1650,107144,3905,4511,825,3416,729,1095,495,112647,5800,49673,3871,45664,3706,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
150800,7301,1235133,20780,177100,7316,169732,7033,7368,1673,1804070,25028,1656745,23982,182806,9152,1473939,21762,147325,6377,142590,6265,4735,1164,5790538,34890,2435673,21815,1267852,21000,447392,16536,820460,17108,1167821,9270,1142557,9176,25264,3121,3354865,22113,1758913,20855,498891,14701,1260022,19731,1595952,7887,1548982,8978,46970,4642,0400000US12,14765348,4813,5607707,31759,3050193,23061,2922298,23615,124564,8522,2797734,24141,127895,6087,106547,5192,21348,2720,2557514,22943,2476746,22127,91527,6101,2385219,21283,80768,4076,65564,3774,15204,2132,3367103,32554,1563033,23473,1385933,21513,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
