GEO_ID,C23002G_001E,C23002G_001M,C23002G_002E,C23002G_002M,C23002G_003E,C23002G_003M,C23002G_004E,C23002G_004M,C23002G_005E,C23002G_005M,C23002G_006E,C23002G_006M,C23002G_007E,C23002G_007M,C23002G_008E,C23002G_008M,C23002G_009E,C23002G_009M,C23002G_010E,C23002G_010M,C23002G_011E,C23002G_011M,C23002G_012E,C23002G_012M,C23002G_013E,C23002G_013M,C23002G_014E,C23002G_014M,C23002G_015E,C23002G_015M,C23002G_016E,C23002G_016M,C23002G_017E,C23002G_017M,C23002G_018E,C23002G_018M,C23002G_019E,C23002G_019M,C23002G_020E,C23002G_020M,C23002G_021E,C23002G_021M,C23002G_022E,C23002G_022M,C23002G_023E,C23002G_023M,C23002G_024E,C23002G_024M,C23002G_025E,C23002G_025M,C23002G_026E,C23002G_026M,C23002G_027E,C23002G_027M,NAME,C23002G_001EA,C23002G_001MA,C23002G_002EA,C23002G_002MA,C23002G_003EA,C23002G_003MA,C23002G_004EA,C23002G_004MA,C23002G_005MA,C23002G_005EA,C23002G_006EA,C23002G_006MA,C23002G_007EA,C23002G_007MA,C23002G_008EA,C23002G_008MA,C23002G_009MA,C23002G_009EA,C23002G_010MA,C23002G_010EA,C23002G_011EA,C23002G_011MA,C23002G_012EA,C23002G_012MA,C23002G_013EA,C23002G_013MA,C23002G_014EA,C23002G_014MA,C23002G_015MA,C23002G_015EA,C23002G_016MA,C23002G_016EA,C23002G_017EA,C23002G_017MA,C23002G_018EA,C23002G_018MA,C23002G_019EA,C23002G_019MA,C23002G_020MA,C23002G_020EA,C23002G_021MA,C23002G_021EA,C23002G_022EA,C23002G_022MA,C23002G_023EA,C23002G_023MA,C23002G_024EA,C23002G_024MA,C23002G_025MA,C23002G_025EA,C23002G_026MA,C23002G_026EA,C23002G_027MA,C23002G_027EA,state
0400000US01,37473,3232,17949,2056,16156,1966,9307,1351,291,344,9016,1338,7263,1178,1753,695,6849,1263,1793,650,570,329,570,329,0,190,1223,542,19524,2365,17385,2237,10391,1737,48,82,10343,1765,8192,1542,2151,836,6994,1365,2139,696,317,224,245,212,72,111,1822,668,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31113,3014,14282,1595,13869,1604,10177,1370,408,272,9769,1389,8579,1280,1190,592,3692,744,413,162,25,24,25,24,0,149,388,160,16831,2180,16242,2193,11632,1774,142,146,11490,1777,10444,1724,1046,385,4610,1135,589,323,302,322,295,323,7,12,287,165,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,106586,8025,54185,4861,49726,4670,33402,3419,596,587,32806,3491,27181,2824,5625,1833,16324,2743,4459,1037,1158,639,1158,639,0,229,3301,917,52401,5033,49470,5005,31879,3729,169,315,31710,3742,26257,3555,5453,1528,17591,3133,2931,846,267,221,181,159,86,137,2664,836,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33858,3724,17148,2416,15422,2349,10992,1941,103,130,10889,1930,9259,1760,1630,905,4430,1016,1726,488,229,203,210,196,19,35,1497,483,16710,2239,13933,2136,7070,1546,0,192,7070,1546,6286,1439,784,457,6863,1487,2777,782,213,212,213,212,0,192,2564,755,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,962970,24564,481088,15820,447007,15636,319862,12774,4639,1085,315223,12603,258410,11017,56813,4997,127145,7215,34081,2811,7009,1059,6357,1064,652,289,27072,2715,481882,13414,440366,13185,286346,10023,657,329,285689,10084,239265,9215,46424,3878,154020,7383,41516,2871,5075,971,4442,943,633,427,36441,2674,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,98922,5849,49015,3822,46439,3650,32068,2989,678,326,31390,2979,27511,2530,3879,1168,14371,2435,2576,749,824,510,679,489,145,198,1752,561,49907,4037,45796,3809,31922,3101,243,212,31679,3053,27280,2827,4399,954,13874,1861,4111,867,654,464,467,415,187,220,3457,858,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,51858,4210,24881,2743,22886,2555,17286,2502,786,568,16500,2518,13238,2230,3262,970,5600,1013,1995,755,766,530,703,519,63,105,1229,586,26977,2739,24332,2515,16616,2188,116,110,16500,2189,14243,2144,2257,685,7716,1412,2645,698,376,287,280,233,96,160,2269,646,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11695,1979,5336,1303,4924,1229,3495,984,151,197,3344,991,2649,956,695,566,1429,686,412,327,21,27,21,27,0,192,391,328,6359,1258,5962,1244,4790,1192,0,192,4790,1192,4079,1046,711,601,1172,523,397,275,55,72,55,72,0,192,342,272,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9132,1343,4217,1001,3876,1034,3377,1040,0,200,3377,1040,2996,968,381,290,499,324,341,234,135,160,135,160,0,200,206,177,4915,1006,4472,979,3749,943,0,200,3749,943,3396,877,353,241,723,350,443,210,31,52,31,52,0,200,412,189,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,247503,12670,122717,7626,111286,7105,75279,5747,1695,714,73584,5771,62060,5110,11524,2155,36007,3754,11431,1936,3552,1163,3117,1120,435,261,7879,1475,124786,7773,111752,7089,72776,5135,454,432,72322,5052,60646,4789,11676,1935,38976,3989,13034,2059,1255,527,1215,525,40,71,11779,1865,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
