GEO_ID,C12002H_001E,C12002H_001M,C12002H_002E,C12002H_002M,C12002H_003E,C12002H_003M,C12002H_004E,C12002H_004M,C12002H_005E,C12002H_005M,C12002H_006E,C12002H_006M,NAME,C12002H_001MA,C12002H_001EA,C12002H_002MA,C12002H_002EA,C12002H_003EA,C12002H_003MA,C12002H_004EA,C12002H_004MA,C12002H_005EA,C12002H_005MA,C12002H_006MA,C12002H_006EA,state
0400000US01,2656214,1633,584697,10042,1487233,19408,49548,5043,197064,5937,337672,12426,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,378986,283,102589,4468,205616,6434,6824,1793,14158,1455,49799,4034,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3162280,2071,804074,13617,1638608,23410,45403,5028,219250,8268,454945,13220,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1798976,1266,384417,8997,997376,13796,34409,3417,131113,4899,251661,8556,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12897092,6410,3809959,23578,6343859,38747,224548,8577,879539,10939,1639187,19199,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2977472,2254,840435,11666,1575712,19289,37918,4010,149458,4751,373949,11495,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2143394,1888,614223,9888,1121993,15140,21061,2902,150688,5485,235429,8183,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,501879,255,142537,4421,254020,5426,7773,1519,37436,2588,60113,3764,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,199393,238,114849,3124,65304,3598,1700,764,4707,920,12833,1881,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9456472,4395,2371927,22679,4784803,33587,175859,9059,817553,16475,1306330,22374,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4479007,2137,1109073,15639,2452201,25126,82268,6475,293748,7857,541717,16310,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,278555,415,70833,3561,154783,5090,3589,1240,12484,1594,36866,3031,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1050352,2444,251261,7284,596127,10897,12287,1794,55435,3799,135242,6627,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6796638,4243,1950126,15863,3565816,22989,81816,4906,468829,7869,730051,14898,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4329141,1798,1176065,11359,2264331,21426,56265,3969,278191,7448,554289,14114,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2221769,897,591180,8611,1206147,12387,25153,2863,152286,4748,247003,7561,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1824743,1319,467990,7380,1000175,11417,20669,2594,117536,4029,218373,6770,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3081323,1993,776963,10943,1609350,20850,67425,4794,214855,6053,412730,12269,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2257967,1856,593279,9464,1187612,14989,43963,4108,160678,4631,272435,9133,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1056025,364,283509,6400,546666,11721,12193,2039,68269,2847,145388,7236,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2658617,1587,747131,10116,1401461,14186,51483,4198,175908,5749,282634,9098,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4234345,5258,1369130,16634,2090492,23380,61476,4096,288050,7800,425197,10664,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6264897,1542,1753758,13065,3288543,20206,70293,4002,417407,7842,734896,11841,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3655546,1210,1053795,9943,1995142,15080,30682,2378,207961,4674,367966,8957,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1410910,1345,328544,7762,770953,12543,28088,3807,107850,4552,175475,8139,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3990326,2143,1030723,13443,2139393,20298,64243,4389,268086,6416,487881,10158,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,726770,570,189100,5623,388901,8574,8565,1477,47026,2299,93178,5163,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1232267,903,327916,6989,680525,9073,12293,1639,77625,2885,133908,5715,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1243406,1093,330874,9128,605677,14763,25069,3448,76306,4385,205480,9959,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1017079,859,279843,5919,547700,9923,12199,1971,55736,3362,121601,5857,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,4328295,4402,1217960,14774,2319140,24338,59182,4132,338486,7164,393527,11733,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,722321,1819,168523,5975,384104,8498,9271,1407,49065,2991,111358,5938,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,9499883,4519,3029681,22556,4736557,29360,173642,6220,691184,11218,868819,14777,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5230338,2715,1260283,16314,2914282,28977,137690,8197,352426,9617,565657,14216,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,504190,64,144902,4535,275142,6504,3159,852,33080,1968,47907,3494,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7709392,1748,2130002,15288,3986505,28046,123433,5626,531008,7869,938444,18665,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2154455,906,480294,7291,1188785,12352,38847,3081,156635,5093,289894,7928,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2554766,2336,703199,11976,1303093,16956,40136,3946,152805,5208,355533,10887,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,8497070,3344,2484265,16368,4386985,27671,157187,5358,655464,9811,813169,16187,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
