GEO_ID,C17020F_001E,C17020F_001M,C17020F_002E,C17020F_002M,C17020F_003E,C17020F_003M,C17020F_004E,C17020F_004M,C17020F_005E,C17020F_005M,C17020F_006E,C17020F_006M,C17020F_007E,C17020F_007M,C17020F_008E,C17020F_008M,C17020F_009E,C17020F_009M,NAME,C17020F_001MA,C17020F_001EA,C17020F_002MA,C17020F_002EA,C17020F_003MA,C17020F_003EA,C17020F_004MA,C17020F_004EA,C17020F_005MA,C17020F_005EA,C17020F_006MA,C17020F_006EA,C17020F_007MA,C17020F_007EA,C17020F_008MA,C17020F_008EA,C17020F_009MA,C17020F_009EA,state
0400000US01,57731,7039,23410,5480,10275,2411,13135,3426,0,190,34321,5768,7028,2679,26038,3881,1255,1000,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8501,1914,530,341,91,150,417,279,22,49,7971,1855,1882,634,6012,1575,77,75,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,391618,21281,122383,13175,52798,7544,64771,6752,4814,1584,269235,20440,80709,9551,172502,12585,16024,2464,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,62325,7430,18533,5233,9593,3041,8935,2572,5,10,43792,7740,15546,3438,27494,4749,752,569,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4641198,65639,1194308,38309,499546,19650,656037,21798,38725,3323,3446890,62946,962650,26364,2317810,40605,166430,7410,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,217794,15584,61940,8422,27123,4818,33728,4692,1089,483,155854,13675,44446,6145,100075,8032,11333,2128,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,188400,10693,61745,7741,25936,4730,34808,3883,1001,493,126655,10134,33503,4348,88410,6692,4742,1239,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18521,3955,5960,2516,2800,1523,3160,1271,0,192,12561,3086,2757,1202,9539,2417,265,221,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24003,3687,4723,1989,1712,1235,2153,1042,858,608,19280,3217,5403,1348,13439,2534,438,318,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,504228,27555,151881,14670,61259,8788,85251,7704,5371,1856,352347,26085,84946,11066,248288,18185,19113,3030,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
