C27012_024M,C27012_025E,C27012_025M,C27012_026E,C27012_026M,C27012_027E,C27012_027M,C27012_028E,C27012_028M,C27012_029E,C27012_029M,C27012_030E,C27012_030M,C27012_031E,C27012_031M,C27012_032E,C27012_032M,C27012_033E,C27012_033M,C27012_034E,C27012_034M,C27012_035E,C27012_035M,C27012_036E,C27012_036M,C27012_037E,C27012_037M,C27012_038E,C27012_038M,C27012_039E,C27012_039M,C27012_040E,C27012_040M,C27012_041E,C27012_041M,C27012_042E,C27012_042M,C27012_043E,C27012_043M,C27012_044E,C27012_044M,C27012_045E,C27012_045M,C27012_046E,C27012_046M,GEO_ID,C27012_001E,C27012_001M,C27012_002E,C27012_002M,C27012_003E,C27012_003M,C27012_004E,C27012_004M,C27012_005E,C27012_005M,C27012_006E,C27012_006M,C27012_007E,C27012_007M,C27012_008E,C27012_008M,C27012_009E,C27012_009M,C27012_010E,C27012_010M,C27012_011E,C27012_011M,C27012_012E,C27012_012M,C27012_013E,C27012_013M,C27012_014E,C27012_014M,C27012_015E,C27012_015M,C27012_016E,C27012_016M,C27012_017E,C27012_017M,C27012_018E,C27012_018M,C27012_019E,C27012_019M,C27012_020E,C27012_020M,C27012_021E,C27012_021M,C27012_022E,C27012_022M,C27012_023E,C27012_023M,C27012_024E,C27012_024MA,C27012_025EA,C27012_025MA,C27012_026MA,C27012_026EA,C27012_027MA,C27012_027EA,C27012_028EA,C27012_028MA,C27012_029EA,C27012_029MA,C27012_030EA,C27012_030MA,C27012_031MA,C27012_031EA,C27012_032MA,C27012_032EA,C27012_033EA,C27012_033MA,C27012_034EA,C27012_034MA,C27012_035EA,C27012_035MA,C27012_036EA,C27012_036MA,C27012_037MA,C27012_037EA,C27012_038EA,C27012_038MA,C27012_039EA,C27012_039MA,C27012_040EA,C27012_040MA,C27012_041EA,C27012_041MA,C27012_042EA,C27012_042MA,C27012_043EA,C27012_043MA,C27012_044EA,C27012_044MA,C27012_045EA,C27012_045MA,C27012_046EA,C27012_046MA,NAME,C27012_001EA,C27012_001MA,C27012_002EA,C27012_002MA,C27012_003EA,C27012_003MA,C27012_004MA,C27012_004EA,C27012_005MA,C27012_005EA,C27012_006MA,C27012_006EA,C27012_007EA,C27012_007MA,C27012_008EA,C27012_008MA,C27012_009MA,C27012_009EA,C27012_010MA,C27012_010EA,C27012_011MA,C27012_011EA,C27012_012EA,C27012_012MA,C27012_013EA,C27012_013MA,C27012_014EA,C27012_014MA,C27012_015MA,C27012_015EA,C27012_016MA,C27012_016EA,C27012_017MA,C27012_017EA,C27012_018EA,C27012_018MA,C27012_019EA,C27012_019MA,C27012_020MA,C27012_020EA,C27012_021MA,C27012_021EA,C27012_022MA,C27012_022EA,C27012_023EA,C27012_023MA,C27012_024EA,state
16459,108183,5529,106214,5598,43863,3421,33680,3497,104044,5664,7192,1005,1969,1160,2499749,27530,1641776,28035,1110698,19714,555022,15883,147275,7394,195499,7795,345907,12995,531078,19735,857973,6823,849753,7213,281576,8510,263057,7820,841659,7387,150173,7329,8220,2008,0400000US13,7135025,4919,2951061,25821,2871130,25140,2369433,25082,2138213,25220,235472,12372,9111,1743,43412,4868,501697,18470,79931,4795,78730,4650,51711,3555,16181,1856,65911,4049,3297,926,1201,640,1684215,24508,1576032,22811,974007,19862,727066,17427,157621,7810,17780,2475,96774,6672,602025,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
3068,24201,2339,23722,2411,13361,1770,6138,993,22270,2403,1880,516,479,570,341415,7547,187061,6894,156473,6261,70087,4227,27702,2923,18340,2076,53806,4869,30588,3779,154354,2553,153007,2407,74021,3095,41950,2701,149660,2267,25082,2720,1347,616,0400000US15,1021988,2428,439427,8833,419702,8741,402170,8710,361394,8350,59728,5103,2132,826,11699,1723,17532,2360,19725,2082,19111,2092,15535,1861,2913,741,14889,1939,1184,501,614,511,241146,7741,216945,7441,184086,6957,129045,6120,28753,2773,2406,681,30258,2834,32859,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
6497,25504,2216,25339,2203,8389,1243,11319,1744,24749,2230,1443,537,165,154,360330,8855,197316,7931,144590,6427,64826,4795,31085,3358,27684,2651,43993,4066,52726,4466,163014,3125,162640,3109,42742,2988,72154,3963,161661,3105,19579,1927,374,351,0400000US16,1138581,1394,438264,9360,426732,9248,361931,8718,314057,7957,50679,4093,1141,524,7903,1516,64801,5040,11532,1428,11389,1443,6204,1030,3741,767,10204,1361,475,264,143,217,339987,8934,314483,7963,212566,7886,145097,6680,51564,4276,3682,778,22133,2832,101917,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
15579,193543,5899,190627,6067,81045,3662,74626,2980,184148,5899,14372,1818,2916,1085,3062115,20212,1793825,19728,1315706,15885,679961,12948,175905,6806,185659,7476,428815,10890,478119,13276,1268290,6827,1253455,7113,441634,8558,478289,9569,1238663,6936,177190,5835,14835,2637,0400000US17,9596119,2424,4061048,22671,3940857,21759,3467227,25159,3142706,24004,284379,10222,11520,1442,149071,7166,473630,15223,120191,4684,118391,4524,76269,4023,29988,2705,95685,4485,4677,1006,1800,749,2472956,21202,2279413,20961,1704749,20134,1229972,18350,252256,8687,29510,2782,264089,8156,574664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
9735,105740,3798,105172,3767,41885,3127,46012,2770,102758,3681,8213,1388,568,382,1546566,15571,883787,13929,658922,11367,343046,9734,81160,4069,127743,5533,210629,7510,224865,9319,662779,5401,659577,5252,228380,5869,278187,5946,656305,5091,78163,4140,3202,1353,0400000US18,4824008,2611,1990388,16291,1939569,15373,1702913,17576,1574392,16206,137127,6173,7026,1360,41417,3661,236656,9054,50819,3014,50157,2972,32102,2523,12033,1634,41608,2703,1628,410,662,409,1287054,15159,1181314,15050,845163,13760,638739,12651,119131,6064,17388,2067,108473,6067,336151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
4843,70301,3178,70146,3166,21471,1685,36218,2508,69351,3168,6126,704,155,125,614983,7857,282619,7182,233207,6387,112597,4515,38157,2794,45052,3440,86071,4629,49412,3113,332364,3996,330725,3991,91853,3890,178974,5005,329391,4064,47846,3445,1639,624,0400000US19,2295904,2279,1058049,11152,1026221,11046,942672,11706,839060,12550,116427,4631,2356,634,26593,2403,83549,4824,31828,2226,31560,2207,15819,1743,12674,1498,28198,2058,2823,604,268,188,622872,10428,552571,9882,449845,9395,321237,7509,79373,4602,13409,1701,66733,4070,102726,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
5926,54771,2779,54418,2816,16481,1522,27702,2206,53680,2774,3460,649,353,254,571718,9122,298863,7981,228600,7326,113622,4936,36440,2750,45299,3753,63774,4111,70263,4821,272855,3617,270481,3979,69697,3346,136141,4115,269053,3927,36814,2826,2374,1149,0400000US20,2092319,2123,973636,10236,937392,9853,834159,11157,750212,11130,91579,4985,2542,653,12150,1666,103233,5324,36244,2270,35737,2260,19687,1560,11830,1371,31232,2147,2172,604,507,350,546965,10250,492194,9384,360639,8889,268237,7696,63643,4519,9486,1370,33767,3007,131555,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
8787,60877,3213,60303,3293,26014,2327,24039,1999,59380,3253,4492,932,574,373,1210786,13622,735619,12313,555564,10254,220200,6584,68584,4291,155545,5182,224551,8361,180055,7732,475167,4602,474004,4640,172220,5666,169483,5229,470948,4578,80980,3937,1163,568,0400000US21,3261409,3402,1257766,12108,1222431,11861,1073188,12478,982644,11888,109152,5724,4361,1197,22466,2138,149243,6683,35335,2497,35030,2499,22028,2055,9775,1450,30902,2304,2242,703,305,216,792857,12579,731980,12126,507306,10237,382955,9495,75923,5610,10748,1731,56826,3867,224674,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
10371,57951,3296,57420,3265,22369,1775,20502,2012,56185,3278,5448,920,531,280,1167189,13208,724337,12180,523616,10201,213082,7984,77843,5145,116663,5443,214026,7504,200721,7205,442852,4548,440546,4647,134750,4683,140142,4826,434353,4663,88715,3963,2306,903,0400000US22,3355775,2537,1399348,16707,1349456,16249,1097933,16404,971288,15685,131162,5474,6909,1277,35788,3347,251523,9495,49892,3073,49491,3124,29758,2534,11812,1598,43283,2853,3245,725,401,298,789238,13915,731287,13909,467389,10770,316470,9206,86314,5250,13197,2160,77376,5265,263898,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
3741,32450,2104,32405,2111,12131,1367,11614,1232,31458,1993,4061,733,45,50,323659,5499,159870,5155,138970,4893,44536,2490,15652,1615,34801,2454,74093,4136,20900,2224,163789,2486,163677,2477,51204,3053,60926,3202,161859,2405,38353,2295,112,127,0400000US23,1044220,1236,419329,7646,405369,7223,361350,7469,318978,7476,28530,2412,1607,524,23600,2487,44019,2937,13960,1489,13742,1519,8963,1381,3872,755,11826,1455,1368,592,218,168,301232,6670,268782,6329,208076,5851,131698,4888,28713,2654,5817,1085,52128,3980,60706,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
8602,93528,4232,91709,4161,54054,3490,30695,2677,89078,4177,6058,1081,1819,947,1243364,15382,704123,13905,565267,12716,292492,10152,83420,5192,82504,5128,190869,8058,138856,7490,539241,6035,533909,5872,254394,6633,169420,6123,522826,6351,76109,4319,5332,1429,0400000US24,4392090,2512,2095745,16569,2020962,15333,1838228,16017,1674822,17212,167637,6990,5875,1345,50714,3664,182734,8423,74783,4105,73184,4080,55882,4048,14137,1840,58287,3308,3142,809,1599,709,1052981,16213,959453,15403,752835,13054,552894,10965,118823,6952,14265,2196,105830,6295,206618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
7414,126559,5223,126358,5224,66990,3672,44105,3354,120218,5204,11147,1431,201,199,1475207,14734,792778,14279,740877,13164,318610,9920,104496,5653,105473,5474,351173,10780,51901,3998,682429,5660,679593,5544,264321,5534,243307,7010,667024,5828,140437,6047,2836,1226,0400000US25,5105723,1589,2171727,14737,2098131,14563,2013694,15356,1799371,15811,163648,6793,8750,1544,131037,6905,84437,6131,73596,3903,73074,3937,53180,3130,17202,2010,58859,3509,4415,900,522,401,1458789,14216,1332230,12900,1219286,12844,823665,12833,183480,6240,20923,2694,282763,9387,112944,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
11294,142173,4810,141463,4843,70305,3352,60555,2760,139005,4721,11213,1323,710,384,2748810,17172,1605275,16615,1291698,14064,636925,10900,148703,6082,241120,7166,518721,12960,313577,9809,1143535,5037,1139054,4963,564131,8421,432835,6792,1132179,5003,166264,5136,4481,1251,0400000US26,7472775,2458,2674951,17906,2610637,17857,2337695,18721,2134809,18039,200466,6390,9733,1284,93311,5005,272942,7686,64314,2980,63624,2999,43261,2611,17430,1591,53593,2749,3539,743,690,476,2049014,16965,1906841,15607,1443140,14565,1042994,13627,199984,7476,29264,2585,247954,8376,463701,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
6670,104084,3449,103706,3428,34815,2337,53916,2681,101523,3409,7004,929,378,287,1028281,10346,505313,9615,431724,9656,195957,6644,71436,4212,64250,3626,156253,6114,73589,3322,522968,3679,521653,3714,149641,4646,278635,5279,518258,3700,65287,3207,1315,458,0400000US27,4010693,2685,1795112,13342,1751804,13280,1615771,12692,1449800,13090,162273,5846,4232,834,57184,3195,136033,5975,43308,2123,43034,2113,25280,1872,13488,1166,37025,1965,1515,402,274,174,1187300,11613,1083216,10943,907196,11295,626626,9049,142907,4963,22395,2194,160242,6308,176020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
7412,31908,2381,31776,2376,12281,1682,11762,1518,30945,2358,2841,720,132,169,850999,10132,536872,10408,376169,9263,134782,6517,49445,3815,103229,5014,168950,7043,160703,7857,314127,3185,312949,3226,64959,3751,108045,5087,311247,3272,74651,3605,1178,556,0400000US28,2162239,2496,843545,11747,815553,11811,683521,12008,615285,12106,68215,5444,2695,794,20380,2813,132032,6738,27992,2238,27801,2172,14217,1615,8078,1654,24895,2088,1914,680,191,226,467695,10697,435787,10935,274593,8741,196096,7265,41625,3714,7746,1458,41161,4398,161194,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
9213,99475,4565,98854,4464,34508,2580,38731,3089,96741,4425,5421,1079,621,404,1450381,13980,786970,12954,593173,11161,262132,8525,86254,4216,149545,5960,200045,7265,193797,7548,663411,6124,660767,6021,210196,6387,261039,6692,655409,6064,85315,3535,2644,1215,0400000US29,4489713,3943,1894525,15384,1838773,15650,1626231,16883,1482031,16122,148877,5499,4678,987,30183,2812,212542,8647,55752,3194,55470,3149,33693,2515,14852,1561,47650,2756,2175,547,282,168,1144807,12594,1045332,12975,742738,10642,544337,10409,127801,5906,19545,1932,81220,4518,302594,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
4174,21696,1816,21552,1825,7378,1212,9640,1288,21054,1771,1322,442,144,108,222352,5145,109049,4419,78699,4127,31815,2465,16427,1808,18471,2214,23940,2504,30350,2875,113303,2455,112885,2468,29527,2285,54020,2754,112548,2494,10888,1409,418,295,0400000US30,761112,1535,305044,6638,293737,6694,242641,6566,207081,6230,36776,3091,1276,547,5476,1339,51096,3718,11307,1361,10777,1307,5056,1045,4275,963,9811,1243,678,427,530,398,233716,6591,212020,6132,140545,5638,95712,4618,32983,3019,4191,1065,14493,1777,71475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
4721,40694,2552,40648,2547,11630,1158,20096,1875,39878,2486,3024,624,46,64,323258,6250,152629,5400,120158,4620,51715,2955,21363,2113,26534,2160,40293,2904,32471,2605,170629,2824,170438,2803,40579,2545,90667,2830,169685,2851,21867,2106,191,149,0400000US31,1355197,1879,664300,8783,637726,8404,570137,8791,492041,9129,80012,4504,2129,989,12040,1967,67589,4420,26574,1876,26391,1837,13214,1421,9683,1144,23823,1748,1482,452,183,225,367639,8054,326945,8290,247223,6856,176957,6063,49484,3376,5336,1044,24208,2802,79722,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
10662,38258,3562,37188,3506,17356,2558,9066,1990,35552,3469,3559,1036,1070,681,684606,13723,415778,13542,264020,11291,140366,8399,37702,4232,41941,4341,70065,6618,151758,8096,268828,4397,262325,4349,84724,4933,69836,4207,258587,4436,34855,3271,6503,2688,0400000US32,2024630,2204,830925,14748,801847,14827,667123,15577,613245,15101,56905,5994,2736,1021,12574,2569,134724,8156,29078,2879,28836,2840,20175,2690,4672,1419,22981,2637,1388,558,242,244,509099,12906,470841,12607,283748,10627,213270,8874,42132,4705,6269,1276,29842,4113,187093,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
4034,28486,2032,28369,2028,13034,1698,9692,1194,27604,2101,1853,675,117,131,279261,5814,143956,5801,117577,5235,65439,4227,13284,1652,28566,3002,30228,3078,26379,3110,135305,2127,134822,2097,49684,3587,50749,2970,133727,2164,16330,2131,483,410,0400000US33,1024658,983,466321,7668,453188,7641,410398,8036,384612,8181,27623,2773,1052,487,4877,1176,42790,3537,13133,1276,12950,1186,8182,999,3106,723,9995,1133,580,426,183,235,279076,7311,250590,7203,193812,5573,158146,5264,24920,2618,5389,956,15518,2233,56778,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
11393,142692,5420,141153,5448,71490,3971,45294,3239,135521,5076,10058,1555,1539,505,2146786,16461,1229606,14839,929848,13435,545847,10515,128117,6459,130235,4932,266162,8737,299758,9470,917180,7292,902425,7077,342434,7731,299346,7347,893074,7421,143484,5914,14755,2296,0400000US34,6674815,1935,2932596,20784,2824591,20092,2467802,20359,2294082,20989,190438,8082,9569,2163,82013,4681,356789,12763,108005,3877,105576,3593,80227,3657,19961,1540,83021,3304,5472,1122,2429,800,1595433,19719,1452741,18772,1094072,15149,867361,13683,146562,6754,16647,2004,122320,6056,358669,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
5873,33779,2545,33163,2482,12824,1614,8864,1455,32480,2433,2111,538,616,401,558135,8215,334636,7521,230704,7709,93455,5704,28278,2878,42752,3494,96032,5181,103932,5751,223499,3351,220494,3410,74541,4352,55231,3363,217523,3530,38862,2829,3005,977,0400000US35,1530455,2337,595533,9840,574605,9338,452284,10950,391550,9747,44548,3976,1870,635,27981,3357,122321,7444,20928,2417,19903,2340,10180,1553,6058,1266,17854,2429,875,382,1025,545,376787,9382,343008,8762,215192,7584,127312,6468,36485,3399,4971,997,52277,4315,127816,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
16161,286622,6824,282027,6797,148662,5027,85156,3809,271717,6727,24474,2634,4595,1284,5089776,24440,3018620,22685,2490126,22247,1106694,17771,321301,9676,338408,10116,1134363,16947,528494,13343,2071156,9309,2049205,10041,768088,10390,554066,9845,2026497,10323,450188,10501,21951,2991,0400000US36,14938309,3561,6283424,30850,6077467,30748,5304200,31491,4728909,32780,440182,12179,24375,2382,376938,11755,773267,17768,205957,5923,200974,5973,143014,5137,39406,2973,154830,5643,11374,1614,4983,1277,3565109,27200,3278487,27987,2597262,24991,1746382,22320,362445,12698,50614,3562,609509,14007,681225,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
12305,147276,5985,146506,6111,55954,3449,54678,3314,143680,6107,10323,1506,770,488,2491372,25512,1487227,23448,1083509,19838,468789,12219,167156,8674,231058,8255,365172,11940,403718,12283,1004145,7552,1000290,7470,331104,8391,378486,9137,995980,7677,161362,6352,3855,1226,0400000US37,7174146,5811,2884470,24960,2801233,24266,2382312,23057,2124696,23318,265811,9631,10522,1683,53905,4655,418921,14499,83237,4883,82741,4883,47930,4038,28059,2851,73698,4763,3685,882,496,317,1798304,27139,1651028,24935,1108453,20453,757233,16810,213187,9018,25452,3181,145291,8660,542575,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
2389,16137,1327,16137,1327,4672,780,9109,1028,16038,1325,1360,464,0,143,116561,3671,49091,3483,39914,3235,17947,1966,8606,1632,7325,1265,10712,1697,9177,1197,67470,1591,67340,1597,14308,1449,41200,2071,66703,1644,7430,906,130,100,0400000US38,518572,1273,254056,4753,245256,4532,221136,4312,191556,4815,33253,2777,1285,585,4134,1044,24120,2547,8800,1196,8800,1196,4533,951,3653,715,7548,1066,586,328,0,143,147955,4843,131818,4420,109412,4012,77723,3746,24066,2319,2555,686,10641,1487,22406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
11952,188737,5515,187236,5510,87948,3966,62782,3507,182737,5254,12123,1415,1501,598,2908553,21494,1614042,19583,1247704,17153,603096,12340,149066,6655,232151,6963,435587,9186,366338,11617,1294511,7840,1288832,7975,546645,8712,448957,7323,1274495,7703,154627,5823,5679,1231,0400000US39,8680762,2980,3543252,23199,3446824,22267,3108591,21366,2865168,21999,248349,9796,11609,1700,94828,5513,338233,11388,96428,4402,95657,4334,64519,3309,20948,1690,81316,3741,3631,703,771,478,2228957,22326,2040220,20684,1555513,16316,1126192,14633,206765,6759,34936,2737,255921,9423,484707,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
