GEO_ID,C24010G_001E,C24010G_001M,C24010G_002E,C24010G_002M,C24010G_003E,C24010G_003M,C24010G_004E,C24010G_004M,C24010G_005E,C24010G_005M,C24010G_006E,C24010G_006M,C24010G_007E,C24010G_007M,C24010G_008E,C24010G_008M,C24010G_009E,C24010G_009M,C24010G_010E,C24010G_010M,C24010G_011E,C24010G_011M,C24010G_012E,C24010G_012M,C24010G_013E,C24010G_013M,NAME,C24010G_001MA,C24010G_001EA,C24010G_002EA,C24010G_002MA,C24010G_003MA,C24010G_003EA,C24010G_004MA,C24010G_004EA,C24010G_005EA,C24010G_005MA,C24010G_006EA,C24010G_006MA,C24010G_007EA,C24010G_007MA,C24010G_008MA,C24010G_008EA,C24010G_009EA,C24010G_009MA,C24010G_010EA,C24010G_010MA,C24010G_011EA,C24010G_011MA,C24010G_012EA,C24010G_012MA,C24010G_013EA,C24010G_013MA,state
0400000US01,16270,2048,7833,1246,2211,927,1391,722,1547,470,1383,505,1301,444,8437,1561,3776,1162,1937,642,2175,729,28,46,521,388,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19343,2348,8604,1278,2047,817,1151,437,1725,613,2702,877,979,432,10739,1768,3718,1076,2802,989,3873,1005,14,24,332,439,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,54777,4781,28339,2905,7909,1697,5509,1202,6232,1707,3857,1129,4832,1352,26438,3578,6884,1526,6944,1602,10619,2274,755,460,1236,664,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15968,2485,9469,1774,2280,936,1599,722,2462,907,1259,587,1869,733,6499,1479,2166,815,1652,582,2223,741,48,87,410,254,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,508474,17268,264767,11153,84793,5708,51442,5461,57058,4926,33229,3209,38245,3292,243707,9338,96053,4978,56501,3971,79325,5216,2278,836,9550,2019,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,55937,4151,28190,2563,9365,1712,6225,1334,4518,1069,4133,1116,3949,1134,27747,2910,11004,1769,6206,1417,9485,2066,207,210,845,484,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,28464,3480,13941,2320,4971,1129,3571,1049,2514,923,1206,657,1679,601,14523,2187,5438,1253,4489,1265,3562,1000,407,357,627,348,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6804,1349,2670,953,734,509,598,349,801,677,156,198,381,393,4134,1045,1295,647,1530,636,1052,494,0,192,257,318,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6558,1279,3131,970,2113,811,143,158,443,377,253,243,179,178,3427,871,2304,721,464,316,659,275,0,200,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,127038,7730,65177,5406,20536,2830,12539,2382,12853,2465,10497,2468,8752,1920,61861,4884,21980,2944,15531,2413,21541,2474,817,464,1992,670,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
