GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001EA,B13002I_001MA,B13002I_002MA,B13002I_002EA,B13002I_003MA,B13002I_003EA,B13002I_004EA,B13002I_004MA,B13002I_005EA,B13002I_005MA,B13002I_006EA,B13002I_006MA,B13002I_007MA,B13002I_007EA,state
0400000US01,46040,3031,5076,1322,3306,1213,1770,812,40964,3250,21161,2725,19803,2751,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11742,725,563,284,408,250,155,168,11179,727,5471,867,5708,1045,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,518203,2260,33456,3685,16666,2297,16790,2942,484747,4437,203142,7576,281605,8530,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,48248,1714,4248,1199,2710,974,1538,654,44000,2045,23905,1999,20095,2229,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3914031,5015,250023,9820,143521,6977,106502,6544,3664008,10924,1575660,17321,2088348,19009,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,278748,2087,23878,3135,15780,2759,8098,1685,254870,3739,114363,4405,140507,5450,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,139731,1212,9211,1507,3494,971,5717,1250,130520,2099,48525,2811,81995,3040,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20336,559,1183,607,712,494,471,322,19153,856,7775,1241,11378,1293,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17202,291,1216,596,730,450,486,339,15986,644,5270,1058,10716,1019,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1156592,4951,58188,5203,35746,4183,22442,3573,1098404,7450,486316,13440,612088,11828,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,228740,4846,17689,2664,12102,2356,5587,1626,211051,5488,105043,5609,106008,6470,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,32625,820,2654,796,1700,611,954,532,29971,1224,12214,1637,17757,1601,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,46468,1441,6747,1504,2875,958,3872,1191,39721,2141,19176,1668,20545,2053,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,555911,2781,37867,3487,23269,2640,14598,2470,518044,4158,229763,7259,288281,7101,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,100149,2502,7447,1350,3871,996,3576,988,92702,2752,41304,2601,51398,2924,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39301,1466,3267,953,1449,649,1818,680,36034,1770,15712,1465,20322,1865,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,77366,1749,6606,1388,3724,1155,2882,711,70760,2089,32509,2797,38251,2611,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,32262,1638,2761,933,1409,541,1352,745,29501,1952,12602,1467,16899,2087,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,49131,1949,3241,934,2232,791,1009,489,45890,1980,22313,2000,23577,2460,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5663,815,458,290,172,127,286,264,5205,815,1844,558,3361,663,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
