GEO_ID,C15002_001E,C15002_001M,C15002_002E,C15002_002M,C15002_003E,C15002_003M,C15002_004E,C15002_004M,C15002_005E,C15002_005M,C15002_006E,C15002_006M,C15002_007E,C15002_007M,C15002_008E,C15002_008M,C15002_009E,C15002_009M,C15002_010E,C15002_010M,C15002_011E,C15002_011M,C15002_012E,C15002_012M,C15002_013E,C15002_013M,C15002_014E,C15002_014M,C15002_015E,C15002_015M,C15002_016E,C15002_016M,C15002_017E,C15002_017M,NAME,C15002_001MA,C15002_001EA,C15002_002EA,C15002_002MA,C15002_003MA,C15002_003EA,C15002_004EA,C15002_004MA,C15002_005MA,C15002_005EA,C15002_006MA,C15002_006EA,C15002_007EA,C15002_007MA,C15002_008MA,C15002_008EA,C15002_009EA,C15002_009MA,C15002_010MA,C15002_010EA,C15002_011EA,C15002_011MA,C15002_012EA,C15002_012MA,C15002_013MA,C15002_013EA,C15002_014MA,C15002_014EA,C15002_015EA,C15002_015MA,C15002_016EA,C15002_016MA,C15002_017EA,C15002_017MA,state
0400000US01,3193078,4624,1508892,4211,93491,5319,190331,7702,469536,9588,325033,7940,95523,4715,208506,7611,126472,5014,1684186,4273,84431,3985,183493,7355,515914,8105,384155,9813,140639,5738,234982,7692,140572,6006,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,456862,1804,234211,1512,6846,1047,12844,1739,72749,3806,69595,3305,16153,2329,34964,2947,21060,2082,222651,1293,7148,1171,10783,1424,55624,2976,66812,4068,17847,1898,42189,2456,22248,2300,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4211223,3828,2059722,2911,130372,6447,179526,8069,500421,14888,522853,13196,156927,8163,362261,11042,207362,7760,2151501,2879,131282,5146,160917,8410,536166,12675,582291,14145,191270,8806,357285,9506,192290,7639,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1943427,3997,935804,3974,61518,3683,98498,4712,344737,8136,197402,6830,42484,3455,123627,5125,67538,4515,1007623,3185,59590,3626,95935,4778,348479,9808,229374,7575,70590,4588,131276,5547,72379,4731,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24443872,5625,11937927,4691,1201062,19864,1087909,17840,2564950,31992,2601704,24415,830883,15362,2255027,27141,1396392,18768,12505945,3324,1310572,20219,1022548,17525,2586044,23950,2790326,25038,1041554,17116,2442395,22470,1312506,17185,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3387310,3216,1675846,3036,73791,4590,101932,5243,376171,9220,375385,8669,125219,5434,391459,9383,231889,7483,1711464,2126,61656,3736,93906,5050,381529,8506,398420,8394,156209,6697,398400,10844,221344,6020,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2444403,1883,1161569,1652,54511,3853,77498,5231,333072,7929,205906,7286,65753,3742,240380,5768,184449,6207,1282834,1276,53847,3433,80838,4432,343441,8263,232112,7155,113366,4861,259723,7834,199507,7164,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,611120,929,289532,972,14713,1813,26647,2453,91149,4211,57133,3676,14827,2292,49071,3082,35992,2878,321588,772,13819,1974,24337,2336,101782,4769,62695,2875,27775,3003,55528,3461,35652,3544,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,428261,167,200665,258,12591,2155,14767,1775,34739,3165,26745,2447,5152,956,48242,3146,58429,3032,227596,252,9325,1562,18007,1882,41158,2780,34258,2547,6755,1442,51380,2911,66713,2783,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13267581,9014,6351556,7234,373404,13490,586927,13121,1915604,26217,1272342,20482,509071,14531,1051623,18030,642585,14544,6916025,5526,375858,11568,531613,11370,2117470,25842,1489150,22622,666913,17270,1139157,19469,595864,14080,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
