GEO_ID,B10058_001E,B10058_001M,B10058_002E,B10058_002M,B10058_003E,B10058_003M,B10058_004E,B10058_004M,B10058_005E,B10058_005M,B10058_006E,B10058_006M,B10058_007E,B10058_007M,B10058_008E,B10058_008M,B10058_009E,B10058_009M,B10058_010E,B10058_010M,B10058_011E,B10058_011M,NAME,B10058_001MA,B10058_001EA,B10058_002MA,B10058_002EA,B10058_003EA,B10058_003MA,B10058_004EA,B10058_004MA,B10058_005MA,B10058_005EA,B10058_006MA,B10058_006EA,B10058_007MA,B10058_007EA,B10058_008MA,B10058_008EA,B10058_009EA,B10058_009MA,B10058_010MA,B10058_010EA,B10058_011MA,B10058_011EA,state
0400000US01,119988,5433,58911,3893,36137,3053,29848,2799,6289,1348,22774,3123,61077,3501,30509,2463,15134,1994,15375,1778,30568,2403,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15120,1947,7468,1218,3667,868,2344,744,1323,534,3801,827,7652,1247,2380,598,916,323,1464,470,5272,1216,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,167100,9264,88838,5856,39517,3902,30441,3498,9076,1718,49321,5055,78262,6810,24506,2720,12062,1917,12444,2122,53756,6008,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66271,5143,35430,3708,21436,2321,16567,1971,4869,1293,13994,2850,30841,3102,14956,2056,7395,1474,7561,1288,15885,2474,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1117387,21494,528429,14807,192533,9324,151933,8448,40600,3513,335896,12399,588958,15205,123841,6711,53518,4313,70323,4817,465117,13464,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,92500,6540,51101,5207,24550,3314,19463,2969,5087,1268,26551,3499,41399,3606,12639,2042,6192,1317,6447,1475,28760,2935,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,62737,4835,31837,3387,13175,2026,10091,1654,3084,953,18662,2763,30900,3178,8269,1755,3420,992,4849,1457,22631,2946,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22515,2980,11219,1812,4879,1104,3881,883,998,516,6340,1354,11296,1904,3501,1100,1390,636,2111,713,7795,1576,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10592,1468,5364,1158,2238,696,1509,575,729,375,3126,1022,5228,1033,1946,785,1188,645,758,346,3282,719,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,450430,17448,219022,10537,100423,6576,78595,5651,21828,3535,118599,8279,231408,12099,64585,4914,25537,3205,39048,3593,166823,11505,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,264875,12510,131200,8597,69759,6036,55956,5410,13803,2272,61441,5403,133675,8381,47595,4377,20902,3016,26693,3275,86080,6981,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,55428,4158,25103,2763,8277,1609,5411,1315,2866,900,16826,2127,30325,2709,5281,1170,1553,591,3728,896,25044,2424,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28322,2910,15297,2119,7573,1435,6086,1359,1487,597,7724,1640,13025,1944,3937,1124,1727,732,2210,888,9088,1812,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,273239,9257,140692,6010,60918,4430,48551,3874,12367,1802,79774,4914,132547,7501,37650,3295,15774,2191,21876,2409,94897,6511,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,135610,7386,78564,4530,42879,3633,35501,3307,7378,1481,35685,3255,57046,4750,24876,2907,11999,1914,12877,1978,32170,3262,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,36181,2855,19874,1735,10015,1564,7563,1437,2452,649,9859,1207,16307,2018,5486,1125,2446,843,3040,768,10821,1775,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,46063,3829,28282,3004,13670,1478,10334,1516,3336,670,14612,2461,17781,1860,5791,995,3178,765,2613,666,11990,1622,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,97429,6026,46838,3813,27497,2900,22329,2658,5168,1035,19341,2518,50591,4010,27174,2396,13731,1624,13443,1974,23417,3102,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,119156,7065,61827,5197,35456,3624,28552,3304,6904,1259,26371,3432,57329,3803,29066,2518,14067,1943,14999,1801,28263,2850,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,16669,2391,8481,1767,5093,1552,4501,1540,592,288,3388,823,8188,1370,2207,630,1143,373,1064,430,5981,1213,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,139181,7571,76086,5737,31500,3392,23565,2886,7935,1479,44586,4349,63095,4948,16792,2208,8073,1851,8719,1582,46303,4486,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,121429,6469,62683,4904,23087,3212,16659,2492,6428,1530,39596,3594,58746,4174,14740,2093,6641,1465,8099,1489,44006,3480,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,169478,6403,78116,5165,34170,3325,27784,3310,6386,1105,43946,3793,91362,4609,30979,2562,15422,1950,15557,1580,60383,4168,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,67342,4182,39704,3611,18694,2497,14851,2330,3843,843,21010,2652,27638,2315,8398,1263,3888,862,4510,913,19240,2018,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,81066,4729,40534,3469,25810,2859,21964,2659,3846,1032,14724,2131,40532,3349,19093,1997,9279,1502,9814,1588,21439,2664,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,110793,6798,64118,5205,29699,3411,23842,3069,5857,1471,34419,3923,46675,3564,17044,2379,7262,1432,9782,1551,29631,2916,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,14202,1779,7633,1372,3821,923,3279,889,542,257,3812,933,6569,1144,3245,902,1778,738,1467,478,3324,844,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,24071,2560,15723,1991,8063,1278,6446,1128,1617,435,7660,1356,8348,1343,3805,926,1490,555,2315,723,4543,940,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,68247,7039,33075,4235,15053,2506,11415,2300,3638,1073,18022,3067,35172,4837,10240,2311,4926,1437,5314,1508,24932,4636,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,19020,2342,10598,1757,3711,999,2405,679,1306,626,6887,1433,8422,1684,1355,497,720,376,635,345,7067,1550,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,187065,7517,89109,5618,28273,3451,21045,3111,7228,1446,60836,4603,97956,5101,17596,2288,5569,1214,12027,1924,80360,4487,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,54584,4571,29746,2926,15478,2304,11894,2047,3584,948,14268,1890,24838,3190,10917,1788,5086,1218,5831,1107,13921,2411,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,430010,10870,188139,8634,77674,5191,62555,5001,15119,1690,110465,6274,241871,7657,55463,3812,25296,2456,30167,2884,186408,7225,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,215690,11726,112548,8259,60936,5371,48068,5149,12868,2167,51612,5700,103142,6697,40641,3542,19974,2861,20667,2401,62501,5186,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,6933,1585,3937,1350,2316,1211,2186,1202,130,110,1621,648,2996,651,899,310,441,218,458,217,2097,592,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,223431,8728,122878,7443,64322,4234,54122,4013,10200,1415,58556,5326,100553,4524,40565,3463,18296,1755,22269,2603,59988,4258,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,86586,5295,48503,4044,25834,2520,21242,2260,4592,998,22669,2682,38083,2927,18510,2423,8721,1644,9789,1591,19573,1982,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,65602,5886,34753,4208,14353,2241,10424,2003,3929,1075,20400,3396,30849,3833,10068,1732,4065,1262,6003,1259,20781,3411,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,230575,9728,115311,7075,47244,3864,38065,3448,9179,1678,68067,5258,115264,6381,33277,3032,16953,2391,16324,1730,81987,5427,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,19988,2693,10978,1979,4311,1115,3294,1058,1017,515,6667,1699,9010,1613,2110,740,788,429,1322,579,6900,1443,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,115047,6529,59797,4734,30996,3915,25381,3571,5615,1100,28801,3531,55250,4320,22126,2612,10202,1770,11924,1853,33124,3933,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,10829,1829,5684,1422,2558,640,1860,572,698,297,3126,1221,5145,1103,3075,904,1020,502,2055,797,2070,684,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,150320,7225,78008,5627,40820,4395,32759,4003,8061,1468,37188,3587,72312,4219,30218,2424,15818,1738,14400,1979,42094,3685,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,767535,18601,410672,14380,210841,9309,172296,8916,38545,3526,199831,9821,356863,11845,117871,7220,63807,5648,54064,4439,238992,10021,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,60926,4841,37095,3792,12830,2436,9855,2148,2975,835,24265,2827,23831,2799,5509,1122,2036,805,3473,784,18322,2506,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,6898,1230,4618,1061,2397,948,2039,899,358,219,2221,703,2280,484,654,296,251,177,403,240,1626,392,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
