GEO_ID,B25007_001E,B25007_001M,B25007_002E,B25007_002M,B25007_003E,B25007_003M,B25007_004E,B25007_004M,B25007_005E,B25007_005M,B25007_006E,B25007_006M,B25007_007E,B25007_007M,B25007_008E,B25007_008M,B25007_009E,B25007_009M,B25007_010E,B25007_010M,B25007_011E,B25007_011M,B25007_012E,B25007_012M,B25007_013E,B25007_013M,B25007_014E,B25007_014M,B25007_015E,B25007_015M,B25007_016E,B25007_016M,B25007_017E,B25007_017M,B25007_018E,B25007_018M,B25007_019E,B25007_019M,B25007_020E,B25007_020M,B25007_021E,B25007_021M,NAME,B25007_001EA,B25007_001MA,B25007_002EA,B25007_002MA,B25007_003EA,B25007_003MA,B25007_004MA,B25007_004EA,B25007_005MA,B25007_005EA,B25007_006EA,B25007_006MA,B25007_007EA,B25007_007MA,B25007_008EA,B25007_008MA,B25007_009MA,B25007_009EA,B25007_010MA,B25007_010EA,B25007_011MA,B25007_011EA,B25007_012EA,B25007_012MA,B25007_013EA,B25007_013MA,B25007_014EA,B25007_014MA,B25007_015MA,B25007_015EA,B25007_016MA,B25007_016EA,B25007_017EA,B25007_017MA,B25007_018EA,B25007_018MA,B25007_019EA,B25007_019MA,B25007_020MA,B25007_020EA,B25007_021MA,B25007_021EA,state
0400000US01,1844546,11416,1289217,12212,16671,2297,128185,5074,206211,5408,291417,6275,143648,5187,145362,4638,198436,3512,121690,3993,37597,2541,555329,9348,69700,3913,142972,5104,111111,4610,94147,5543,39692,2973,28626,2508,35563,2711,20985,1736,12533,1584,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,162312,3867,1777,626,22446,2168,28168,2263,40349,2407,21745,1825,18223,1894,18998,1204,8596,885,2010,566,95018,4471,13023,1817,27180,2088,19266,2315,17017,2048,6092,1263,5695,1024,4043,848,1711,440,991,464,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,1501528,15067,16905,2292,139034,7161,233326,9278,311781,7655,163418,6745,168460,5737,269956,5150,153467,5002,45181,3479,854527,15846,92266,5147,230467,8708,190362,8156,146851,7222,60420,4681,41424,3366,46474,4026,28613,2879,17650,2345,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,750984,9249,10765,1801,79415,4360,116546,4041,156239,5058,80831,3299,83584,4488,124022,2775,74909,2452,24673,1884,376637,8537,49424,3251,95684,5775,74781,4767,63439,3873,25463,2418,21163,2582,24414,2092,14601,1560,7668,1299,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,6843369,25886,46947,4001,521113,12812,1166515,15617,1663421,14125,814039,12773,765552,12719,1003674,10132,610385,8253,251723,6173,5625374,23999,409431,10060,1463035,19061,1317087,16370,1066853,12720,393820,9293,301550,8550,336910,8375,211366,6907,125322,6251,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,1271804,10881,12277,1874,142598,5657,243687,5829,293870,5963,156074,5491,140162,4631,165224,3175,89052,2785,28860,2044,703584,11056,92299,5477,199838,5828,144133,5668,116872,5135,40684,3568,33168,2691,37200,3022,21081,1985,18309,1919,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,911059,6941,3543,889,66822,3998,158882,4434,234134,4514,107039,3888,103871,4061,125193,3065,76947,2500,34628,2081,440584,7734,28362,2634,110923,5463,85358,4049,82959,4510,30744,2795,27427,2696,32804,2779,24485,2082,17522,1729,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,238560,4816,1730,733,19297,1822,40579,3003,55316,2566,26512,2047,27654,1960,40258,1600,21030,1649,6184,981,94632,4248,9054,1540,26144,2183,18081,2112,17459,2267,5221,834,5066,1043,6201,1078,4212,1061,3194,881,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,110625,3425,322,236,14339,1760,21224,1862,22175,1622,11187,1275,11760,1137,16232,1049,9035,1101,4351,671,158045,3930,13502,1478,56338,2104,28369,2244,21908,1831,9036,1325,9376,1419,10916,1301,5746,1092,2854,787,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,4741169,31771,32798,3516,325733,9993,678359,13475,996692,16789,519278,12483,531087,12187,875140,9966,577133,8813,204949,7634,2365114,25972,202489,7094,577830,13135,517477,15038,450110,12059,164214,6228,127478,6864,154924,6569,102597,5718,67995,4269,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
