GEO_ID,C12002C_001E,C12002C_001M,C12002C_002E,C12002C_002M,C12002C_003E,C12002C_003M,C12002C_004E,C12002C_004M,C12002C_005E,C12002C_005M,C12002C_006E,C12002C_006M,NAME,C12002C_001EA,C12002C_001MA,C12002C_002EA,C12002C_002MA,C12002C_003MA,C12002C_003EA,C12002C_004MA,C12002C_004EA,C12002C_005MA,C12002C_005EA,C12002C_006EA,C12002C_006MA,state
0400000US01,19666,2015,5020,1107,9549,1709,593,319,1483,499,3021,862,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,76498,2493,38147,1890,24813,1749,2204,619,4197,639,7137,882,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,212106,3995,111205,3727,65860,4067,7216,1151,8786,1158,19039,2186,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13457,2135,3055,951,7457,1296,746,508,590,350,1609,751,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,229889,10472,96138,6612,84585,5471,7406,1561,11711,1686,30049,2993,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,39660,3451,16530,2484,16065,2281,1214,643,1141,471,4710,1021,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,5407,1225,2417,692,1926,665,48,61,394,337,622,425,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2519,841,1235,736,675,300,76,118,131,147,402,317,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1342,485,799,300,345,212,0,200,52,87,146,136,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,52143,5137,20382,3514,19440,2347,1727,731,3632,1448,6962,1930,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,19542,2849,7098,1710,9270,1928,677,370,526,311,1971,788,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3431,952,1846,729,532,287,104,152,269,276,680,405,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,15148,1804,5700,1022,5357,1161,207,215,737,509,3147,783,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,21721,2599,7768,1522,8703,1636,584,361,843,402,3823,980,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,10198,1398,3295,865,4130,913,305,353,455,308,2013,665,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,8635,1246,4318,990,2300,683,144,153,294,247,1579,531,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,18689,2503,7400,1690,6923,1034,377,247,1223,504,2766,951,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,7329,1410,1916,743,3510,964,240,221,140,115,1523,634,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,21394,1788,8011,1258,9220,1510,634,372,683,311,2846,922,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6690,1422,2261,743,2862,890,61,109,241,145,1265,554,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,13017,1373,4534,899,5772,990,581,354,387,266,1743,746,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,10837,1807,4448,1131,4211,1165,228,243,860,614,1090,477,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,42645,2747,16495,1690,16973,1584,967,378,1793,477,6417,1130,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,44205,2343,24255,2099,11205,1557,1048,353,1973,462,5724,789,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,8930,1501,3462,834,3885,1283,111,144,429,255,1043,513,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,18418,2263,5671,1382,7792,1280,481,268,1153,548,3321,1001,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
