GEO_ID,B19121_001E,B19121_001M,B19121_002E,B19121_002M,B19121_003E,B19121_003M,B19121_004E,B19121_004M,B19121_005E,B19121_005M,NAME,B19121_001EA,B19121_001MA,B19121_002MA,B19121_002EA,B19121_003EA,B19121_003MA,B19121_004MA,B19121_004EA,B19121_005MA,B19121_005EA,state
0400000US01,51991,760,24986,800,39307,1301,74202,1397,91733,4622,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,75786,2534,33575,4810,52713,2905,93263,3319,118569,10015,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,55328,706,35140,1539,41253,867,76346,1185,89740,3819,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,48713,1091,25235,982,35765,966,67425,1581,88260,4048,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,65476,409,27828,697,47433,485,88491,838,97076,1087,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,69110,1054,35281,1463,48544,1654,86101,1416,107174,3081,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,83106,1258,33814,1774,57154,2488,104800,1559,124209,2988,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,69663,2509,42091,1881,47305,2769,88622,2978,111464,7178,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,75603,3710,14761,2368,49168,2728,133109,11058,125897,19268,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,53958,499,33377,661,41065,483,73419,1037,88908,1699,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,55001,628,24790,875,40378,680,76420,1240,91703,2477,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,74234,1895,38783,3684,48907,1852,86715,3039,122910,3870,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,52814,1299,33320,1542,40938,1136,65218,2361,82914,4291,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,65579,596,30464,661,46522,603,85466,850,101353,1591,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,57148,643,29689,807,41236,657,75101,894,93697,2005,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,62821,829,33052,1170,41351,764,76596,985,94350,2401,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,61947,827,34596,1295,41714,984,76307,1089,94618,2790,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,51917,717,24184,843,39209,920,72753,1136,92411,2837,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,53601,1165,22366,947,37197,871,79571,1741,100225,4316,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,58375,1403,29390,1548,40647,1126,76276,1182,95960,3579,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,83823,1163,36360,1694,57088,1122,108116,1710,127135,4150,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,80425,823,29189,1087,54475,1265,101596,917,119757,2228,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,58068,465,32824,660,44116,911,78706,858,94615,1740,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,71321,598,35735,1081,47122,1106,86076,877,102385,1818,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,46304,876,21511,789,35505,934,66498,1692,91644,4528,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,56616,627,30201,944,40259,682,74976,1063,94532,3022,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,56217,954,35170,1793,41443,1424,67331,2140,87236,5110,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,63491,1142,33194,1705,41012,1109,75770,1219,94252,4184,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,56544,1151,33417,2182,44013,1798,74315,2750,93996,5920,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,76609,1435,34353,2035,51522,1369,91527,2040,112697,4367,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,82255,594,34136,1016,59906,986,107472,1279,124517,2224,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,51744,1285,27808,1949,37571,2068,73947,1879,85071,7369,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,66852,528,25933,615,46821,544,91446,717,109552,1500,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,54082,593,27929,863,39885,805,74811,1098,89437,2332,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,66924,1385,31989,3502,40714,1512,80791,1700,100059,6852,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,58565,514,29416,530,41946,465,78189,670,95251,1923,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,53742,767,27552,912,39841,1025,71421,995,88780,2451,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,58356,938,33925,1683,42285,1134,74880,1417,87928,2875,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,63283,444,29738,477,46477,513,81744,591,100441,1540,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,69604,1731,27722,2420,45945,2440,89383,3979,110105,4425,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,52240,663,27931,1049,38442,1064,73133,1733,87567,2867,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,62059,1634,30120,3040,37299,1999,73460,1671,88821,2611,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,52273,576,26347,760,39082,949,71481,1146,86996,2893,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,58016,575,26446,693,40389,409,78646,838,90464,1600,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,62809,939,37136,1771,49942,1706,70621,988,94927,2733,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,66190,1342,30273,2778,45086,1676,81488,2295,100396,3562,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US51,74500,929,35657,1196,52247,832,94245,1410,110237,2900,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US53,68628,869,36645,1211,51655,787,87946,1312,101828,3033,Washington,null,null,null,null,null,null,null,null,null,null,53
0400000US54,49693,940,26079,773,40658,1223,73400,2016,90782,2615,West Virginia,null,null,null,null,null,null,null,null,null,null,54
0400000US55,63732,611,33597,949,42776,869,78599,959,96656,1717,Wisconsin,null,null,null,null,null,null,null,null,null,null,55
0400000US56,68629,2314,32633,3180,44417,2909,85721,2412,107165,8765,Wyoming,null,null,null,null,null,null,null,null,null,null,56
0400000US72,22043,426,10213,395,21938,598,44158,1245,57344,2811,Puerto Rico,null,null,null,null,null,null,null,null,null,null,72
