GEO_ID,C05003B_001E,C05003B_001M,C05003B_002E,C05003B_002M,C05003B_003E,C05003B_003M,C05003B_004E,C05003B_004M,C05003B_005E,C05003B_005M,C05003B_006E,C05003B_006M,C05003B_007E,C05003B_007M,C05003B_008E,C05003B_008M,C05003B_009E,C05003B_009M,C05003B_010E,C05003B_010M,C05003B_011E,C05003B_011M,C05003B_012E,C05003B_012M,C05003B_013E,C05003B_013M,C05003B_014E,C05003B_014M,C05003B_015E,C05003B_015M,NAME,C05003B_001EA,C05003B_001MA,C05003B_002EA,C05003B_002MA,C05003B_003MA,C05003B_003EA,C05003B_004MA,C05003B_004EA,C05003B_005MA,C05003B_005EA,C05003B_006EA,C05003B_006MA,C05003B_007EA,C05003B_007MA,C05003B_008EA,C05003B_008MA,C05003B_009EA,C05003B_009MA,C05003B_010MA,C05003B_010EA,C05003B_011EA,C05003B_011MA,C05003B_012EA,C05003B_012MA,C05003B_013MA,C05003B_013EA,C05003B_014EA,C05003B_014MA,C05003B_015MA,C05003B_015EA,state
0400000US01,1281095,4637,598314,3797,177440,3241,177065,3244,375,258,420874,2323,415639,2441,5235,1429,682781,3632,170543,2812,169886,2821,657,495,512238,2003,507202,2400,5036,1274,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23143,2072,12133,1218,2581,854,2532,853,49,81,9552,844,8174,724,1378,621,11010,1399,3441,908,3404,912,37,63,7569,817,7014,721,555,331,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,265940,7841,141912,5028,42338,3372,40382,3465,1956,1138,99574,2772,87463,3834,12111,2818,124028,5290,35708,3709,34478,3666,1230,756,88320,2579,80017,3141,8303,1955,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,463364,4287,222587,3128,71272,2349,70710,2304,562,624,151315,2011,149806,2148,1509,848,240777,3331,65606,2728,65559,2735,47,88,175171,1828,173621,1808,1550,1211,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2253905,15479,1115401,10246,280760,6349,275619,6168,5141,1669,834641,7154,761690,8655,72951,6366,1138504,10148,263537,6835,258252,6724,5285,1627,874967,6385,804325,7810,70642,5292,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,203243,4916,107692,2892,25656,2136,24873,2108,783,573,82036,2423,69609,2873,12427,2084,95551,3398,25195,2341,24351,2365,844,439,70356,2090,60226,3322,10130,2503,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,359683,5702,171824,3216,49629,2540,46650,2596,2979,1200,122195,2181,93144,3563,29051,3039,187859,3255,48061,1737,45876,1923,2185,708,139798,2301,103770,3768,36028,3384,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,193899,2993,92419,1790,27212,1460,26748,1505,464,533,65207,784,59921,1777,5286,1660,101480,1863,25582,1491,25074,1574,508,539,75898,1328,69060,2115,6838,1885,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,309845,2181,140943,1430,34296,787,33756,858,540,385,106647,944,97944,2122,8703,1907,168902,1339,32865,749,32215,812,650,395,136037,930,127219,1966,8818,1838,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3046628,20255,1462986,10942,429418,7106,411421,7135,17997,2673,1033568,7940,778583,10289,254985,9174,1583642,13074,412938,8202,391290,8349,21648,2992,1170704,7717,856010,10471,314694,10619,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
