GEO_ID,C27013_001E,C27013_001M,C27013_002E,C27013_002M,C27013_003E,C27013_003M,C27013_004E,C27013_004M,C27013_005E,C27013_005M,C27013_006E,C27013_006M,C27013_007E,C27013_007M,C27013_008E,C27013_008M,C27013_009E,C27013_009M,C27013_010E,C27013_010M,C27013_011E,C27013_011M,C27013_012E,C27013_012M,C27013_013E,C27013_013M,C27013_014E,C27013_014M,C27013_015E,C27013_015M,C27013_016E,C27013_016M,C27013_017E,C27013_017M,C27013_018E,C27013_018M,C27013_019E,C27013_019M,C27013_020E,C27013_020M,C27013_021E,C27013_021M,C27013_022E,C27013_022M,NAME,C27013_001EA,C27013_001MA,C27013_002EA,C27013_002MA,C27013_003MA,C27013_003EA,C27013_004MA,C27013_004EA,C27013_005EA,C27013_005MA,C27013_006EA,C27013_006MA,C27013_007EA,C27013_007MA,C27013_008MA,C27013_008EA,C27013_009MA,C27013_009EA,C27013_010EA,C27013_010MA,C27013_011EA,C27013_011MA,C27013_012EA,C27013_012MA,C27013_013MA,C27013_013EA,C27013_014MA,C27013_014EA,C27013_015MA,C27013_015EA,C27013_016EA,C27013_016MA,C27013_017EA,C27013_017MA,C27013_018MA,C27013_018EA,C27013_019MA,C27013_019EA,C27013_020MA,C27013_020EA,C27013_021EA,C27013_021MA,C27013_022EA,C27013_022MA,state
0400000US01,3597942,3382,1423212,17980,1375582,17618,1179255,16921,196327,9500,47630,2966,37675,2639,9955,1685,809868,14410,745354,14263,456232,11499,289122,9805,64514,3645,44209,3003,20305,2086,1364862,16240,823088,15269,372227,9922,450861,12030,541774,5046,343346,5694,198428,5562,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,511564,1925,223786,6600,218001,6652,173080,6810,44921,3716,5785,1066,4256,913,1529,604,167698,6136,157500,6235,88042,4707,69458,4163,10198,1536,6909,1217,3289,881,120080,4979,79079,4558,35683,2746,43396,3415,41001,1606,23746,1758,17255,1567,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4756450,2424,1856480,22085,1801450,20749,1407108,22900,394342,15420,55030,4995,41245,4131,13785,2376,1118143,23015,1023042,21997,542045,14680,480997,16069,95101,5193,58169,3979,36932,3320,1781827,19124,1020942,18401,413765,13794,607177,15443,760885,6092,454516,8520,306369,8685,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2176324,1917,878990,12897,849804,12432,688451,12521,161353,8245,29186,2639,23260,2129,5926,1177,495766,10562,450851,9947,234249,9145,216602,6758,44915,2792,29899,2090,15016,1763,801568,10190,463073,9857,177596,6417,285477,8597,338495,3532,202126,5135,136369,4521,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27909323,5329,10852493,43518,10521062,42011,8400234,40717,2120828,25507,331431,7901,240005,7500,91426,4168,7398888,49709,6932696,47433,3886909,37778,3045787,30657,466192,10252,288962,6429,177230,7253,9657942,41763,6153710,38037,2647548,30886,3506162,29437,3504232,12961,1795817,15129,1708415,16075,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3798057,3075,1688005,16353,1640017,15905,1391394,17410,248623,9036,47988,3113,36599,2920,11389,1716,1085606,15254,1006879,15556,633536,15764,373343,12428,78727,3680,51203,3128,27524,2327,1024446,11719,591929,10969,307074,8595,284855,9156,432517,5485,279013,6523,153504,5984,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2720359,1220,1165186,12251,1120168,11825,994567,12251,125601,5985,45018,3004,36192,2629,8826,1550,750235,11581,679956,10793,465953,10477,214003,8036,70279,3437,49630,2842,20649,2070,804938,9839,427174,8217,217878,6835,209296,6428,377764,4431,249073,5696,128691,5463,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,687837,960,295025,6834,284357,6512,246006,5889,38351,3592,10668,1557,8417,1425,2251,807,171117,5950,154094,5902,102969,4677,51125,4554,17023,1823,11580,1637,5443,971,221695,5120,119326,4519,58138,3626,61188,3679,102369,2176,73627,2802,28742,2521,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,502853,418,241679,5732,232221,5592,206653,5333,25568,3372,9458,1248,8573,1157,885,415,112647,5800,104910,5566,71997,4582,32913,2995,7737,1059,5980,913,1757,665,148527,5340,98027,5304,43716,3615,54311,4147,50500,1442,35620,1763,14880,1517,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14765348,4813,5607707,31759,5399044,31737,4138412,36490,1260632,27304,208663,7099,141093,5835,67570,5217,3367103,32554,3042678,29339,1547896,23209,1494782,26154,324425,9253,185073,7737,139352,5594,5790538,34890,3026765,32429,1224485,24177,1802280,28549,2763773,12259,1535548,16653,1228225,17652,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
