GEO_ID,C18131_001E,C18131_001M,C18131_002E,C18131_002M,C18131_003E,C18131_003M,C18131_004E,C18131_004M,C18131_005E,C18131_005M,C18131_006E,C18131_006M,C18131_007E,C18131_007M,C18131_008E,C18131_008M,C18131_009E,C18131_009M,C18131_010E,C18131_010M,C18131_011E,C18131_011M,C18131_012E,C18131_012M,C18131_013E,C18131_013M,C18131_014E,C18131_014M,C18131_015E,C18131_015M,C18131_016E,C18131_016M,NAME,C18131_001EA,C18131_001MA,C18131_002EA,C18131_002MA,C18131_003EA,C18131_003MA,C18131_004MA,C18131_004EA,C18131_005MA,C18131_005EA,C18131_006MA,C18131_006EA,C18131_007EA,C18131_007MA,C18131_008EA,C18131_008MA,C18131_009EA,C18131_009MA,C18131_010MA,C18131_010EA,C18131_011MA,C18131_011EA,C18131_012EA,C18131_012MA,C18131_013EA,C18131_013MA,C18131_014EA,C18131_014MA,C18131_015MA,C18131_015EA,C18131_016MA,C18131_016EA,state
0400000US01,4673858,3005,367246,15694,59335,3994,307911,14697,524725,19640,126773,7041,397952,16730,519936,19593,132646,6349,387290,18181,490609,18066,95958,6172,394651,15770,2771342,29233,347888,9747,2423454,29309,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,694928,2150,33460,4270,4727,1006,28733,3933,40221,4040,6970,1512,33251,3741,58704,7196,10485,1741,48219,6205,65252,6496,8128,1390,57124,5876,497291,9876,42837,2582,454454,9971,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6326436,4595,551893,22706,60884,5328,491009,21234,651608,31913,94714,6004,556894,30593,699797,29145,98694,6421,601103,28400,619844,26808,84997,6494,534847,24440,3803294,37395,391020,11798,3412274,36518,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2851802,2423,226213,10212,35274,3816,190939,9786,329607,14607,83700,4027,245907,13754,362665,16335,82017,5096,280648,15485,320380,17140,64537,4443,255843,15704,1612937,21518,217683,6858,1395254,21585,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36867154,9004,2656009,42026,282289,10642,2373720,40652,3461433,62154,523016,15210,2938417,58924,4002904,59157,552850,13696,3450054,53523,3627629,52986,427559,12190,3200070,47579,23119179,89313,1952523,25523,21166656,84904,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4982341,3771,304970,15930,38036,3510,266934,14901,369062,19542,61041,4041,308021,18443,449213,21602,66437,4922,382776,20182,441020,21604,57504,4059,383516,20003,3418076,30724,290083,8881,3127993,28618,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3467152,1947,173018,11329,24426,2925,148592,10336,204838,13860,45266,4054,159572,12410,233790,14367,46566,3823,187224,13521,228697,13945,37657,3548,191040,12844,2626809,22026,221695,7106,2405114,21544,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,879324,1571,50966,5724,6527,1533,44439,5289,53728,6219,10958,1855,42770,5913,71189,7480,10504,1946,60685,7450,80250,7426,12681,1967,67569,6853,623191,11140,66697,4233,556494,11257,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,583595,383,60274,6558,8679,1762,51595,5920,49089,6781,12817,2014,36272,6153,38392,5483,7204,1404,31188,4959,35009,5284,5589,1436,29420,4724,400831,9072,32415,2753,368416,8730,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18615924,5629,1403035,39352,190418,9783,1212617,35668,1769679,47805,324786,13279,1444893,43413,2083141,46993,355980,13710,1727161,42582,1981488,45988,296509,12943,1684979,43536,11378581,67611,1247690,22121,10130891,66492,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
