GEO_ID,C25074_001E,C25074_001M,C25074_002E,C25074_002M,C25074_003E,C25074_003M,C25074_004E,C25074_004M,C25074_005E,C25074_005M,C25074_006E,C25074_006M,C25074_007E,C25074_007M,C25074_008E,C25074_008M,C25074_009E,C25074_009M,C25074_010E,C25074_010M,C25074_011E,C25074_011M,C25074_012E,C25074_012M,C25074_013E,C25074_013M,C25074_014E,C25074_014M,C25074_015E,C25074_015M,C25074_016E,C25074_016M,C25074_017E,C25074_017M,C25074_018E,C25074_018M,C25074_019E,C25074_019M,C25074_020E,C25074_020M,C25074_021E,C25074_021M,C25074_022E,C25074_022M,C25074_023E,C25074_023M,C25074_024E,C25074_024M,C25074_025E,C25074_025M,NAME,C25074_001MA,C25074_001EA,C25074_002MA,C25074_002EA,C25074_003MA,C25074_003EA,C25074_004EA,C25074_004MA,C25074_005EA,C25074_005MA,C25074_006MA,C25074_006EA,C25074_007MA,C25074_007EA,C25074_008MA,C25074_008EA,C25074_009EA,C25074_009MA,C25074_010EA,C25074_010MA,C25074_011MA,C25074_011EA,C25074_012MA,C25074_012EA,C25074_013EA,C25074_013MA,C25074_014EA,C25074_014MA,C25074_015EA,C25074_015MA,C25074_016EA,C25074_016MA,C25074_017MA,C25074_017EA,C25074_018EA,C25074_018MA,C25074_019MA,C25074_019EA,C25074_020EA,C25074_020MA,C25074_021MA,C25074_021EA,C25074_022EA,C25074_022MA,C25074_023EA,C25074_023MA,C25074_024EA,C25074_024MA,C25074_025MA,C25074_025EA,state
0400000US01,555329,9348,115719,6424,6984,1247,78577,5533,30158,2593,124355,5369,15595,1911,94076,5242,14684,1547,130067,6042,48982,3811,68353,4714,12732,1843,76172,4102,54129,3887,14969,2227,7074,1172,65566,4418,56717,4026,3495,1222,5354,1222,43450,2972,40296,2966,160,144,2994,734,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,95018,4471,6482,1181,112,110,4858,1093,1512,526,11458,1825,1352,471,8879,1538,1227,454,16782,1899,3679,761,11712,1570,1391,423,16675,2148,8034,1566,7339,1314,1302,654,19532,2020,13491,1708,4595,929,1446,474,24089,2518,21826,2455,1193,599,1070,291,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,854527,15846,124283,7914,3899,1036,80337,6028,40047,4944,148147,7303,9906,1466,129545,6785,8696,1771,190578,9401,51657,4814,129547,7433,9374,2555,132310,8162,80965,6032,45499,5079,5846,1928,137529,7905,114695,7271,17507,2805,5327,1576,121680,7408,114235,7322,3003,886,4442,1399,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,376637,8537,76536,4716,3140,709,53281,4101,20115,2657,89489,5203,12976,1898,66702,4698,9811,1505,93112,5467,39923,3144,43489,4183,9700,1680,50212,4554,40424,4289,5223,1273,4565,1011,40903,3649,35090,3326,1989,942,3824,806,26385,2987,23528,2636,1089,975,1768,468,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5625374,23999,564828,11764,16298,2317,396235,9690,152295,7016,914230,13215,92982,5233,789580,13882,31668,3006,1113866,16510,139117,6316,933790,15980,40959,3900,835867,15324,296277,10040,515247,13413,24343,2664,936439,15202,582487,12121,326891,10569,27061,2884,1260144,19649,1124325,19334,105665,6353,30154,3493,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,703584,11056,91713,5180,7419,1131,66397,4057,17897,2271,115174,5878,12744,1619,98049,5463,4381,983,152076,6330,37307,3575,110084,5549,4685,1024,117716,5787,68313,4966,45452,3976,3951,822,117530,5841,93578,4678,19799,3291,4153,1271,109375,6588,102924,6517,3423,1008,3028,909,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,440584,7734,60034,3914,5902,1300,43981,3526,10151,1820,80889,4778,12384,1588,64485,4413,4020,955,84936,4337,14262,2012,67307,4050,3367,788,64239,3408,27550,2404,34656,2688,2033,662,72189,4106,53939,3770,15259,2189,2991,1005,78297,4690,71467,4691,3329,961,3501,852,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,94632,4248,11724,1787,1148,513,8264,1594,2312,815,16575,2059,2173,605,13677,1875,725,368,18953,2447,2881,857,15260,2221,812,450,16036,2249,8332,1553,6961,1619,743,353,15036,2061,12270,2000,2538,850,228,180,16308,2129,15414,2060,395,421,499,297,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,158045,3930,26478,2373,1992,606,17627,2086,6859,1242,16885,1898,3267,770,13312,1675,306,159,21627,2543,3785,979,17234,2355,608,316,20276,2244,9327,1719,10744,1404,205,272,25711,2753,15693,2107,9168,1592,850,611,47068,3299,41347,3021,5149,1275,572,459,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2365114,25972,344340,8425,15184,1835,240153,8698,89003,5956,436713,13153,25905,2758,381555,12742,29253,2834,560428,13871,92707,6218,443356,13270,24365,2770,377024,12306,186900,8744,174431,7626,15693,2339,357550,11246,269320,9556,74553,4879,13677,2554,289059,11157,263485,10582,14966,2324,10608,2060,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
