GEO_ID,B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,B15002G_018E,B15002G_018M,B15002G_019E,B15002G_019M,NAME,B15002G_001EA,B15002G_001MA,B15002G_002MA,B15002G_002EA,B15002G_003EA,B15002G_003MA,B15002G_004MA,B15002G_004EA,B15002G_005EA,B15002G_005MA,B15002G_006EA,B15002G_006MA,B15002G_007MA,B15002G_007EA,B15002G_008EA,B15002G_008MA,B15002G_009MA,B15002G_009EA,B15002G_010EA,B15002G_010MA,B15002G_011EA,B15002G_011MA,B15002G_012MA,B15002G_012EA,B15002G_013EA,B15002G_013MA,B15002G_014EA,B15002G_014MA,B15002G_015MA,B15002G_015EA,B15002G_016EA,B15002G_016MA,B15002G_017MA,B15002G_017EA,B15002G_018MA,B15002G_018EA,B15002G_019MA,B15002G_019EA,state
0400000US01,28290,2900,13948,1861,999,526,1701,701,2580,752,1013,599,3888,1168,874,390,1544,708,1349,556,14342,1952,512,253,1276,555,3035,995,911,369,3586,937,1887,663,2153,765,982,498,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20665,2229,8709,1351,322,264,650,335,1944,705,1484,861,2557,687,545,381,810,383,397,282,11956,1589,282,276,558,378,1340,487,369,187,5124,1083,1030,454,2442,788,811,455,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,75512,6674,37944,3934,2517,841,3067,950,8163,1650,2407,923,9800,1763,2778,940,5652,1462,3560,1052,37568,4258,2307,889,3631,1373,6830,1581,1392,624,11581,2136,4370,1239,5468,1415,1989,566,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26224,2848,12846,2002,1453,728,804,348,2121,672,1280,731,3814,1242,818,516,1528,769,1028,525,13378,1938,1654,811,1781,690,3755,1069,431,246,2871,895,1068,613,1290,747,528,311,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,687792,18566,338756,12081,23664,2710,32615,3211,59307,4243,12758,1940,91815,5130,27289,2683,62424,4676,28884,2789,349036,10620,25169,2321,25887,2690,54521,3703,8515,1600,96105,5912,36243,3413,67878,3665,34718,3118,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,72039,4568,34377,2907,1393,497,3456,910,6512,1444,2066,737,9169,1445,1966,667,6403,1424,3412,941,37662,3105,1685,842,2953,936,4844,1027,1538,570,9548,1932,5151,1292,8870,1685,3073,786,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,37340,3777,17494,2508,753,405,747,403,5587,1357,835,475,3274,893,1001,507,2965,959,2332,790,19846,2288,985,383,2177,673,3723,1098,874,418,4635,1153,2012,755,3773,1176,1667,485,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8016,1551,3270,908,63,128,170,153,1429,1036,149,169,760,513,129,153,452,333,118,90,4746,1073,129,191,37,48,979,626,64,110,1518,664,594,396,830,431,595,366,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7826,1214,3584,930,42,75,214,204,131,124,39,64,541,314,238,239,889,373,1490,701,4242,932,98,116,39,66,438,262,200,162,244,176,128,130,1261,523,1834,663,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,178049,10304,88502,6039,6563,1615,8856,1658,17422,2405,5936,1411,21244,3142,9427,1896,11835,1983,7219,1567,89547,6350,7130,1325,5683,1227,17794,2354,4015,1157,22625,2896,10827,2204,15584,2404,5889,1194,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
