GEO_ID,B13002F_001E,B13002F_001M,B13002F_002E,B13002F_002M,B13002F_003E,B13002F_003M,B13002F_004E,B13002F_004M,B13002F_005E,B13002F_005M,B13002F_006E,B13002F_006M,B13002F_007E,B13002F_007M,NAME,B13002F_001EA,B13002F_001MA,B13002F_002EA,B13002F_002MA,B13002F_003MA,B13002F_003EA,B13002F_004EA,B13002F_004MA,B13002F_005MA,B13002F_005EA,B13002F_006EA,B13002F_006MA,B13002F_007EA,B13002F_007MA,state
0400000US01,13685,2678,1884,790,687,579,1197,704,11801,2459,6121,1456,5680,1792,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2832,923,141,184,141,184,0,149,2691,897,1773,762,918,513,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,104219,7249,4713,1417,2487,851,2226,1035,99506,6912,46619,4218,52887,5141,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16683,2467,857,466,371,246,486,402,15826,2338,8915,1787,6911,1880,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1336724,21072,91276,5093,53283,4017,37993,3479,1245448,19129,539226,11455,706222,17539,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,59649,5115,4595,1515,2121,969,2474,1075,55054,5122,26340,3477,28714,3366,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56612,3759,4065,1065,1475,734,2590,891,52547,3801,19389,2293,33158,2760,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6453,1439,189,199,88,165,101,121,6264,1478,3421,1126,2843,975,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7742,1325,655,441,445,354,210,260,7087,1339,2895,956,4192,1130,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,142699,11031,8653,1828,5150,1528,3503,1301,134046,10663,59773,5474,74273,8007,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
