GEO_ID,C16004_001E,C16004_001M,C16004_002E,C16004_002M,C16004_003E,C16004_003M,C16004_004E,C16004_004M,C16004_005E,C16004_005M,C16004_006E,C16004_006M,C16004_007E,C16004_007M,C16004_008E,C16004_008M,C16004_009E,C16004_009M,C16004_010E,C16004_010M,C16004_011E,C16004_011M,C16004_012E,C16004_012M,C16004_013E,C16004_013M,C16004_014E,C16004_014M,C16004_015E,C16004_015M,C16004_016E,C16004_016M,C16004_017E,C16004_017M,C16004_018E,C16004_018M,C16004_019E,C16004_019M,C16004_020E,C16004_020M,C16004_021E,C16004_021M,C16004_022E,C16004_022M,C16004_023E,C16004_023M,C16004_024E,C16004_024M,C16004_025E,C16004_025M,C16004_026E,C16004_026M,C16004_027E,C16004_027M,C16004_028E,C16004_028M,C16004_029E,C16004_029M,C16004_030E,C16004_030M,C16004_031E,C16004_031M,C16004_032E,C16004_032M,C16004_033E,C16004_033M,C16004_034E,C16004_034M,C16004_035E,C16004_035M,C16004_036E,C16004_036M,C16004_037E,C16004_037M,C16004_038E,C16004_038M,C16004_039E,C16004_039M,C16004_040E,C16004_040M,C16004_041E,C16004_041M,C16004_042E,C16004_042M,C16004_043E,C16004_043M,NAME,C16004_001MA,C16004_001EA,C16004_002MA,C16004_002EA,C16004_003MA,C16004_003EA,C16004_004EA,C16004_004MA,C16004_005EA,C16004_005MA,C16004_006EA,C16004_006MA,C16004_007MA,C16004_007EA,C16004_008MA,C16004_008EA,C16004_009EA,C16004_009MA,C16004_010EA,C16004_010MA,C16004_011EA,C16004_011MA,C16004_012MA,C16004_012EA,C16004_013MA,C16004_013EA,C16004_014MA,C16004_014EA,C16004_015EA,C16004_015MA,C16004_016EA,C16004_016MA,C16004_017EA,C16004_017MA,C16004_018MA,C16004_018EA,C16004_019MA,C16004_019EA,C16004_020EA,C16004_020MA,C16004_021EA,C16004_021MA,C16004_022EA,C16004_022MA,C16004_023MA,C16004_023EA,C16004_024MA,C16004_024EA,C16004_025EA,C16004_025MA,C16004_026EA,C16004_026MA,C16004_027EA,C16004_027MA,C16004_028EA,C16004_028MA,C16004_029MA,C16004_029EA,C16004_030EA,C16004_030MA,C16004_031EA,C16004_031MA,C16004_032EA,C16004_032MA,C16004_033EA,C16004_033MA,C16004_034MA,C16004_034EA,C16004_035MA,C16004_035EA,C16004_036MA,C16004_036EA,C16004_037EA,C16004_037MA,C16004_038EA,C16004_038MA,C16004_039MA,C16004_039EA,C16004_040MA,C16004_040EA,C16004_041MA,C16004_041EA,C16004_042EA,C16004_042MA,C16004_043EA,C16004_043MA,state
0400000US13,9141183,5010,1814042,5808,1547884,10423,182367,7413,144887,8143,37480,4497,32804,4871,29594,4534,3210,1160,35578,4284,26777,4113,8801,2368,15409,4816,13680,4467,1729,1126,6251246,5515,5368117,15611,512230,9738,217286,12188,294944,11727,160945,12680,115662,9922,45283,6085,153640,9162,72777,6326,80863,7075,56314,8363,43579,7018,12735,3010,1075895,4241,1010399,5607,20530,2510,10635,2178,9895,2052,25326,3692,14897,2365,10429,2866,16156,2311,3506,957,12650,2229,3484,1456,983,526,2501,1448,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1286790,336,216337,475,175438,4224,3768,1248,3061,1106,707,520,1911,931,1787,917,124,134,34958,3757,24078,3160,10880,2020,262,222,38,64,224,213,866984,985,646633,9941,21769,3148,15994,2553,5775,1980,13627,2274,11653,1920,1974,736,184040,8591,88718,5627,95322,6188,915,484,811,430,104,153,203469,861,140804,3650,1702,583,1364,517,338,267,2066,588,1534,455,532,314,58770,3414,20430,2129,38340,2963,127,129,127,129,0,187,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1466499,1173,309167,1442,271675,3231,30995,2818,24981,2852,6014,1806,3177,1206,2796,1175,381,290,2686,921,2527,913,159,199,634,506,428,449,206,201,953046,1862,846884,4744,78809,3610,43575,3563,35234,2775,13427,2510,9182,1574,4245,1664,10108,1975,4462,1627,5646,1836,3818,1291,2463,666,1355,1006,204286,1600,195228,1661,5066,964,2516,736,2550,821,2475,1013,1762,890,713,404,754,391,226,155,528,329,763,382,414,250,349,285,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12042289,2784,2269570,2985,1702016,11986,410688,8380,315934,9785,94754,7182,85420,7325,70931,6313,14489,3611,44636,4271,33140,3768,11496,2216,26810,5114,24338,4726,2472,1146,8130124,2854,6207241,17912,1118846,11460,544105,12433,574741,12749,472875,15970,295144,10313,177731,11909,242541,9887,131690,7815,110851,7131,88621,8404,59949,5751,28672,5072,1642595,2550,1402595,6538,84488,2661,24982,2576,59506,2792,104578,5328,47953,3168,56625,4382,40400,2522,13102,1748,27298,2647,10534,2509,3595,1261,6939,2075,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6088598,2338,1168933,2824,1051166,6245,74670,4325,58504,4491,16166,2309,30916,3689,21875,3237,9041,1989,7358,1630,5038,1355,2320,874,4823,1856,4181,1724,642,554,4063173,2920,3713713,8622,196097,5253,92050,5011,104047,5531,85460,6039,62195,5188,23265,3407,51266,3348,25788,2764,25478,3343,16637,3199,12247,2708,4390,1625,856492,2200,822008,2438,11749,1232,6506,1071,5243,1059,17975,1976,10866,1540,7109,1419,3867,850,1886,683,1981,638,893,390,621,293,272,223,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2864107,1975,525654,2489,473903,4071,34614,2463,26240,2303,8374,1630,9012,1634,6226,1340,2786,819,4524,932,2649,702,1875,723,3601,1487,3094,1187,507,559,1880263,2152,1738370,4794,74291,3458,34687,3081,39604,2677,34255,3934,24499,3013,9756,1932,24631,2248,11603,1784,13028,1786,8716,1699,5508,1659,3208,1106,458190,1134,443768,1852,5046,918,2886,666,2160,708,6478,1297,4713,1052,1765,645,2465,601,547,310,1918,592,433,267,338,211,95,140,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2669198,1936,520373,1850,448449,3615,55020,3124,44308,3418,10712,1907,5773,1536,4957,1433,816,455,7566,1022,5577,1006,1989,552,3565,1453,2846,1104,719,754,1766866,2059,1555685,6426,134033,4224,63627,3907,70406,4007,28587,3310,23095,2998,5492,1052,34194,2571,15409,1804,18785,2330,14367,3166,10339,2314,4028,1618,381959,1680,360953,2095,9186,1283,3746,1047,5440,1075,7036,1289,4872,1054,2164,726,3574,669,1181,486,2393,657,1210,988,430,377,780,937,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4090258,2803,745901,3228,702238,4289,23356,2044,17292,1936,6064,1529,10957,2405,7926,1966,3031,1187,5776,1219,3854,1045,1922,1143,3574,1322,2065,904,1509,849,2750396,2975,2609754,5254,70471,3562,33770,3308,36701,3240,36125,4227,25053,2978,11072,2299,21820,2718,10097,1891,11723,2170,12226,2273,7386,1773,4840,1335,593961,2422,581135,2323,4416,1037,1890,585,2526,825,5505,1206,4082,1048,1423,746,2168,627,626,350,1542,576,737,398,454,334,283,206,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4261861,2265,806273,2854,753896,3866,31014,3144,25703,3037,5311,1491,12657,2176,10580,2009,2077,831,7341,1531,4839,1355,2502,858,1365,717,1178,669,187,181,2884292,2327,2636757,6887,116285,4459,58515,4543,57770,4138,82001,4725,70790,4219,11211,1934,41445,3048,20333,2667,21112,2704,7804,2401,4563,1339,3241,1548,571296,2107,499222,3636,9941,1149,4669,796,5272,1036,57104,3293,47083,3097,10021,1239,4501,1101,1323,559,3178,829,528,261,385,259,143,135,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1261967,1092,204101,1585,194133,2328,2497,832,2034,726,463,350,5043,1568,4473,1455,570,370,1200,636,928,580,272,201,1228,586,1141,652,87,142,840558,1527,790303,3776,9658,1600,7250,1394,2408,827,30182,2659,24901,2434,5281,1045,6768,1489,3464,923,3304,941,3647,1052,1731,741,1916,762,217308,1029,193952,2290,414,234,336,213,78,97,21062,2086,17351,1940,3711,845,1257,369,199,156,1058,355,623,272,390,166,233,229,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
