GEO_ID,B08105F_001E,B08105F_001M,B08105F_002E,B08105F_002M,B08105F_003E,B08105F_003M,B08105F_004E,B08105F_004M,B08105F_005E,B08105F_005M,B08105F_006E,B08105F_006M,B08105F_007E,B08105F_007M,NAME,B08105F_001MA,B08105F_001EA,B08105F_002MA,B08105F_002EA,B08105F_003MA,B08105F_003EA,B08105F_004MA,B08105F_004EA,B08105F_005EA,B08105F_005MA,B08105F_006MA,B08105F_006EA,B08105F_007MA,B08105F_007EA,state
0400000US01,27796,3612,19513,3145,6799,1808,333,415,248,212,346,349,557,419,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5189,1421,3634,1160,972,660,131,108,176,198,241,280,35,50,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,153110,9878,115137,7691,22448,3709,4381,1588,4170,1650,4193,1391,2781,891,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26465,3996,18338,3882,5338,1730,161,261,1423,909,292,251,913,614,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1943751,31818,1332296,26515,271887,11213,160049,9005,63696,5896,54280,4486,61543,5588,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,94490,7251,68030,5979,14152,2247,4483,1593,3733,1724,2463,1162,1629,655,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,83443,5776,47907,4430,15558,3488,10420,2307,4456,1340,3670,1523,1432,658,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8374,2370,5499,1526,1494,943,1022,806,254,249,0,192,105,114,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10054,1873,3032,983,1243,816,3905,1384,987,607,564,331,323,286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,222485,14500,142631,11174,42540,5220,10455,2744,6366,2159,13244,3627,7249,2311,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,118260,10427,69719,7790,27186,4099,3949,1814,4147,1913,11722,4501,1537,672,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,8645,1759,5922,1598,841,618,435,433,823,532,231,282,393,282,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,12885,2672,8518,1974,1528,707,360,461,1094,754,0,195,1385,1708,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,335002,13610,224829,10904,54713,5466,35309,4233,8885,1500,5166,1349,6100,1727,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,62675,5284,44750,4401,11623,2653,2196,1039,1123,566,1580,787,1403,673,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,20452,2948,14684,2704,3384,1045,372,283,891,452,696,516,425,364,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
