GEO_ID,B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,NAME,B05003A_001MA,B05003A_001EA,B05003A_002EA,B05003A_002MA,B05003A_003MA,B05003A_003EA,B05003A_004MA,B05003A_004EA,B05003A_005MA,B05003A_005EA,B05003A_006MA,B05003A_006EA,B05003A_007EA,B05003A_007MA,B05003A_008MA,B05003A_008EA,B05003A_009MA,B05003A_009EA,B05003A_010MA,B05003A_010EA,B05003A_011MA,B05003A_011EA,B05003A_012EA,B05003A_012MA,B05003A_013MA,B05003A_013EA,B05003A_014MA,B05003A_014EA,B05003A_015MA,B05003A_015EA,B05003A_016MA,B05003A_016EA,B05003A_017EA,B05003A_017MA,B05003A_018EA,B05003A_018MA,B05003A_019EA,B05003A_019MA,B05003A_020EA,B05003A_020MA,B05003A_021MA,B05003A_021EA,B05003A_022EA,B05003A_022MA,B05003A_023EA,B05003A_023MA,state
0400000US01,3318110,8630,1622668,5726,360717,2482,358475,2430,2242,766,714,437,1528,658,1261951,4632,1227955,3664,33996,3406,10249,1517,23747,3535,1695442,5921,350220,3695,345611,4109,4609,1705,749,407,3860,1741,1345222,3132,1313138,3524,32084,3087,11735,1856,20349,2816,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,482698,2741,253207,1656,54162,864,52706,1474,1456,1285,349,341,1107,1229,199045,1116,192288,1490,6757,1484,3708,1079,3049,987,229491,1675,51560,1020,50713,1275,847,669,234,277,613,604,177931,991,168637,1851,9294,1653,5184,1349,4110,1149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5141027,23299,2548651,12469,607102,6919,588588,7169,18514,3260,1717,646,16797,3123,1941549,8930,1683461,10060,258088,10092,93106,5806,164982,8299,2592376,13624,573119,7825,553929,8132,19190,3448,3746,1421,15444,3095,2019257,8080,1746575,10611,272682,9903,102864,7281,169818,7913,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2296248,7497,1133459,4452,261112,2927,256993,2513,4119,1508,358,387,3761,1490,872347,2850,842868,2859,29479,3531,7100,1284,22379,3161,1162789,5016,245964,3142,242774,3336,3190,1649,370,293,2820,1634,916825,3053,890439,2259,26386,2733,9217,1468,17169,2789,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23698393,65345,11838540,34309,2783397,16536,2658985,16507,124412,6026,15312,2550,109100,5721,9055143,24972,6919245,25807,2135898,29019,860089,17348,1275809,21093,11859853,38445,2643558,18866,2531214,18473,112344,6856,15606,2338,96738,6617,9216295,22515,7024408,23519,2191887,23595,1002261,15913,1189626,18164,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4318187,17394,2165440,10622,500705,6167,488298,6446,12407,2158,2294,731,10113,1971,1664735,6488,1529014,6024,135721,7248,41707,2617,94014,6742,2152747,8835,470494,5080,460763,5186,9731,1693,1408,491,8323,1579,1682253,5667,1553304,6865,128949,6603,48940,4131,80009,5701,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2787171,11468,1356044,6338,290331,3430,284401,3412,5930,1123,1748,607,4182,989,1065713,4461,961885,5205,103828,5071,57009,3383,46819,3801,1431127,6412,275780,3448,270350,3543,5430,1315,1794,657,3636,1079,1155347,3943,1038833,5254,116514,5346,69816,4239,46698,3772,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,636680,4729,309585,2864,62697,1584,61966,1531,731,461,462,401,269,217,246888,1831,230934,1736,15954,2235,5678,1246,10276,2076,327095,2439,61896,1258,61319,1247,577,322,213,175,364,275,265199,1532,250770,2089,14429,1795,6387,1471,8042,1281,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,246505,3665,123838,2493,12955,862,12394,878,561,506,37,61,524,525,110883,1870,92593,2167,18290,2300,4741,1263,13549,1857,122667,1841,12229,876,11718,770,511,410,97,116,414,381,110438,1376,94137,2149,16301,2216,6460,1460,9841,1793,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14535897,31466,7126879,16918,1384473,8914,1320766,9980,63707,5687,12239,2425,51468,4738,5742406,12819,4652237,16435,1090169,18611,507456,13201,582713,18201,7409018,19550,1314730,10350,1250721,9395,64009,4783,13044,2267,50965,4364,6094288,13169,4873946,19833,1220342,20845,675405,15237,544937,15092,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
