GEO_ID,C20005_001E,C20005_001M,C20005_002E,C20005_002M,C20005_003E,C20005_003M,C20005_004E,C20005_004M,C20005_005E,C20005_005M,C20005_006E,C20005_006M,C20005_007E,C20005_007M,C20005_008E,C20005_008M,C20005_009E,C20005_009M,C20005_010E,C20005_010M,C20005_011E,C20005_011M,C20005_012E,C20005_012M,C20005_013E,C20005_013M,C20005_014E,C20005_014M,C20005_015E,C20005_015M,C20005_016E,C20005_016M,C20005_017E,C20005_017M,C20005_018E,C20005_018M,C20005_019E,C20005_019M,C20005_020E,C20005_020M,C20005_021E,C20005_021M,C20005_022E,C20005_022M,C20005_023E,C20005_023M,C20005_024E,C20005_024M,C20005_025E,C20005_025M,C20005_026E,C20005_026M,C20005_027E,C20005_027M,C20005_028E,C20005_028M,C20005_029E,C20005_029M,C20005_030E,C20005_030M,C20005_031E,C20005_031M,C20005_032E,C20005_032M,C20005_033E,C20005_033M,C20005_034E,C20005_034M,C20005_035E,C20005_035M,C20005_036E,C20005_036M,C20005_037E,C20005_037M,C20005_038E,C20005_038M,C20005_039E,C20005_039M,NAME,C20005_001MA,C20005_001EA,C20005_002EA,C20005_002MA,C20005_003EA,C20005_003MA,C20005_004MA,C20005_004EA,C20005_005MA,C20005_005EA,C20005_006MA,C20005_006EA,C20005_007EA,C20005_007MA,C20005_008EA,C20005_008MA,C20005_009EA,C20005_009MA,C20005_010MA,C20005_010EA,C20005_011MA,C20005_011EA,C20005_012MA,C20005_012EA,C20005_013EA,C20005_013MA,C20005_014EA,C20005_014MA,C20005_015EA,C20005_015MA,C20005_016EA,C20005_016MA,C20005_017EA,C20005_017MA,C20005_018EA,C20005_018MA,C20005_019EA,C20005_019MA,C20005_020EA,C20005_020MA,C20005_021EA,C20005_021MA,C20005_022EA,C20005_022MA,C20005_023MA,C20005_023EA,C20005_024EA,C20005_024MA,C20005_025EA,C20005_025MA,C20005_026EA,C20005_026MA,C20005_027MA,C20005_027EA,C20005_028MA,C20005_028EA,C20005_029EA,C20005_029MA,C20005_030EA,C20005_030MA,C20005_031EA,C20005_031MA,C20005_032EA,C20005_032MA,C20005_033MA,C20005_033EA,C20005_034MA,C20005_034EA,C20005_035EA,C20005_035MA,C20005_036EA,C20005_036MA,C20005_037EA,C20005_037MA,C20005_038MA,C20005_038EA,C20005_039MA,C20005_039EA,state
0400000US01,3808975,4580,1819202,5546,809722,11467,150,191,809572,11436,18674,2453,80279,4754,135096,6795,229818,8054,184862,7435,160843,5870,1009480,12562,633178,9445,376302,8769,189380,6552,88075,5994,38849,3698,32388,2705,15056,2244,12554,1613,1989773,4547,629900,10986,334,455,629566,10976,19424,2214,120893,6173,143679,5716,202091,7486,100253,4390,43226,3423,1359873,11941,890541,11979,469332,10050,253852,8024,123804,5929,43123,3551,32380,3407,11786,1867,4387,889,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,554678,1587,286981,1435,138457,4443,0,149,138457,4443,2269,599,8255,1130,14760,1657,35871,3545,35059,3768,42243,3099,148524,4507,58163,2709,90361,4132,30085,2062,18065,2028,10814,1539,12079,1624,8420,1453,10898,1782,267697,1375,102135,4325,202,278,101933,4316,2058,716,7878,1702,18841,2013,35956,2807,23065,2714,14135,1720,165562,4441,77389,3802,88173,4452,36863,2365,19098,2221,14462,1960,9518,1355,5674,870,2558,787,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5044259,4894,2492284,3931,1077822,15256,128,121,1077694,15245,24678,2771,122402,8686,167392,9582,308582,12251,218544,9277,236096,9140,1414462,16112,859045,15388,555417,15122,254080,11176,147553,7875,59147,4104,53372,4976,21905,3094,19360,2617,2551975,4015,799291,15124,74,105,799217,15109,20951,2724,108599,6827,158839,8811,278540,11548,140167,7348,92121,5445,1752684,15370,1137112,13139,615572,15075,306707,10903,157784,7410,67393,5538,53438,4612,21758,2686,8492,1864,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2301244,3020,1120500,3124,498293,9588,0,192,498293,9588,11212,1605,57352,4134,107016,5978,148151,6464,95446,4442,79116,4339,622207,9898,379635,7039,242572,8195,126101,6028,55649,3732,26133,3320,17874,2219,10232,2318,6583,1188,1180744,2849,388138,7773,0,192,388138,7773,12365,1960,76731,4703,97130,4757,124027,5553,54071,3788,23814,2490,792606,8066,519709,7731,272897,7858,146231,6289,74812,4775,24209,2553,16723,2044,7767,1492,3155,1142,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29530797,11281,14575190,9488,6470493,28780,565,527,6469928,28654,126719,5803,690066,16444,928912,15523,1520742,18509,1275325,20266,1928164,19001,8104697,29443,4542928,24758,3561769,27968,1463317,22846,883683,16000,447505,13507,368206,11838,195098,8577,203960,7098,14955607,7564,4508346,30558,138,129,4508208,30567,100710,5687,554884,12288,737890,14325,1265257,21071,929557,16838,919910,14917,10447261,31021,6420290,31757,4026971,35614,1823069,23650,1001529,18670,446317,12189,382750,11246,206382,7961,166924,6417,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4020272,4291,2006819,3775,1001711,10546,41,48,1001670,10549,20369,2865,68215,4480,123620,5268,265654,8383,234183,7926,289629,7942,1005108,11140,478931,9975,526177,10549,228818,7471,120423,6507,61191,4632,63666,4307,28475,3144,23604,2817,2013453,3555,716971,11365,23,38,716948,11369,17747,2628,80708,4739,126646,6292,237656,7724,147147,6389,107044,5430,1296482,11262,683548,9428,612934,9900,293857,8085,149899,6530,75731,4291,55971,3765,24578,3298,12898,2171,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2874766,3020,1383048,2399,668051,7627,0,198,668051,7627,6425,1317,33397,3053,62592,4699,153767,6227,160808,5699,251062,6701,714997,8031,372190,7395,342807,7941,150066,5511,73414,4999,39475,3273,38564,3280,20082,2113,21206,2055,1491718,2765,506142,8924,0,198,506142,8924,7059,1366,34640,2966,67717,4051,155160,6929,127683,5098,113883,4556,985576,9717,538502,6855,447074,8572,193594,6270,105902,5498,56401,3758,47938,3121,27212,2394,16027,1519,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,726737,1751,347311,1444,164496,4365,0,192,164496,4365,1274,518,10128,1918,18289,2070,50720,3542,42585,3361,41500,2600,182815,4610,104199,3967,78616,4362,37858,2624,15519,2117,9164,1574,7221,1348,5027,888,3827,886,379426,1273,134082,4813,42,72,134040,4800,3758,1298,12425,1735,21907,2805,48597,3327,29464,2698,17889,1769,245344,5202,145315,3996,100029,4328,51020,3172,22128,2525,11441,1691,9307,1520,4082,1111,2051,718,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,523073,911,244103,841,122256,3805,0,200,122256,3805,1471,660,4086,1286,12676,1926,23302,2539,27590,2408,53131,2687,121847,3857,70742,3347,51105,3908,19909,2462,10490,1644,5553,1221,8237,1655,3586,1029,3330,741,278970,554,121782,4174,0,200,121782,4174,1317,682,5911,1241,9277,1900,28876,2613,34105,2480,42296,2799,157188,4229,92427,4375,64761,3781,32432,3286,12154,1687,6500,1076,6867,1155,3630,838,3178,790,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15545512,8368,7528967,7360,3094652,22960,221,180,3094431,22958,65992,6137,360900,13917,553266,13907,879430,17333,611084,14330,623759,15359,4434315,24692,2810937,25024,1623378,23695,755954,15995,419359,13215,173140,7623,153859,8283,63821,5268,57245,4394,8016545,6627,2566085,22815,193,253,2565892,22853,63650,5274,405373,15232,583819,14448,852145,15989,417152,12043,243753,8490,5450460,24304,3606682,23645,1843778,25294,875614,17050,518559,15064,199525,9081,167521,7016,58120,4580,24439,2625,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
