GEO_ID,B10061_001E,B10061_001M,B10061_002E,B10061_002M,B10061_003E,B10061_003M,B10061_004E,B10061_004M,B10061_005E,B10061_005M,B10061_006E,B10061_006M,B10061_007E,B10061_007M,B10061_008E,B10061_008M,B10061_009E,B10061_009M,B10061_010E,B10061_010M,B10061_011E,B10061_011M,NAME,B10061_001MA,B10061_001EA,B10061_002MA,B10061_002EA,B10061_003MA,B10061_003EA,B10061_004EA,B10061_004MA,B10061_005EA,B10061_005MA,B10061_006MA,B10061_006EA,B10061_007MA,B10061_007EA,B10061_008MA,B10061_008EA,B10061_009EA,B10061_009MA,B10061_010EA,B10061_010MA,B10061_011EA,B10061_011MA,state
0400000US01,119988,5433,89063,5097,50716,3747,31996,3150,18720,2433,38347,3871,30925,2925,15930,1953,12986,1898,2944,761,14995,2313,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15076,1951,12031,1791,4691,847,2423,684,2268,626,7340,1540,3045,861,1326,492,837,368,489,343,1719,604,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,166960,9274,116246,7891,42891,4037,26063,3410,16828,2631,73355,6467,50714,4767,21132,2377,16440,2257,4692,1366,29582,4486,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66271,5143,46167,4519,26298,2962,15657,2304,10641,1563,19869,3490,20104,2937,10094,1770,8305,1590,1789,754,10010,2333,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1116265,21393,707457,16697,187627,10054,109418,7214,78209,5394,519830,13125,408808,15001,128747,9088,96033,8064,32714,3339,280061,11928,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,92500,6540,62397,5536,24905,3441,16015,2611,8890,1920,37492,4025,30103,3498,12284,2101,9640,1861,2644,962,17819,2753,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,62737,4835,44597,3776,13614,2324,7851,1507,5763,1532,30983,3285,18140,2768,7830,1820,5660,1590,2170,752,10310,2295,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22515,2980,19018,2516,6627,1403,4062,1045,2565,793,12391,2046,3497,1168,1753,815,1209,575,544,356,1744,784,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10592,1468,5871,1188,2114,652,973,352,1141,534,3757,1016,4721,1182,2070,827,1724,766,346,250,2651,967,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,450326,17452,318064,14772,113608,7324,65645,5723,47963,4515,204456,12832,132262,8663,51342,5135,38429,4494,12913,2600,80920,7114,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,264814,12522,184044,10418,81983,6830,50946,5520,31037,3701,102061,8445,80770,6413,35310,4445,25912,3988,9398,1748,45460,4859,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,55428,4158,42979,3495,9279,1836,3797,1058,5482,1417,33700,2980,12449,1852,4279,1236,3167,1133,1112,450,8170,1543,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28322,2910,20860,2532,8432,1680,5099,1385,3333,1108,12428,2114,7462,1913,3078,1060,2714,1073,364,241,4384,1504,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,273134,9239,200028,7747,69268,4901,42323,3888,26945,2936,130760,7288,73106,5956,29300,3229,22002,2753,7298,1397,43806,4463,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,135610,7386,102617,6632,50243,4839,34022,3832,16221,2135,52374,4611,32993,3726,17512,2434,13478,2120,4034,1162,15481,2500,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,36181,2855,28465,2723,11923,1733,7021,1329,4902,1058,16542,2226,7716,1672,3578,1092,2988,1066,590,288,4138,1099,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,46063,3829,35629,3274,14906,2084,10114,1854,4792,939,20723,2523,10434,1958,4555,891,3398,794,1157,609,5879,1560,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,97429,6026,74462,5340,40251,3176,24925,3002,15326,1997,34211,4005,22967,2704,14420,1940,11135,1754,3285,1041,8547,1588,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,119156,7065,88039,6054,48082,4248,29096,3715,18986,2523,39957,4416,31117,3556,16440,2222,13523,2140,2917,713,14677,2387,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,16669,2391,14711,2157,6475,1453,4937,1383,1538,553,8236,1680,1958,913,825,633,707,622,118,123,1133,575,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,139149,7575,104710,6529,33473,3358,20827,2771,12646,2109,71237,5821,34439,3709,14787,2631,10779,2273,4008,1118,19652,2530,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,121021,6513,89819,6158,23926,2889,12564,2073,11362,1866,65893,4894,31202,3448,13895,2313,10730,2057,3165,910,17307,2425,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,169454,6407,129750,6017,48267,3873,29169,3280,19098,1906,81483,4662,39704,3632,16882,2221,14037,2132,2845,731,22822,2646,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,67342,4182,52354,3344,20257,2227,12990,1795,7267,1282,32097,2759,14988,2392,6835,1743,5749,1711,1086,455,8153,1700,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,81066,4729,60059,4421,33415,3267,21753,2709,11662,1954,26644,2854,21007,2347,11488,1945,9490,1853,1998,657,9519,1667,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,110793,6798,84440,6054,35029,3728,22085,2764,12944,2318,49411,4658,26353,3234,11714,2174,9019,1989,2695,878,14639,2386,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
