GEO_ID,C17006_001E,C17006_001M,C17006_002E,C17006_002M,C17006_003E,C17006_003M,C17006_004E,C17006_004M,C17006_005E,C17006_005M,C17006_006E,C17006_006M,C17006_007E,C17006_007M,NAME,C17006_001EA,C17006_001MA,C17006_002EA,C17006_002MA,C17006_003MA,C17006_003EA,C17006_004EA,C17006_004MA,C17006_005MA,C17006_005EA,C17006_006EA,C17006_006MA,C17006_007MA,C17006_007EA,state
0400000US01,1108509,3454,303606,11479,86128,7788,217478,11009,804903,11889,603113,13697,201790,10566,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,184441,1049,26387,3913,9501,2541,16886,3678,158054,3678,112112,4503,45942,4727,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1590007,4914,428162,20312,162337,13335,265825,17328,1161845,20595,829938,22131,331907,17113,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,695905,2781,193010,9550,61298,7180,131712,8398,502895,9229,374220,10985,128675,8142,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9084725,9757,2044902,33252,856981,27021,1187921,30633,7039823,33455,5281182,44242,1758641,31961,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1207309,3827,211228,11438,81863,9914,129365,9758,996081,12511,789187,15303,206894,10320,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,792694,1582,116925,8560,26816,4375,90109,7776,675769,8531,520907,8577,154862,7975,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,200047,1715,33697,4234,6246,1944,27451,4066,166350,4762,116096,5451,50254,4928,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,104579,455,31598,3831,1647,992,29951,3832,72981,3812,37184,2622,35797,3750,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3918493,7264,965366,26002,339606,18748,625760,22469,2953127,27836,2099724,34047,853403,26635,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2446253,6508,639080,19630,216680,13486,422400,15827,1807173,19831,1323537,22258,483636,17391,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,298055,1493,49781,5999,20879,4534,28902,4137,248274,6250,191345,6254,56929,5425,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
