GEO_ID,B12505_001E,B12505_001M,B12505_002E,B12505_002M,B12505_003E,B12505_003M,B12505_004E,B12505_004M,B12505_005E,B12505_005M,B12505_006E,B12505_006M,B12505_007E,B12505_007M,B12505_008E,B12505_008M,B12505_009E,B12505_009M,B12505_010E,B12505_010M,B12505_011E,B12505_011M,B12505_012E,B12505_012M,B12505_013E,B12505_013M,NAME,B12505_001EA,B12505_001MA,B12505_002EA,B12505_002MA,B12505_003EA,B12505_003MA,B12505_004EA,B12505_004MA,B12505_005MA,B12505_005EA,B12505_006EA,B12505_006MA,B12505_007MA,B12505_007EA,B12505_008EA,B12505_008MA,B12505_009EA,B12505_009MA,B12505_010MA,B12505_010EA,B12505_011EA,B12505_011MA,B12505_012MA,B12505_012EA,B12505_013EA,B12505_013MA,state
0400000US01,3874758,2952,1854464,4086,596130,9517,1258334,8722,849352,8819,295965,6640,113017,5134,2020294,3850,529806,9585,1490488,9381,1021295,12539,349824,8129,119369,5695,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,565162,1193,292160,1117,105171,3936,186989,3813,135659,4074,38574,2747,12756,1695,273002,1288,77471,3228,195531,3183,136079,3801,46447,3053,13005,1572,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5129409,1939,2534739,2671,907782,14885,1626957,13990,1181601,15546,332436,11319,112920,6632,2594670,2858,740052,11550,1854618,11780,1324855,16508,406249,11767,123514,7447,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2342376,2165,1141046,2892,336328,8523,804718,8204,531022,8635,190020,6635,83676,3992,1201330,2676,275492,6859,925838,6847,609150,7003,223628,7002,93060,4025,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30062390,3289,14850044,3947,5959238,24388,8890806,24066,7045217,29478,1495599,18357,349990,8183,15212346,3543,4956797,29159,10255549,28773,8132516,32039,1731499,19165,391534,8983,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4087156,2841,2040728,3671,703147,10297,1337581,10008,982779,10433,285090,8437,69712,3798,2046428,2836,558945,8345,1487483,8385,1089221,10217,313426,8107,84836,4520,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2925822,761,1408200,1630,512296,8032,895904,8151,714744,9259,157575,6097,23585,2274,1517622,1398,457022,7190,1060600,7335,861552,9037,169804,5487,29244,2713,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,737847,647,353526,1069,128544,3526,224982,3501,166899,4166,47501,3122,10582,1447,384321,846,117627,3387,266694,3425,200920,4460,54581,3179,11193,1605,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,529068,414,247251,470,146686,3621,100565,3641,83555,3468,15322,1733,1688,517,281817,454,160356,3474,121461,3437,103936,3766,15719,1640,1806,580,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15770265,5407,7641196,6279,2675562,21600,4965634,20702,3467642,24917,1145519,16978,352473,12009,8129069,6671,2224399,19458,5904670,19380,4176551,30201,1341531,20645,386588,10228,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
