GEO_ID,C05003E_001E,C05003E_001M,C05003E_002E,C05003E_002M,C05003E_003E,C05003E_003M,C05003E_004E,C05003E_004M,C05003E_005E,C05003E_005M,C05003E_006E,C05003E_006M,C05003E_007E,C05003E_007M,C05003E_008E,C05003E_008M,C05003E_009E,C05003E_009M,C05003E_010E,C05003E_010M,C05003E_011E,C05003E_011M,C05003E_012E,C05003E_012M,C05003E_013E,C05003E_013M,C05003E_014E,C05003E_014M,C05003E_015E,C05003E_015M,NAME,C05003E_001EA,C05003E_001MA,C05003E_002EA,C05003E_002MA,C05003E_003MA,C05003E_003EA,C05003E_004MA,C05003E_004EA,C05003E_005EA,C05003E_005MA,C05003E_006EA,C05003E_006MA,C05003E_007EA,C05003E_007MA,C05003E_008MA,C05003E_008EA,C05003E_009MA,C05003E_009EA,C05003E_010EA,C05003E_010MA,C05003E_011EA,C05003E_011MA,C05003E_012EA,C05003E_012MA,C05003E_013MA,C05003E_013EA,C05003E_014MA,C05003E_014EA,C05003E_015MA,C05003E_015EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7785,727,3805,547,1363,333,1322,335,41,35,2442,310,1834,420,608,341,3980,517,1604,384,1523,378,81,69,2376,257,1971,357,405,263,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,11941,1586,6748,796,1634,508,1634,508,0,229,5114,786,3985,943,1129,526,5193,1244,1970,828,1752,735,218,322,3223,677,2410,685,813,353,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7279,1910,4122,1016,2196,595,1425,379,771,331,1926,528,203,197,1723,528,3157,1152,1201,762,1098,720,103,222,1956,583,546,445,1410,345,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,146894,5678,71946,3396,19590,1752,17821,1557,1769,793,52356,2475,35992,2798,16364,1733,74948,3594,17891,1952,17102,2002,789,479,57057,2739,37667,2730,19390,2166,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5949,641,3303,598,1131,367,808,376,323,215,2172,545,1685,594,487,143,2646,493,900,311,809,285,91,77,1746,443,1394,443,352,166,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12545,3380,6285,2177,2393,1146,2308,1099,85,173,3892,1677,2767,1365,1125,839,6260,2108,1710,1162,1657,1151,53,162,4550,1528,2791,1031,1759,989,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
