GEO_ID,B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,NAME,B18101A_001EA,B18101A_001MA,B18101A_002EA,B18101A_002MA,B18101A_003EA,B18101A_003MA,B18101A_004MA,B18101A_004EA,B18101A_005EA,B18101A_005MA,B18101A_006MA,B18101A_006EA,B18101A_007EA,B18101A_007MA,B18101A_008EA,B18101A_008MA,B18101A_009MA,B18101A_009EA,B18101A_010EA,B18101A_010MA,state
0400000US01,3269515,8896,709363,4078,31756,3175,677607,5442,2034945,6234,279677,10001,1755268,11212,525207,1653,215771,5039,309436,5321,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,466353,3000,105566,1389,2487,955,103079,1676,317654,2255,29206,2860,288448,3374,43133,401,16975,1517,26158,1553,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5068886,23537,1178715,11774,39785,4254,1138930,11556,3063281,14056,297957,12144,2765324,18256,826890,3457,267595,8747,559295,8708,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2259755,7846,505024,3649,27165,3163,477859,4797,1388105,5180,209609,6432,1178496,8372,366626,1508,154764,4296,211862,4641,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23389626,64674,5419624,30061,175721,8538,5243903,30276,14796064,38700,1231066,20508,13564998,42636,3173938,8760,1154909,15998,2019029,16783,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4252010,17369,970701,8705,34804,3790,935897,9674,2769946,10381,231367,8385,2538579,12233,511363,2181,170936,4442,340427,4366,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2749750,11782,565423,5996,17653,2012,547770,5997,1739541,7223,140008,5534,1599533,8064,444786,1700,143823,4877,300963,5127,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,628933,4920,124593,2300,5490,1216,119103,2387,395409,3207,38708,3174,356701,4323,108931,599,37040,2353,71891,2338,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,243473,3699,25093,1443,542,323,24551,1443,195850,2622,5969,1307,189881,2776,22530,479,6287,950,16243,976,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14346067,32349,2695058,14449,98697,6077,2596361,15196,8715898,21974,855974,17796,7859924,25894,2935111,5461,998545,16105,1936566,16874,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5861851,20235,1342864,9931,53332,4981,1289532,11143,3725790,12084,399237,12455,3326553,18409,793197,2547,294293,7763,498904,8098,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
