GEO_ID,C17024_001E,C17024_001M,C17024_002E,C17024_002M,C17024_003E,C17024_003M,C17024_004E,C17024_004M,C17024_005E,C17024_005M,C17024_006E,C17024_006M,C17024_007E,C17024_007M,C17024_008E,C17024_008M,C17024_009E,C17024_009M,C17024_010E,C17024_010M,C17024_011E,C17024_011M,C17024_012E,C17024_012M,C17024_013E,C17024_013M,C17024_014E,C17024_014M,C17024_015E,C17024_015M,C17024_016E,C17024_016M,C17024_017E,C17024_017M,C17024_018E,C17024_018M,C17024_019E,C17024_019M,C17024_020E,C17024_020M,C17024_021E,C17024_021M,C17024_022E,C17024_022M,C17024_023E,C17024_023M,C17024_024E,C17024_024M,C17024_025E,C17024_025M,C17024_026E,C17024_026M,C17024_027E,C17024_027M,C17024_028E,C17024_028M,NAME,C17024_001MA,C17024_001EA,C17024_002MA,C17024_002EA,C17024_003EA,C17024_003MA,C17024_004EA,C17024_004MA,C17024_005MA,C17024_005EA,C17024_006MA,C17024_006EA,C17024_007MA,C17024_007EA,C17024_008MA,C17024_008EA,C17024_009EA,C17024_009MA,C17024_010EA,C17024_010MA,C17024_011MA,C17024_011EA,C17024_012MA,C17024_012EA,C17024_013MA,C17024_013EA,C17024_014EA,C17024_014MA,C17024_015MA,C17024_015EA,C17024_016MA,C17024_016EA,C17024_017MA,C17024_017EA,C17024_018MA,C17024_018EA,C17024_019MA,C17024_019EA,C17024_020MA,C17024_020EA,C17024_021MA,C17024_021EA,C17024_022MA,C17024_022EA,C17024_023MA,C17024_023EA,C17024_024MA,C17024_024EA,C17024_025EA,C17024_025MA,C17024_026MA,C17024_026EA,C17024_027MA,C17024_027EA,C17024_028MA,C17024_028EA,state
0400000US01,4687363,2037,1112128,3173,134329,8732,172644,10024,76277,7801,188001,9577,186542,10313,130830,7601,85556,7110,137949,8379,2921317,3218,218252,10312,299784,11645,157171,9161,424549,17150,488391,15458,392827,13927,303984,12145,636359,16192,653918,2352,14779,2009,52695,3423,42660,3530,123249,5282,138035,5944,89956,4761,61382,4387,131162,5413,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,706860,918,185165,972,12856,2829,14085,2689,10141,2370,35975,5218,30272,4117,27284,3486,19270,2871,35282,3621,464711,1173,19301,2171,24101,2216,15561,2241,53197,4364,60990,4909,68433,6034,53103,4815,170025,8397,56984,1124,1303,504,2259,688,2931,750,8141,1120,7880,1499,6952,1165,8009,1855,19509,1631,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6336449,3861,1597696,4361,196441,13118,238509,17862,113012,10728,291025,18699,276930,13281,187724,15062,111841,9691,182214,10065,3827737,2111,329596,13854,361096,16260,187504,10759,533916,21219,661670,23018,525184,20927,351030,17047,877741,21237,911016,1963,25856,3060,52003,3896,39452,4511,156031,7200,180762,7577,136066,8757,89148,5210,231698,8641,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2856663,2079,699550,2619,88384,6182,108154,8193,47211,4799,139576,9007,117574,7840,72527,6436,50866,5479,75258,6776,1744517,2712,128898,6100,187289,8419,89924,5535,288961,12241,305341,13366,245393,12774,164418,9110,334293,11719,412596,2012,8931,1538,34220,2712,31839,2642,86154,4530,81741,4409,61764,4618,33062,2849,74885,4401,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36941931,7933,9127413,8231,868106,21566,1216416,29938,625891,19219,1626489,26295,1407488,28480,974654,28394,678429,21756,1729940,26901,23512663,4438,1678520,27816,1923449,36057,1140694,25705,3340850,42494,3610222,46817,2821552,45486,2150432,40082,6846944,48388,4301855,3714,109602,5321,322710,9299,227996,7851,679845,13087,732116,15032,543195,11026,425964,11176,1260427,18572,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5002128,3154,1213679,3498,98881,9320,118168,9795,71086,8549,195157,10961,202352,10763,156358,9478,113710,7620,257967,11862,3229217,2785,192559,8798,221010,11236,132406,8555,381488,12845,483820,13460,428163,14727,362391,13552,1027380,16056,559232,2003,13530,2082,30047,2243,27379,2324,85722,4959,103572,5368,78428,4952,60657,4065,159897,4808,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3471802,1406,794737,1448,54304,6145,64505,6973,31614,4858,91483,6777,103666,7367,106374,7177,82207,5247,260584,7775,2184004,1554,109302,6716,115993,8075,59102,6232,189879,10716,266208,11553,274824,11830,238517,9304,930179,12987,493061,1525,9412,1640,24340,2436,20950,2417,69940,4568,80537,4180,65876,4522,49796,3630,172210,6024,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882353,1386,201591,1415,17604,3381,17612,3275,12399,3001,33638,4825,33752,4701,26836,3574,22746,3458,37004,4172,550702,1011,31102,3551,31077,3827,19293,3532,61471,5320,72803,7571,86259,6661,70288,5991,178409,8850,130060,874,2260,596,5176,1091,4315,944,21045,2147,21682,2403,20361,2357,17017,2116,38204,2805,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,584583,305,104750,419,17317,3410,14452,3370,4023,1827,10840,2602,13766,3047,9542,2203,4679,1330,30131,2675,412138,620,41072,4204,28083,4173,11469,2113,35282,4447,42172,4417,45137,4609,36523,3669,172400,5468,67695,543,1885,560,6554,1062,3300,812,8487,1231,8168,1211,6388,1182,5355,963,27558,1705,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18652057,5175,3933991,6715,425393,21382,554609,24052,281596,16470,702428,25298,669024,27349,455310,18041,274578,14886,571053,18197,11421205,5955,885260,21738,979631,28316,583110,23718,1745425,39222,1964888,35150,1585464,37918,1102193,30497,2575234,39849,3296861,5344,92433,6841,236130,10075,174871,7388,581317,14669,658308,16143,469891,14919,317439,11653,766472,17648,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
