GEO_ID,B23003_001E,B23003_001M,B23003_002E,B23003_002M,B23003_003E,B23003_003M,B23003_004E,B23003_004M,B23003_005E,B23003_005M,B23003_006E,B23003_006M,B23003_007E,B23003_007M,B23003_008E,B23003_008M,B23003_009E,B23003_009M,B23003_010E,B23003_010M,B23003_011E,B23003_011M,B23003_012E,B23003_012M,B23003_013E,B23003_013M,B23003_014E,B23003_014M,B23003_015E,B23003_015M,B23003_016E,B23003_016M,B23003_017E,B23003_017M,B23003_018E,B23003_018M,B23003_019E,B23003_019M,B23003_020E,B23003_020M,B23003_021E,B23003_021M,B23003_022E,B23003_022M,B23003_023E,B23003_023M,B23003_024E,B23003_024M,B23003_025E,B23003_025M,B23003_026E,B23003_026M,B23003_027E,B23003_027M,B23003_028E,B23003_028M,B23003_029E,B23003_029M,B23003_030E,B23003_030M,NAME,B23003_001EA,B23003_001MA,B23003_002MA,B23003_002EA,B23003_003EA,B23003_003MA,B23003_004EA,B23003_004MA,B23003_005EA,B23003_005MA,B23003_006EA,B23003_006MA,B23003_007EA,B23003_007MA,B23003_008MA,B23003_008EA,B23003_009EA,B23003_009MA,B23003_010EA,B23003_010MA,B23003_011MA,B23003_011EA,B23003_012EA,B23003_012MA,B23003_013MA,B23003_013EA,B23003_014EA,B23003_014MA,B23003_015EA,B23003_015MA,B23003_016MA,B23003_016EA,B23003_017EA,B23003_017MA,B23003_018EA,B23003_018MA,B23003_019MA,B23003_019EA,B23003_020EA,B23003_020MA,B23003_021EA,B23003_021MA,B23003_022MA,B23003_022EA,B23003_023EA,B23003_023MA,B23003_024MA,B23003_024EA,B23003_025EA,B23003_025MA,B23003_026EA,B23003_026MA,B23003_027MA,B23003_027EA,B23003_028EA,B23003_028MA,B23003_029EA,B23003_029MA,B23003_030EA,B23003_030MA,state
0400000US01,1453201,4487,539643,8431,133270,6151,95547,5410,48,84,95499,5412,80763,4820,14736,2098,37723,3336,103462,5124,66025,3972,505,476,65520,3965,54306,3859,11214,2097,37437,3452,302911,8226,227338,7143,557,435,226781,7175,205268,6898,21513,2665,75573,4871,913558,8929,600049,9436,1154,540,598895,9404,539757,9378,59138,4211,313509,8285,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,214842,1780,83368,3302,21707,2111,15845,1836,480,390,15365,1858,14247,1906,1118,581,5862,1133,19774,2226,12094,1908,39,67,12055,1899,10557,1825,1498,586,7680,1356,41887,2238,32227,2132,261,188,31966,2162,28634,2216,3332,955,9660,1362,131474,3482,101996,4321,1011,538,100985,4274,94660,4514,6325,1049,29478,2403,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1857130,3871,683167,13769,152103,8642,98758,7469,403,397,98355,7473,86101,7073,12254,2128,53345,4344,158016,7378,95078,5808,262,233,94816,5809,83252,5579,11564,2347,62938,4973,373048,9273,273649,8158,0,229,273649,8158,248115,8072,25534,3278,99399,5875,1173963,13581,814384,12562,508,340,813876,12600,738712,12086,75164,4913,359579,9777,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,854192,4122,321022,5513,76693,4725,50287,3578,0,192,50287,3578,43295,3450,6992,1726,26406,3252,64640,3772,43071,3445,0,192,43071,3445,36765,3161,6306,1545,21569,2905,179689,5555,138742,5162,114,103,138628,5181,127951,5263,10677,2114,40947,2954,533170,6803,350207,7873,381,462,349826,7884,328485,7977,21341,2321,182963,6145,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11277235,6725,4188028,24900,977167,15359,651230,12880,1957,694,649273,12916,562920,11532,86353,5256,325937,10426,885647,16585,532738,12020,1052,592,531686,12018,457059,10751,74627,4812,352909,10037,2325214,20250,1695226,16750,458,282,1694768,16706,1512929,16541,181839,7400,629988,13167,7089207,25220,5084250,31504,5798,1276,5078452,31465,4521873,28346,556579,12971,2004957,25370,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1548528,3890,567739,10800,139375,6060,97828,5323,288,244,97540,5344,86079,4926,11461,1920,41547,3522,117792,4949,71592,4363,93,117,71499,4367,62685,3946,8814,1724,46200,3203,310572,7824,243335,7727,518,468,242817,7723,224131,7353,18686,2512,67237,4435,980789,11263,759762,12445,2086,780,757676,12292,699955,11083,57721,4382,221027,6615,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1072586,2834,405149,6951,91522,4659,67191,4297,0,198,67191,4297,58833,4154,8358,1418,24331,2334,72717,3965,51947,3902,80,93,51867,3905,45590,3775,6277,1144,20770,2460,240910,6212,195208,5832,0,198,195208,5832,178830,5613,16378,1899,45702,2893,667437,7255,529406,8819,111,131,529295,8842,483236,9213,46059,3609,138031,5858,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,275251,1413,93662,3679,21079,1927,14767,1792,194,189,14573,1792,13391,1783,1182,525,6312,1423,16712,1835,12761,1545,92,150,12669,1541,11698,1497,971,449,3951,933,55871,3486,43909,3508,33,53,43876,3503,41102,3348,2774,782,11962,1691,181589,3806,134525,4475,129,142,134396,4430,123759,4309,10637,1733,47064,3202,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,208844,1657,47594,2401,15784,1841,11501,1631,108,109,11393,1624,9892,1486,1501,675,4283,974,7634,1169,5721,1069,0,200,5721,1069,4903,1012,818,380,1913,622,24176,2239,19887,2009,0,200,19887,2009,16140,1816,3747,1202,4289,990,161250,2753,128857,3324,164,142,128693,3302,118035,3791,10658,1633,32393,3059,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5616877,8061,1835915,22411,423051,13081,307640,10477,535,365,307105,10451,267346,9817,39759,3751,115411,7274,335120,10946,223750,9160,213,211,223537,9197,190608,8766,32929,3073,111370,7076,1077744,18633,846354,17656,1211,677,845143,17605,762085,15972,83058,6773,231390,9341,3780962,21804,2704614,21973,3944,1275,2700670,22001,2414782,19691,285888,10259,1076348,20047,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
