GEO_ID,B21001A_001E,B21001A_001M,B21001A_002E,B21001A_002M,B21001A_003E,B21001A_003M,B21001A_004E,B21001A_004M,B21001A_005E,B21001A_005M,B21001A_006E,B21001A_006M,B21001A_007E,B21001A_007M,B21001A_008E,B21001A_008M,B21001A_009E,B21001A_009M,B21001A_010E,B21001A_010M,B21001A_011E,B21001A_011M,B21001A_012E,B21001A_012M,B21001A_013E,B21001A_013M,B21001A_014E,B21001A_014M,B21001A_015E,B21001A_015M,B21001A_016E,B21001A_016M,B21001A_017E,B21001A_017M,B21001A_018E,B21001A_018M,B21001A_019E,B21001A_019M,B21001A_020E,B21001A_020M,B21001A_021E,B21001A_021M,B21001A_022E,B21001A_022M,B21001A_023E,B21001A_023M,B21001A_024E,B21001A_024M,B21001A_025E,B21001A_025M,B21001A_026E,B21001A_026M,B21001A_027E,B21001A_027M,B21001A_028E,B21001A_028M,B21001A_029E,B21001A_029M,B21001A_030E,B21001A_030M,B21001A_031E,B21001A_031M,B21001A_032E,B21001A_032M,B21001A_033E,B21001A_033M,NAME,B21001A_001MA,B21001A_001EA,B21001A_002MA,B21001A_002EA,B21001A_003EA,B21001A_003MA,B21001A_004EA,B21001A_004MA,B21001A_005MA,B21001A_005EA,B21001A_006EA,B21001A_006MA,B21001A_007EA,B21001A_007MA,B21001A_008EA,B21001A_008MA,B21001A_009MA,B21001A_009EA,B21001A_010MA,B21001A_010EA,B21001A_011EA,B21001A_011MA,B21001A_012EA,B21001A_012MA,B21001A_013EA,B21001A_013MA,B21001A_014MA,B21001A_014EA,B21001A_015MA,B21001A_015EA,B21001A_016MA,B21001A_016EA,B21001A_017EA,B21001A_017MA,B21001A_018EA,B21001A_018MA,B21001A_019EA,B21001A_019MA,B21001A_020MA,B21001A_020EA,B21001A_021MA,B21001A_021EA,B21001A_022EA,B21001A_022MA,B21001A_023EA,B21001A_023MA,B21001A_024EA,B21001A_024MA,B21001A_025MA,B21001A_025EA,B21001A_026EA,B21001A_026MA,B21001A_027MA,B21001A_027EA,B21001A_028EA,B21001A_028MA,B21001A_029EA,B21001A_029MA,B21001A_030MA,B21001A_030EA,B21001A_031EA,B21001A_031MA,B21001A_032MA,B21001A_032EA,B21001A_033EA,B21001A_033MA,state
0400000US01,2596171,6266,1251871,5146,347709,3791,18862,2408,328847,3975,450461,2743,63067,3945,387394,4975,219712,860,69656,3254,150056,3347,141172,564,67763,2713,73409,2874,92817,510,64230,2034,28587,2084,1344300,3140,348224,2167,3874,1129,344350,2322,457065,2434,8411,1599,448654,2794,231691,920,2893,926,228798,1145,162743,930,1298,509,161445,1056,144577,716,1230,547,143347,934,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,363947,2160,187769,1763,53970,1574,5545,1240,48425,2122,73408,1015,17703,2172,55705,2238,38013,507,14481,1435,23532,1636,15467,360,9921,900,5546,948,6911,277,5152,600,1759,506,176178,1095,53411,862,1485,663,51926,1143,68168,787,2775,760,65393,1108,32874,339,1126,539,31748,612,13076,158,307,197,12769,277,8649,183,210,176,8439,263,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3947917,14867,1930015,9212,576340,6147,33999,5280,542341,7244,656692,5005,84121,6236,572571,7601,312902,2148,97279,5496,215623,5773,222980,1524,105937,4549,117043,4483,161101,1384,111310,3084,49791,3028,2017902,8106,554417,5380,6556,2011,547861,5930,667600,4839,14496,2387,653104,5498,341674,1838,7416,1624,334258,2536,246182,1421,3369,957,242813,1727,208029,1425,5445,1219,202584,1800,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1784511,4942,867800,3143,247657,2807,14399,2234,233258,3497,304216,2598,40130,3021,264086,3526,147546,992,48009,3103,99537,3202,100350,547,44147,2268,56203,2394,68031,692,45180,1846,22851,1750,916711,3065,245671,2315,2369,819,243302,2436,302284,2018,5954,1353,296330,2391,156481,907,2322,668,154159,1031,111334,373,781,344,110553,533,100941,315,1307,502,99634,597,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18175705,41651,8969978,25290,2819679,16947,95029,6031,2724650,18019,3301346,12028,269147,9033,3032199,15157,1421168,5672,320472,9634,1100696,10202,804834,3740,329865,6268,474969,7442,622951,2925,388934,5826,234017,6465,9205727,22757,2681767,14131,21053,3036,2660714,14446,3218012,12263,33838,3012,3184174,12580,1490735,5849,15796,2373,1474939,6393,907522,4202,7628,1375,899894,4143,907691,3367,16554,1766,891137,3524,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3322540,10744,1643756,6951,516202,4652,23572,2767,492630,5065,615815,3410,85239,4736,530576,5866,277071,1589,85901,3744,191170,3709,142709,1459,70632,3034,72077,2796,91959,980,65524,1840,26435,2055,1678784,5595,492936,3625,6644,1492,486292,3755,607284,3251,14168,2002,593116,3574,287030,1558,6066,1270,280964,2060,156149,1202,1881,532,154268,1288,135385,980,3294,843,132091,1294,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2214294,7360,1059527,4717,268825,3170,9412,1809,259413,3297,400060,2479,33954,2692,366106,3132,193624,1073,44172,2941,149452,3141,108174,752,46370,2317,61804,2411,88844,488,61742,1941,27102,1988,1154767,3906,265441,2394,817,408,264624,2457,417735,2244,4134,909,413601,2374,204318,1127,1794,628,202524,1277,123809,643,855,510,122954,888,143464,510,2316,687,141148,818,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,510192,3145,245281,1974,67181,1584,3283,1138,63898,1885,85083,980,9922,1377,75161,1708,43568,320,13088,1406,30480,1439,28709,266,15685,1237,13024,1239,20740,285,14314,1008,6426,1051,264911,1526,67616,979,572,354,67044,981,87572,919,1427,572,86145,1164,47250,334,1232,580,46018,706,32653,246,293,206,32360,340,29820,282,525,289,29295,372,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,219350,2640,109084,1880,52611,1447,1292,651,51319,1383,34393,879,2547,668,31846,1085,11326,507,1331,445,9995,663,6806,306,2111,590,4695,611,3948,200,2512,412,1436,412,110266,1380,59549,896,500,424,59049,942,26777,786,320,194,26457,804,11776,444,68,82,11708,454,6940,253,158,157,6782,293,5224,82,217,219,5007,235,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11797665,22326,5708377,13524,1455374,10470,65551,5138,1389823,11714,1956491,7672,240715,8490,1715776,11338,956360,3152,272358,9318,684002,9911,731814,2494,320914,6853,410900,7054,608338,2191,392070,5745,216268,5955,6089288,13260,1410352,7532,10143,1762,1400209,7895,1973848,8039,36612,3850,1937236,8477,1058520,3527,15333,2382,1043187,4562,823728,2701,8107,1568,815621,3168,822840,2644,12333,2036,810507,3126,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
