GEO_ID,B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,NAME,B16005D_001EA,B16005D_001MA,B16005D_002EA,B16005D_002MA,B16005D_003EA,B16005D_003MA,B16005D_004MA,B16005D_004EA,B16005D_005MA,B16005D_005EA,B16005D_006EA,B16005D_006MA,B16005D_007EA,B16005D_007MA,B16005D_008EA,B16005D_008MA,B16005D_009MA,B16005D_009EA,B16005D_010EA,B16005D_010MA,B16005D_011MA,B16005D_011EA,state
0400000US01,51420,2351,12404,1568,5080,1117,7324,1534,5748,1463,1576,641,39016,1913,4824,1192,34192,2019,16772,1983,17420,2270,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,36215,1885,10740,1844,5440,1201,5300,1568,3637,1089,1663,1048,25475,1627,2862,700,22613,1654,9822,1559,12791,1616,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,168587,5228,47816,4500,25933,3166,21883,3589,19348,3491,2535,878,120771,4661,18774,3021,101997,5120,51442,4144,50555,3738,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,31323,2425,8580,1695,3648,1125,4932,1390,4004,1372,928,687,22743,1915,2730,1005,20013,1996,8401,1863,11612,1757,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4707888,16378,1528349,18395,801699,16916,726650,15404,596731,14388,129919,5433,3179539,19635,279798,9206,2899741,19324,1266995,20098,1632746,22177,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,134950,3668,45649,3127,23322,2637,22327,3046,17656,2704,4671,1344,89301,3835,15565,2415,73736,4074,33643,3492,40093,3471,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,131084,2333,32680,2659,17100,2729,15580,2191,13274,1999,2306,824,98404,3401,11919,1862,86485,3614,49026,3722,37459,3732,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27807,1141,5924,1048,2641,799,3283,918,3062,927,221,280,21883,1317,2465,921,19418,1705,11124,1537,8294,1544,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21859,876,8386,1399,6113,1251,2273,692,1700,528,573,414,13473,1619,4355,1244,9118,1898,5836,1330,3282,1138,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,439388,7848,110995,6442,58615,5335,52380,5426,42615,4595,9765,2178,328393,7017,70355,5940,258038,8910,138862,8152,119176,7188,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,303239,6664,79252,5619,30112,4066,49140,4472,42120,4334,7020,1887,223987,7780,24840,3879,199147,6806,88919,7139,110228,7930,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,504974,8937,317467,9076,274235,9216,43232,3124,30193,2925,13039,1699,187507,9502,22843,2303,164664,9169,55099,5392,109565,6695,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
