GEO_ID,C18105_001E,C18105_001M,C18105_002E,C18105_002M,C18105_003E,C18105_003M,C18105_004E,C18105_004M,C18105_005E,C18105_005M,C18105_006E,C18105_006M,C18105_007E,C18105_007M,C18105_008E,C18105_008M,C18105_009E,C18105_009M,C18105_010E,C18105_010M,C18105_011E,C18105_011M,C18105_012E,C18105_012M,C18105_013E,C18105_013M,C18105_014E,C18105_014M,C18105_015E,C18105_015M,C18105_016E,C18105_016M,C18105_017E,C18105_017M,C18105_018E,C18105_018M,C18105_019E,C18105_019M,C18105_020E,C18105_020M,C18105_021E,C18105_021M,NAME,C18105_001MA,C18105_001EA,C18105_002EA,C18105_002MA,C18105_003MA,C18105_003EA,C18105_004EA,C18105_004MA,C18105_005EA,C18105_005MA,C18105_006EA,C18105_006MA,C18105_007MA,C18105_007EA,C18105_008MA,C18105_008EA,C18105_009MA,C18105_009EA,C18105_010EA,C18105_010MA,C18105_011EA,C18105_011MA,C18105_012EA,C18105_012MA,C18105_013MA,C18105_013EA,C18105_014MA,C18105_014EA,C18105_015EA,C18105_015MA,C18105_016EA,C18105_016MA,C18105_017EA,C18105_017MA,C18105_018MA,C18105_018EA,C18105_019MA,C18105_019EA,C18105_020MA,C18105_020EA,C18105_021EA,C18105_021MA,state
0400000US01,4421602,3532,2110198,5019,416407,3671,3825,987,412582,3692,1414698,4262,115245,5006,1299453,6120,279093,1597,69451,3495,209642,3566,2311404,4962,407253,3626,3074,889,404179,3579,1529326,3226,136271,6741,1393055,7093,374825,1967,119560,3632,255265,3914,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,645241,2023,325810,2056,68083,1045,166,137,67917,1043,229987,2044,10717,1929,219270,2666,27740,691,6242,799,21498,879,319431,1414,65594,1012,371,280,65223,1091,224593,1324,11756,1463,212837,1773,29244,918,8763,1014,20481,1355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5930452,3169,2912443,4889,601166,3600,2834,983,598332,3605,1892465,3160,83757,5800,1808708,6357,418812,1439,75641,5332,343171,5303,3018009,3748,572836,2017,3607,1848,569229,2551,1952969,2665,104183,5853,1848786,6096,492204,1546,114309,5655,377895,6106,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2687787,2553,1310509,4010,264789,2861,2734,756,262055,2959,864243,2843,67379,4077,796864,4826,181477,1394,45328,2523,136149,2457,1377278,3509,246674,2522,2313,656,244361,2604,899485,2675,81633,4629,817852,5518,231119,1618,72349,3374,158770,3612,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34628464,6052,17042168,7705,3436648,4108,22697,3488,3413951,5354,11716855,6623,412998,11650,11303857,12727,1888665,2997,367429,9159,1521236,9747,17586296,6331,3282493,3324,18901,2496,3263592,3942,11890613,4441,499877,12335,11390736,12411,2413190,2783,664923,10314,1748267,10749,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4683850,3211,2322383,4494,453559,2596,3752,1113,449807,2988,1618210,3693,57502,3923,1560708,5439,250614,1187,39796,2582,210818,3021,2361467,3599,432234,2719,2406,926,429828,2949,1620615,3014,65994,4547,1554621,5315,308618,1578,69054,2807,239564,3327,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3326517,1588,1606669,2356,309787,1412,2457,740,307330,1648,1084991,1817,38864,3134,1046127,4045,211891,1346,36056,2486,175835,2515,1719848,2042,296371,1005,1637,792,294734,1268,1142307,1643,51624,3261,1090683,3435,281170,1372,65321,3263,215849,3264,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,836884,896,400843,1266,76245,863,715,598,75530,993,267093,1107,10636,1491,256457,1793,57505,652,9319,1231,48186,1437,436041,1092,72802,833,209,182,72593,834,290684,969,18643,2165,272041,2499,72555,728,18694,1956,53861,1825,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,571960,375,266624,892,34909,427,527,476,34382,772,204647,794,8913,1417,195734,1672,27068,387,5045,1054,22023,1058,305336,794,34198,429,260,205,33938,464,230511,708,10119,1555,220392,1547,40627,548,12077,1236,28550,1221,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17678236,5716,8539964,8391,1491065,5500,8831,2080,1482234,5816,5576083,6738,290094,10344,5285989,11589,1472816,3748,280052,9587,1192764,9534,9138272,7790,1421823,5184,8269,1818,1413554,5359,5892404,5507,311460,11609,5580944,13359,1824045,4157,455662,10397,1368383,10268,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
