GEO_ID,B13002A_001E,B13002A_001M,B13002A_002E,B13002A_002M,B13002A_003E,B13002A_003M,B13002A_004E,B13002A_004M,B13002A_005E,B13002A_005M,B13002A_006E,B13002A_006M,B13002A_007E,B13002A_007M,NAME,B13002A_001MA,B13002A_001EA,B13002A_002EA,B13002A_002MA,B13002A_003EA,B13002A_003MA,B13002A_004MA,B13002A_004EA,B13002A_005EA,B13002A_005MA,B13002A_006EA,B13002A_006MA,B13002A_007EA,B13002A_007MA,state
0400000US01,770293,3927,44329,4188,34005,3558,10324,1751,725964,5796,380602,8306,345362,7993,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,117377,1388,7163,1721,5237,1402,1926,921,110214,2426,57066,2892,53148,3097,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1182244,8824,64053,5945,40590,4146,23463,3504,1118191,9881,494241,11453,623950,14174,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,525572,4267,27464,3095,20552,2757,6912,1450,498108,4751,262343,6516,235765,5447,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5721589,23761,300998,9650,202763,7773,98235,5414,5420591,27770,2402236,23503,3018355,28154,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1049510,5872,61080,4038,45091,3591,15989,2209,988430,6910,467366,8424,521064,10329,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,641929,4865,25386,2500,17284,1825,8102,1553,616543,5315,282893,6260,333650,5139,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,146612,1947,6842,1322,4759,1107,2083,611,139770,2091,58582,2791,81188,2765,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,83788,1330,2428,732,2063,661,365,346,81360,1446,18614,1530,62746,1930,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3188232,14253,136731,8011,90566,6061,46165,4987,3051501,15750,1367441,19172,1684060,21348,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1429383,7940,76780,5792,59075,4917,17705,2652,1352603,9686,694644,11349,657959,11399,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,74418,1483,5927,1203,5235,1165,692,419,68491,1845,36034,2290,32457,2251,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,342949,2556,24477,2914,17644,2535,6833,1794,318472,3774,163672,4985,154800,5497,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2225178,9295,108373,5364,77784,3606,30589,3003,2116805,10115,986259,11551,1130546,12565,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1300577,4028,69760,4155,46674,3454,23086,2389,1230817,5788,576409,8768,654408,8613,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,638387,2767,33056,2739,23230,2221,9826,1652,605331,3897,292479,5962,312852,5897,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,566151,3263,35995,3130,26210,2752,9785,1681,530156,4271,260419,6582,269737,5690,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,910407,3458,46974,3676,30848,2936,16126,2330,863433,4666,429440,8362,433993,8038,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,677870,3864,35043,3156,24324,2943,10719,1721,642827,5045,318614,7099,324213,7235,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,286326,1564,12989,1630,8684,1331,4305,954,273337,2302,120385,4135,152952,4210,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,803585,4359,41279,3353,28747,2818,12532,2407,762306,5058,362152,6522,400154,7013,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1281557,5327,56864,3737,40667,3261,16197,2352,1224693,6372,522194,9575,702499,9731,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1804546,4341,91600,4347,65599,3938,26001,2471,1712946,5537,799202,8375,913744,8345,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1073085,3020,57823,3557,43265,2867,14558,1871,1015262,4953,492352,7611,522910,7900,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,403519,3146,20669,2161,14636,1751,6033,1402,382850,3625,195939,5936,186911,6395,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1167318,3697,62496,4177,43562,3521,18934,2215,1104822,5570,541936,9599,562886,10012,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,197714,1682,11088,1438,8808,1284,2280,727,186626,2316,90466,3702,96160,3526,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,375717,2551,22303,2034,17192,1797,5111,873,353414,3217,175047,4689,178367,4401,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
