GEO_ID,B27001A_001E,B27001A_001M,B27001A_002E,B27001A_002M,B27001A_003E,B27001A_003M,B27001A_004E,B27001A_004M,B27001A_005E,B27001A_005M,B27001A_006E,B27001A_006M,B27001A_007E,B27001A_007M,B27001A_008E,B27001A_008M,B27001A_009E,B27001A_009M,B27001A_010E,B27001A_010M,B27001A_011E,B27001A_011M,B27001A_012E,B27001A_012M,B27001A_013E,B27001A_013M,B27001A_014E,B27001A_014M,B27001A_015E,B27001A_015M,B27001A_016E,B27001A_016M,B27001A_017E,B27001A_017M,B27001A_018E,B27001A_018M,B27001A_019E,B27001A_019M,B27001A_020E,B27001A_020M,B27001A_021E,B27001A_021M,B27001A_022E,B27001A_022M,B27001A_023E,B27001A_023M,B27001A_024E,B27001A_024M,B27001A_025E,B27001A_025M,B27001A_026E,B27001A_026M,B27001A_027E,B27001A_027M,B27001A_028E,B27001A_028M,NAME,B27001A_001MA,B27001A_001EA,B27001A_002MA,B27001A_002EA,B27001A_003MA,B27001A_003EA,B27001A_004MA,B27001A_004EA,B27001A_005EA,B27001A_005MA,B27001A_006MA,B27001A_006EA,B27001A_007MA,B27001A_007EA,B27001A_008MA,B27001A_008EA,B27001A_009EA,B27001A_009MA,B27001A_010EA,B27001A_010MA,B27001A_011MA,B27001A_011EA,B27001A_012MA,B27001A_012EA,B27001A_013MA,B27001A_013EA,B27001A_014MA,B27001A_014EA,B27001A_015EA,B27001A_015MA,B27001A_016EA,B27001A_016MA,B27001A_017MA,B27001A_017EA,B27001A_018MA,B27001A_018EA,B27001A_019MA,B27001A_019EA,B27001A_020EA,B27001A_020MA,B27001A_021EA,B27001A_021MA,B27001A_022MA,B27001A_022EA,B27001A_023MA,B27001A_023EA,B27001A_024MA,B27001A_024EA,B27001A_025EA,B27001A_025MA,B27001A_026EA,B27001A_026MA,B27001A_027EA,B27001A_027MA,B27001A_028EA,B27001A_028MA,state
0400000US01,3269515,8896,220447,4119,209727,4199,10720,2908,488916,4970,463409,6320,25507,4191,298967,2481,236787,5132,62180,4870,388515,4309,288711,6377,99804,6596,415314,3508,330173,6055,85141,6292,483546,2437,405545,5006,78001,4414,448603,1447,405895,3729,42708,3560,301317,1421,300724,1331,593,363,223890,1326,223464,1456,426,388,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,466353,3000,35313,1121,32968,1248,2345,883,70253,1351,64335,1812,5918,1239,41215,1035,31316,1645,9899,1622,65574,1614,47436,2258,18138,2188,62221,1141,50535,2121,11686,1860,78000,756,62971,2318,15029,2307,70644,665,60203,1509,10441,1388,28142,459,28041,469,101,96,14991,408,14774,458,217,208,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5068886,23537,389674,8240,351303,9749,38371,5246,789041,10254,686017,10256,103024,8135,468938,5335,341312,7691,127626,7531,638167,7440,477584,10743,160583,8705,623228,5749,479168,9660,144060,8457,681821,5201,556360,8510,125461,8174,651127,2951,562762,6018,88365,5278,466414,2518,462556,2869,3858,1307,360476,2291,357487,2658,2989,1073,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2259755,7846,166027,3257,159308,3312,6719,1297,338997,3577,319194,4260,19803,3209,205913,3335,139492,4389,66421,4361,280415,4043,188027,5984,92388,6103,278860,3224,209386,4859,69474,4727,321358,2801,255962,4546,65396,4189,301559,1373,260229,3443,41330,3617,208645,1033,208047,1137,598,365,157981,1231,157775,1236,206,185,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23389626,64674,1760585,15289,1660983,16109,99602,7498,3659039,25334,3339738,23391,319301,12475,2272551,15337,1618151,15537,654400,16032,3169865,17437,2227687,19687,942178,16386,3082480,15375,2343684,16688,738796,15674,3376584,11203,2728539,16727,648045,14026,2894584,8895,2467183,12459,427401,11247,1697639,6150,1672170,6845,25469,2882,1476299,4847,1466003,5009,10296,1964,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4252010,17369,320456,5919,296552,5946,23904,3566,650245,7370,592064,7660,58181,5769,395682,4123,307054,6874,88628,6003,601538,4978,454092,7399,147446,7401,581268,4778,477771,6901,103497,5847,630318,3636,532414,6278,97904,5560,561140,2852,493289,5367,67851,4570,295358,2042,293699,2213,1659,733,216005,1822,215175,1859,830,476,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2749750,11782,160169,3289,156052,3558,4117,1493,405254,4646,395507,4574,9747,1914,233545,2493,207096,2907,26449,3307,297169,3351,248760,4984,48409,3541,345400,3059,313302,4112,32098,3372,468587,2866,427525,4499,41062,3857,394840,1583,366327,3241,28513,2898,229452,1202,228943,1187,509,346,215334,1239,213999,1320,1335,831,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,628933,4920,39758,1698,38207,1775,1551,734,84835,2090,79992,2600,4843,1395,59761,983,52287,1590,7474,1596,73743,1965,59634,2179,14109,1925,75106,1418,66857,1868,8249,1876,96513,914,86793,1671,9720,1602,90286,593,83001,1715,7285,1723,60909,529,60813,549,96,143,48022,616,47980,615,42,66,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,243473,3699,12909,855,12754,852,155,192,12184,1182,11326,1415,858,1040,37267,1277,35218,1402,2049,1134,74555,1369,70136,1663,4419,1169,36929,1151,34889,1337,2040,916,24138,855,22528,1309,1610,832,22961,709,22059,844,902,435,13667,401,13667,401,0,200,8863,230,8803,247,60,103,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14346067,32349,861167,8642,790585,11357,70582,7069,1833891,14712,1596415,16899,237476,14454,1203302,8671,796251,13803,407051,12960,1621396,10954,1052429,12827,568967,14448,1765545,9068,1234328,13483,531217,15856,2123212,8008,1590454,14840,532758,14835,2002443,5029,1624041,11860,378402,13075,1546565,3538,1526033,4697,20532,3638,1388546,3968,1378958,4497,9588,2298,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
