GEO_ID,C21001A_001E,C21001A_001M,C21001A_002E,C21001A_002M,C21001A_003E,C21001A_003M,C21001A_004E,C21001A_004M,C21001A_005E,C21001A_005M,C21001A_006E,C21001A_006M,C21001A_007E,C21001A_007M,C21001A_008E,C21001A_008M,C21001A_009E,C21001A_009M,C21001A_010E,C21001A_010M,C21001A_011E,C21001A_011M,C21001A_012E,C21001A_012M,C21001A_013E,C21001A_013M,C21001A_014E,C21001A_014M,C21001A_015E,C21001A_015M,NAME,C21001A_001EA,C21001A_001MA,C21001A_002EA,C21001A_002MA,C21001A_003EA,C21001A_003MA,C21001A_004MA,C21001A_004EA,C21001A_005MA,C21001A_005EA,C21001A_006MA,C21001A_006EA,C21001A_007EA,C21001A_007MA,C21001A_008MA,C21001A_008EA,C21001A_009MA,C21001A_009EA,C21001A_010MA,C21001A_010EA,C21001A_011MA,C21001A_011EA,C21001A_012EA,C21001A_012MA,C21001A_013EA,C21001A_013MA,C21001A_014EA,C21001A_014MA,C21001A_015MA,C21001A_015EA,state
0400000US01,2596171,6266,1251871,5146,1017882,5181,151585,5552,866297,7674,233989,530,131993,3440,101996,3521,1344300,3140,1036980,2949,15178,2151,1021802,3750,307320,1115,2528,728,304792,1335,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,363947,2160,187769,1763,165391,1824,37729,2676,127662,3158,22378,301,15073,1141,7305,1127,176178,1095,154453,1079,5386,1116,149067,1676,21725,181,517,232,21208,308,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3947917,14867,1930015,9212,1545934,8809,215399,10915,1330535,12417,384081,1885,217247,5584,166834,5920,2017902,8106,1563691,7688,28468,3557,1535223,8959,454211,1990,8814,1455,445397,2402,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1784511,4942,867800,3143,699419,3017,102538,5235,596881,5812,168381,820,89327,2647,79054,2634,916711,3065,704436,2965,10645,1647,693791,2988,212275,503,2088,650,210187,841,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18175705,41651,8969978,25290,7542193,24750,684648,16195,6857545,29198,1427785,4769,718799,8609,708986,9577,9205727,22757,7390514,21280,70687,5120,7319827,22245,1815213,5905,24182,2307,1791031,5989,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3322540,10744,1643756,6951,1409088,6861,194712,6357,1214376,8813,234668,1398,136156,3524,98512,3464,1678784,5595,1387250,5446,26878,3065,1360372,6059,291534,1313,5175,1068,286359,1401,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2214294,7360,1059527,4717,862509,4624,87538,4128,774971,5137,197018,826,108112,3086,88906,3178,1154767,3906,887494,3794,6745,1165,880749,3877,267273,883,3171,862,264102,1255,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,510192,3145,245281,1974,195832,2003,26293,2256,169539,2915,49449,292,29999,1708,19450,1690,264911,1526,202438,1469,3231,948,199207,1773,62473,312,818,322,61655,446,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,219350,2640,109084,1880,98330,1902,5170,1088,93160,2032,10754,306,4623,703,6131,722,110266,1380,98102,1376,888,482,97214,1425,12164,274,375,265,11789,404,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11797665,22326,5708377,13524,4368225,13121,578624,12994,3789601,20469,1340152,3050,712984,9381,627168,9307,6089288,13260,4442720,12930,62088,4615,4380632,13613,1646568,4010,20440,2621,1626128,4686,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
