GEO_ID,B17004_001E,B17004_001M,B17004_002E,B17004_002M,B17004_003E,B17004_003M,B17004_004E,B17004_004M,B17004_005E,B17004_005M,B17004_006E,B17004_006M,B17004_007E,B17004_007M,B17004_008E,B17004_008M,B17004_009E,B17004_009M,B17004_010E,B17004_010M,B17004_011E,B17004_011M,B17004_012E,B17004_012M,B17004_013E,B17004_013M,B17004_014E,B17004_014M,B17004_015E,B17004_015M,B17004_016E,B17004_016M,B17004_017E,B17004_017M,B17004_018E,B17004_018M,B17004_019E,B17004_019M,NAME,B17004_001EA,B17004_001MA,B17004_002MA,B17004_002EA,B17004_003EA,B17004_003MA,B17004_004EA,B17004_004MA,B17004_005EA,B17004_005MA,B17004_006EA,B17004_006MA,B17004_007MA,B17004_007EA,B17004_008EA,B17004_008MA,B17004_009EA,B17004_009MA,B17004_010EA,B17004_010MA,B17004_011EA,B17004_011MA,B17004_012MA,B17004_012EA,B17004_013MA,B17004_013EA,B17004_014EA,B17004_014MA,B17004_015EA,B17004_015MA,B17004_016EA,B17004_016MA,B17004_017MA,B17004_017EA,B17004_018MA,B17004_018EA,B17004_019EA,B17004_019MA,state
0400000US01,3704283,4608,612397,16427,245048,9405,22747,2398,78216,5251,144085,7124,367349,9787,28153,2766,106800,6212,232396,7752,3091886,17066,1507574,10746,784534,11155,276496,7882,446544,9349,1584312,10568,601240,10923,348126,9601,634946,10243,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,541531,1561,49954,3320,22035,2216,2219,698,9488,1370,10328,1768,27919,2373,1426,754,10994,1339,15499,1913,491577,3537,254396,2689,132202,4556,77918,4192,44276,2525,237181,2520,100043,4322,76340,4094,60798,3335,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4922990,4898,810090,24279,367370,15248,41734,3586,115295,7784,210341,10967,442720,13500,33457,4084,125719,6191,283544,11636,4112900,25128,2034217,16376,1026958,14492,415691,13474,591568,13009,2078683,14247,764557,14219,479818,14421,834308,12650,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2230696,3012,376255,11310,153352,6339,17204,2699,52445,3707,83703,4329,222903,7150,20283,2535,65250,3869,137370,5872,1854441,11988,925396,7800,479256,9269,178039,7183,268101,6264,929045,7499,367089,7879,199080,6596,362876,7249,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28909220,11159,4264778,51440,1881990,29577,224617,8550,637560,16757,1019813,20228,2382788,30664,124802,6047,684516,14586,1573470,25121,24644442,52104,12274871,30880,6197713,29600,2830892,28293,3246266,25462,12369571,31331,4376040,29523,3282154,34939,4711377,30514,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3918748,4296,476663,13457,212692,8165,22470,2897,100727,5842,89495,5114,263971,8645,17978,2429,103435,5913,142558,6745,3442085,14019,1727306,8388,969476,10015,403904,10464,353926,8199,1714779,10072,696671,11344,495471,9480,522637,9340,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2773799,2986,271613,11526,113232,6843,10300,1894,38653,3942,64279,5065,158381,7131,8189,1502,52295,3820,97897,5066,2502186,11301,1217692,7432,653584,7463,280606,7285,283502,7397,1284494,6979,496802,8676,370992,8379,416700,6906,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,704768,1742,73736,5440,27654,3477,2147,689,9910,2007,15597,2480,46082,3787,3234,985,15398,1953,27450,2957,631032,5800,306862,3688,161712,4308,64264,3790,80886,4102,324170,4185,130717,4743,80169,3991,113284,3838,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,490209,908,80595,5577,33139,3051,1193,588,9776,1632,22170,2513,47456,4152,2223,732,14916,2430,30317,3165,409614,5784,195502,3296,119411,3630,37302,3183,38789,2962,214112,4222,119404,4085,41736,2742,52972,2869,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15194273,8362,2294678,35098,1009448,23533,94533,6967,313026,11852,601889,18700,1285230,19897,91636,5683,360011,12162,833583,18202,12899595,35142,6280921,23106,2984824,22617,1264689,21091,2031408,21585,6618674,21920,2471359,23370,1454159,21882,2693156,20654,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
