GEO_ID,B17013_001E,B17013_001M,B17013_002E,B17013_002M,B17013_003E,B17013_003M,B17013_004E,B17013_004M,B17013_005E,B17013_005M,B17013_006E,B17013_006M,B17013_007E,B17013_007M,B17013_008E,B17013_008M,B17013_009E,B17013_009M,B17013_010E,B17013_010M,B17013_011E,B17013_011M,B17013_012E,B17013_012M,B17013_013E,B17013_013M,B17013_014E,B17013_014M,B17013_015E,B17013_015M,B17013_016E,B17013_016M,B17013_017E,B17013_017M,B17013_018E,B17013_018M,B17013_019E,B17013_019M,B17013_020E,B17013_020M,B17013_021E,B17013_021M,B17013_022E,B17013_022M,B17013_023E,B17013_023M,B17013_024E,B17013_024M,B17013_025E,B17013_025M,B17013_026E,B17013_026M,B17013_027E,B17013_027M,B17013_028E,B17013_028M,B17013_029E,B17013_029M,B17013_030E,B17013_030M,B17013_031E,B17013_031M,B17013_032E,B17013_032M,B17013_033E,B17013_033M,B17013_034E,B17013_034M,B17013_035E,B17013_035M,NAME,B17013_001EA,B17013_001MA,B17013_002MA,B17013_002EA,B17013_003EA,B17013_003MA,B17013_004MA,B17013_004EA,B17013_005MA,B17013_005EA,B17013_006EA,B17013_006MA,B17013_007MA,B17013_007EA,B17013_008EA,B17013_008MA,B17013_009MA,B17013_009EA,B17013_010EA,B17013_010MA,B17013_011EA,B17013_011MA,B17013_012MA,B17013_012EA,B17013_013MA,B17013_013EA,B17013_014EA,B17013_014MA,B17013_015EA,B17013_015MA,B17013_016EA,B17013_016MA,B17013_017MA,B17013_017EA,B17013_018MA,B17013_018EA,B17013_019EA,B17013_019MA,B17013_020EA,B17013_020MA,B17013_021EA,B17013_021MA,B17013_022EA,B17013_022MA,B17013_023MA,B17013_023EA,B17013_024MA,B17013_024EA,B17013_025EA,B17013_025MA,B17013_026EA,B17013_026MA,B17013_027EA,B17013_027MA,B17013_028MA,B17013_028EA,B17013_029MA,B17013_029EA,B17013_030MA,B17013_030EA,B17013_031EA,B17013_031MA,B17013_032EA,B17013_032MA,B17013_033EA,B17013_033MA,B17013_034EA,B17013_034MA,B17013_035MA,B17013_035EA,state
0400000US36,4607636,22601,567575,11385,195635,7369,55953,3338,72809,4778,48621,3303,18252,1917,371940,10062,59275,3745,29263,3018,22567,2537,5314,1281,2131,997,312665,8998,111487,4986,152297,6806,40788,3449,8093,1574,4040061,22850,2971087,19682,1220452,14395,1290818,13262,395298,8897,64519,3778,1068974,17432,295764,10188,162087,6692,106931,5696,21731,2617,5015,1258,773210,14495,389667,10406,320941,8519,51667,3638,10935,1738,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2455564,21325,325239,10097,111512,5648,38441,3700,40953,3948,24650,2957,7468,1507,213727,8845,32486,3597,13413,2151,15115,2600,3883,1313,75,113,181241,8051,61902,4568,92320,5445,23356,3545,3663,1219,2130325,19806,1676630,18160,838051,12947,666871,13713,154832,6906,16876,2834,453695,11787,122822,6242,73064,4598,42716,3848,6649,2098,393,307,330873,9585,166696,7594,147253,7588,14526,2148,2398,943,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,175219,3737,13805,1595,4133,856,1719,381,1322,434,739,509,353,228,9672,1510,1500,825,608,450,785,656,107,84,0,143,8172,1303,3467,937,3998,920,506,236,201,227,161414,3550,138039,3592,71871,2705,50217,2628,14867,1777,1084,414,23375,2136,9156,1303,5518,1057,3379,746,233,180,26,49,14219,1508,8014,1340,5508,974,494,276,203,255,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2915927,16276,350368,8799,104559,4050,32613,2542,37170,2874,26494,2660,8282,1394,245809,7887,38357,3518,20580,2853,13526,2080,3721,1030,530,395,207452,7041,74106,4273,104364,5590,24644,2997,4338,1092,2565559,16549,2033405,17522,1000453,12264,785190,13547,221865,6553,25897,3027,532154,11873,152821,6321,92546,5143,55080,3954,4834,1063,361,222,379333,9543,205764,6206,152532,6888,19286,2745,1751,445,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,957855,8144,122171,4473,46595,3217,15855,1810,16610,1810,11900,1691,2230,717,75576,3435,12535,1620,5153,1012,5906,1146,1271,422,205,224,63041,2985,21604,1824,31555,2258,8213,1112,1669,708,835684,8781,668559,7972,330982,5460,254903,6434,74457,3711,8217,1113,167125,5466,54853,3209,30324,2406,20615,2087,3460,922,454,297,112272,4242,59394,3415,44815,3223,6880,1276,1183,479,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,956746,11057,114203,5079,47351,3623,13150,1675,18879,2672,11578,2000,3744,951,66852,4561,14825,2070,8972,1783,4288,1060,1479,675,86,104,52027,4292,21258,2439,23131,3101,6802,1553,836,579,842543,10679,686872,9076,357689,7390,250410,5739,69049,4672,9724,1895,155671,7094,55817,4166,32595,2942,19153,2579,3691,1195,378,394,99854,5388,57433,4649,37505,3203,4422,1053,494,283,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3193701,19403,306856,8627,92826,4494,34924,2487,30700,2821,20790,2706,6412,1173,214030,6868,33465,2905,17773,2570,12413,1799,2529,767,750,480,180565,6569,67825,4110,84048,5125,23433,2381,5259,1318,2886845,19281,2281879,19068,1081940,12394,924537,14834,247786,7143,27616,2390,604966,11618,187921,7311,115143,5198,64999,4163,6601,1264,1178,544,417045,9579,227415,6450,164613,6741,22246,2308,2771,695,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,256181,5460,27047,2598,8024,1494,3092,797,2714,881,2076,764,142,236,19023,2230,2240,723,1183,583,680,410,284,308,93,159,16783,2098,5696,1161,7577,1419,2921,1028,589,479,229134,5017,173471,5311,78927,3912,73743,4140,19111,2141,1690,683,55663,3466,17172,2300,10235,1699,6255,1523,682,411,0,207,38491,3022,20596,2029,15789,2105,1650,696,456,304,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1201688,14648,171751,6065,52471,4626,16244,2345,21233,2973,11854,1816,3140,1117,119280,5489,16580,2314,6318,1289,8761,1872,1501,687,0,217,102700,4949,35608,3247,52315,3999,11768,1942,3009,921,1029937,13352,802563,11837,406903,9088,313918,10223,75408,4794,6334,1549,227374,9063,63252,4514,35734,3162,23729,3125,3441,1384,348,228,164122,7608,81141,5016,71392,4850,9388,1874,2201,874,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,210679,4391,20158,2313,6061,1061,2665,681,1426,522,1099,383,871,345,14097,2075,3324,976,1387,649,1404,702,329,179,204,190,10773,1807,4188,893,4727,1277,1470,457,388,204,190521,4624,157042,4329,86492,3350,52432,3354,16086,1371,2032,719,33479,2930,12798,1830,8781,1419,3483,983,462,276,72,56,20681,2264,9856,1626,8450,1390,1805,906,570,446,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
