GEO_ID,B12504_001E,B12504_001M,B12504_002E,B12504_002M,B12504_003E,B12504_003M,B12504_004E,B12504_004M,B12504_005E,B12504_005M,B12504_006E,B12504_006M,B12504_007E,B12504_007M,B12504_008E,B12504_008M,B12504_009E,B12504_009M,NAME,B12504_001EA,B12504_001MA,B12504_002EA,B12504_002MA,B12504_003MA,B12504_003EA,B12504_004MA,B12504_004EA,B12504_005EA,B12504_005MA,B12504_006EA,B12504_006MA,B12504_007EA,B12504_007MA,B12504_008MA,B12504_008EA,B12504_009MA,B12504_009EA,state
0400000US01,19.3,0.4,19.3,0.4,20.1,0.4,12.2,1.9,12.6,1.2,19.3,0.4,20.2,0.3,11.7,2.3,12.4,0.8,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15.7,0.8,15.7,0.8,16.1,0.9,11.8,3.7,15.7,1.5,15.8,0.9,15.9,0.9,17.6,5.0,13.4,4.8,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,19.1,0.5,19.0,0.5,19.6,0.5,11.9,1.4,16.7,2.1,19.1,0.4,19.7,0.4,13.0,2.1,13.8,1.2,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18.7,0.4,18.6,0.4,19.5,0.5,10.3,2.3,11.0,1.4,18.8,0.4,19.7,0.5,12.6,2.7,13.9,1.8,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18.0,0.1,17.9,0.2,18.5,0.1,11.8,0.5,16.1,0.6,18.1,0.1,18.6,0.1,11.9,0.6,16.8,0.5,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,17.4,0.3,17.3,0.3,17.9,0.3,10.7,1.3,14.0,1.7,17.5,0.3,18.0,0.3,13.3,2.1,11.9,1.3,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,20.8,0.3,20.8,0.4,21.5,0.4,10.4,1.4,13.7,1.9,20.9,0.4,21.3,0.4,14.8,2.7,15.5,2.2,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20.9,0.7,20.6,0.8,21.1,0.9,12.8,7.3,11.7,3.2,21.1,0.8,21.9,1.0,12.0,7.8,18.7,4.5,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12.3,1.0,12.1,1.3,12.4,1.4,7.9,1.6,16.4,5.4,12.4,1.1,12.4,1.3,10.1,3.2,18.3,6.3,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20.2,0.2,20.3,0.3,21.2,0.3,12.6,1.3,13.5,0.8,20.1,0.3,21.3,0.3,12.8,1.3,13.7,0.7,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,17.4,0.3,17.4,0.3,17.9,0.3,11.6,1.3,14.1,1.2,17.3,0.3,18.2,0.4,11.9,1.3,13.1,0.6,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,18.2,0.6,18.0,0.7,18.7,0.7,12.4,1.5,14.2,4.8,18.4,0.7,19.0,0.7,11.1,3.3,18.7,4.0,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,17.9,0.6,17.7,0.6,18.5,0.7,10.5,1.2,12.2,2.1,18.2,0.6,18.8,0.7,12.8,2.9,13.9,3.1,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,19.9,0.2,19.7,0.2,20.1,0.2,12.9,0.9,16.5,1.0,20.0,0.2,20.5,0.3,13.5,1.5,16.4,0.8,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,19.8,0.3,19.8,0.3,20.2,0.3,12.4,1.6,13.6,0.5,19.7,0.3,20.3,0.3,11.4,1.8,12.7,1.6,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,21.7,0.3,21.7,0.4,22.0,0.5,17.6,3.3,13.7,1.5,21.7,0.3,22.2,0.5,15.9,2.5,12.4,1.5,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,19.9,0.3,19.8,0.4,20.4,0.3,11.5,1.0,15.0,2.0,20.0,0.4,20.7,0.3,10.3,2.1,11.0,1.1,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19.6,0.3,19.6,0.3,20.3,0.3,12.7,1.6,11.3,1.2,19.7,0.4,20.5,0.3,11.8,2.6,11.8,0.7,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,19.0,0.5,19.1,0.5,20.1,0.5,13.5,1.4,13.0,1.5,19.0,0.5,20.1,0.4,12.3,2.2,13.0,1.1,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,22.4,0.6,22.3,0.7,22.6,0.6,17.7,7.4,17.5,4.4,22.5,0.6,23.0,0.7,12.1,5.6,14.9,2.9,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,18.9,0.3,18.9,0.3,19.6,0.3,11.9,1.3,15.9,1.6,18.9,0.3,19.5,0.3,12.8,2.6,15.0,1.7,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,20.3,0.3,20.2,0.3,20.7,0.4,12.1,2.2,17.0,1.6,20.3,0.3,20.8,0.3,12.8,2.5,16.9,1.7,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,20.8,0.3,20.9,0.3,21.4,0.2,13.2,1.0,15.1,0.9,20.8,0.3,21.3,0.3,11.6,1.3,15.5,1.0,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,20.9,0.3,21.0,0.3,21.2,0.2,16.6,2.8,15.4,1.5,20.9,0.3,21.3,0.3,16.9,2.1,14.0,1.0,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,19.0,0.5,18.8,0.5,19.8,0.5,11.9,1.6,12.1,0.9,19.2,0.6,20.0,0.6,11.0,1.7,13.5,1.0,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,19.8,0.3,19.9,0.3,20.6,0.3,10.4,1.3,13.4,1.2,19.7,0.3,20.5,0.4,12.3,0.8,11.5,0.9,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,21.3,0.6,21.8,0.7,22.2,0.7,10.4,3.5,16.5,3.6,20.7,0.9,21.4,0.7,12.5,2.8,15.6,1.5,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,21.2,0.5,21.1,0.5,21.6,0.6,11.9,2.1,15.2,3.6,21.3,0.5,21.8,0.5,14.3,2.5,12.4,1.8,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
